CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tài sản ngắn hạn###Current Assets	67868	75455	91686	91686	118679	128788	116418	126874	126874	163418	129214	104863	98579	98979	114503	122226	114497	101247	101224	123321	110196	79188	80186	80186	92105	79904	66758	65038	65043	56077	46350	34649	35589	35383	32370	39291	42522	51104	51104	59264	54663	57942	60591	60591	74162	66077	59082	59575	59617	51737	40630	41349	43801	43801	33317	31722	35639	30013	30013	27147	29689	28089	23899	23899	29442	29995
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	770	705	574	574	499	1778	642	2343	2343	12773	1824	1505	2325	2325	1181	2328	1539	1785	1785	8405	1053	393	2151	2151	10217	1441	1538	2280	2280	2539	924	1455	1159	1159	310	717	704	4063	4063	162	678	498	5338	5338	1092	2243	3168	6835	6835	1265	2305	2137	3350	3350	813	658	2669	703	703	1587	568	555	1034	1034	1362	554
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	60772	68103	85077	85077	110769	119991	108241	119103	119103	144871	121390	96666	91096	91496	107141	114226	106899	94405	94405	109065	103294	74138	71847	71847	76720	73387	61672	58732	58522	48791	41447	29057	30565	30565	28259	28394	30965	36076	36076	48528	43805	46925	44925	44925	62674	53102	45663	41871	41871	40836	29565	30305	31807	31807	24997	22508	23593	20666	20666	14851	17922	17079	14051	14051	17085	19472
Hàng tồn kho###Inventory	5917	6529	5898	5898	7282	6870	7223	4935	4935	5581	5798	6205	5055	5055	6084	5612	5950	4850	4850	5655	5746	4552	5511	5511	5031	4708	3465	3892	3892	4106	3506	3455	3292	3292	3360	9885	10525	10440	10440	10180	9862	10104	10033	10033	9933	10150	9838	10487	10529	9556	8678	8592	7984	7984	7329	8474	8620	8186	8186	10436	10707	9922	8623	8623	10614	9758
Tài sản ngắn hạn khác###Other Current Assets	409	118	137	137	129	149	313	494	494	193	202	486	104	104	97	60	109	207	184	196	103	104	677	677	138	368	83	133	349	641	472	682	573	367	440	296	329	526	526	395	318	415	295	295	464	582	413	382	382	80	82	314	661	661	178	82	758	458	458	272	492	532	192	192	381	211
Tài sản dài hạn###Non-current Assets	78740	81797	84618	84618	85249	86369	88044	87213	87213	78702	77366	71688	65334	65334	62962	60823	49869	50945	50945	52748	49453	46918	48235	48235	41590	42503	37514	38590	38579	39753	34445	33618	34960	35935	36704	34774	34502	34959	34959	31716	32393	33661	34867	34867	34943	29107	28945	27770	27770	28732	24719	24873	26577	26577	20036	20556	16827	20674	20674	22710	20124	16729	15164	15164	15701	13732
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	724	724	0	724	724	724	0	0	0	0	0
Tài sản cố định ###Fixed assets	66218	69194	71582	71582	71808	70895	72744	71266	71266	62528	63801	52762	50483	50483	50492	50192	44305	45350	45350	47225	43881	39210	40782	40782	34443	35274	30832	32084	32084	32974	27502	28582	29753	29753	30536	28624	28342	29558	29558	26283	26922	28139	29450	29450	29482	23826	24176	25365	25375	26559	23099	23237	24293	24293	17743	18253	14523	15296	15296	16044	15882	12950	10969	10969	11503	12194
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-92873	-89800	-86726	-86726	-83585	-80446	-77893	-74942	-74942	-72109	-70477	-67922	-68321	-68321	-66133	-63962	-61851	-61169	-61169	-59119	-60521	-58731	-56983	-56983	-55648	-54763	-53431	-52120	-52120	-50816	-49625	-48472	-47306	-47306	-46032	-44697	-43741	-42655	-42655	-41392	-40128	-38881	-37571	-37571	-36186	-35661	-34444	-33236	-33236	-32011	-30871	-29037	-28069	0	0	0	0	-25157	0	0	0	0	-22645	-22645	0	-20380
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-754	-642	0	0	0	0	-197	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-111	-84	-70	-70	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-66	-64	-61	-61	-57	-52	-48	-44	-44	-39	-35	-30	-26	-26	-21	-17	-48	-46	-46	-45	-43	-42	-40	-40	-39	-37	-36	-34	-34	-34	-34	-34	-34	0	0	0	0	-33	0	0	0	0	-25	-25	0	-14
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	4967	4967	4488	4488	4477	4597	4597	4344	4344	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5320	5094	4537	2117	2117	2015	1538	1538	1538	1538	1538	1538	1538	4603	4603	5903	3471	3770	4184	4184	4184	1538
Tài sản dài hạn khác###Other long term assets	7202	7283	7367	7367	7475	7512	7617	7727	7727	7677	8245	8136	4848	4848	4613	5312	244	276	276	204	252	307	315	315	362	444	376	200	200	364	528	692	862	862	848	831	841	81	81	113	151	202	97	97	142	187	232	278	278	157	82	99	746	746	32	42	42	775	51	39	47	9	12	12	14	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	146608	157251	176305	176305	203928	215157	204463	214087	214087	242119	206580	176550	163913	164313	177465	183050	164366	152192	152169	176069	159649	126106	128421	128421	133695	122407	104271	103628	103622	95830	80794	68268	70548	71318	69073	74065	77024	86063	86063	90980	87056	91603	95458	95458	109105	95184	88027	87346	87388	80469	65349	66222	70378	70378	53353	52278	52466	50686	50686	49856	49813	44817	39064	39064	45143	43727
Nợ phải trả ###Liabilities	61631	72129	91524	91524	121070	118102	110765	122335	122335	132011	105068	79895	71246	71657	85463	95581	84338	78983	79053	106652	89389	62175	69661	69661	67759	63045	48805	51889	51873	46746	34447	24625	26945	27259	23803	29452	31355	40448	39993	39993	40471	43282	41508	40102	57188	48471	44498	45706	45730	39066	26256	30043	36054	35949	20249	21500	23349	21223	21223	18832	20175	16841	10563	10522	16927	18143
Nợ ngắn hạn###Short term Liabilities	57042	65175	84569	84569	111499	108531	98579	110148	110148	122289	97246	71502	65854	66065	75951	87669	77543	72187	72257	96031	81487	54674	62160	62160	60137	57054	48805	48170	48153	41746	34447	24625	26945	27259	21622	27271	28737	37831	37376	39268	38973	38237	36099	34693	49990	39236	35258	36455	36479	29511	19713	23491	28350	28222	12875	15742	20094	17968	17371	14478	15127	14738	10094	10053	16237	17686
Nợ dài hạn###Long term Liabilities	4589	6955	6955	6955	9571	9571	12187	12187	12187	9723	7823	8393	5393	5593	9512	7912	6796	6796	6796	10622	7902	7500	7501	7500	7622	5991	0	3720	3720	5000	0	0	0	0	2181	2181	2618	2618	2618	725	1498	5045	5410	5410	7198	9235	9240	9251	9251	9555	6543	6552	7704	7728	7374	5758	3256	3256	3852	4354	5047	2103	469	469	691	457
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	84977	85122	84780	84780	82858	97055	93698	91752	91752	110108	101511	96656	92667	92656	92002	87469	80028	73209	73116	69417	70260	63931	58760	58760	65936	59362	55466	51738	51749	49084	46347	43643	43603	44059	45270	44613	45669	45615	46070	50987	46585	48321	53950	55356	51917	46713	43529	41640	41658	41403	39092	36179	34324	34429	33104	30778	29117	29463	29463	31024	29639	27976	28501	28542	28216	25584
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	-544	-314	-92	574	574	-580	-403	-198	0	41	-539	0
Vốn chủ sở hữu ###Owners equity	84977	85122	84780	84780	82858	97055	93698	91752	91752	110108	101511	96656	92667	92656	92002	87469	80028	73209	73116	69417	70260	63931	58760	58760	65936	59362	55466	51738	51749	49084	46347	43643	43603	44059	45270	44613	45669	45615	46070	50987	46585	48321	53950	55356	51917	46713	43529	41640	41658	41403	39092	36179	34324	34308	33647	31092	29209	28889	28889	31604	30042	28174	28501	28501	28755	25584
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80794	68268	70548	71318	69073	74065	77024	86063	86063	90980	87056	91603	95458	95458	109105	95184	88027	87346	87388	80469	65349	66222	70378	70378	53353	52278	52466	50686	50686	49856	44817	44817	39064	39064	45143	43727



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	49740	48994	337249	74046	91293	109422	62488	335670	72589	102004	95505	65571	338088	65896	86515	101914	83764	360061	101408	94399	93559	70694	284919	67053	84752	74327	58787	196093	61658	56941	56449	21045	136312	31394	36790	36112	31858	195823	45969	54928	55138	39788	229652	57850	74017	60603	38003	156301	38776	41275	0	0	117893	0	0	0	21343	0	30614	26023	25790	16451	0	17573	15070	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	49740	48994	337249	74046	91293	109422	62488	335670	72589	102004	95505	65571	338088	65896	86515	101914	83764	360061	101408	94399	93559	70694	284919	67053	84752	74327	58787	196093	61658	56941	56449	21045	136312	31394	36790	36112	31858	195823	45969	54928	55138	39788	229652	57850	74017	60603	38003	156301	38776	41275	40084	36366	117893	35209	33699	27642	21343	98878	30614	26023	25790	16451	63992	17573	15070	57753
Giá vốn hàng bán###Cost of goods sold	44773	46396	307607	70125	81061	98850	57571	298333	67795	88444	83095	58998	300247	61460	76736	88296	73756	319813	92328	84049	81500	62019	253839	63825	73922	64179	51914	177651	56272	50607	50639	20108	125630	28993	33272	33003	30482	177038	42405	48968	49762	35493	206058	51512	65474	54910	33797	139205	34789	36782	0	0	104291	0	0	0	18731	0	27644	23426	22746	13924	0	16333	12780	0
Lợi nhuận gộp###Gross profit	4967	2598	29642	3920	10232	10572	4917	37337	4794	13560	12410	6573	37841	4436	9779	13618	10008	40248	9081	10350	12059	8675	31080	3229	10831	10148	6873	18441	5386	6334	5809	937	10682	2401	3518	3109	1376	18784	3563	5960	5376	4296	23594	6338	8543	5693	4206	17096	3988	4493	4660	3981	13602	4620	3442	2929	2611	11139	2969	2598	3044	2527	7039	1240	2290	7517
Doanh thu hoạt động tài chính###Financial activities Revenues	1	1	2150	2075	72	2	2	2369	1484	42	841	2	1192	2	2	1186	2	48	32	6	5	6	48	34	5	5	4	10	2	3	1	3	61	3	51	3	4	1343	580	28	624	111	255	12	86	135	22	394	247	81	0	0	324	0	0	0	94	0	161	160	102	99	0	121	192	0
Chi phí tài chính###Financial Expenses	668	993	4578	1136	1032	1216	1194	3990	1511	1134	911	435	2460	549	653	739	532	3116	837	954	700	625	1078	204	509	-27	393	859	610	254	-109	115	1830	216	174	195	270	2669	440	418	835	976	4794	1112	1548	1057	1078	2473	823	606	0	0	1138	0	0	0	153	0	322	381	168	185	0	102	103	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	2369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
