CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	187010	202705	211667	206755	187851	213582	171914	211430	212261	161649	170798	150110	180876	182274	139028	139314	117006	139100	145984	123944	126458	103841	120104	119609	104952	102380	80738	84277	85978	77899	73892	69946	75858	76454	70495	69527	65437	66015	67622	64733	61772	56824	58265	58265	58738	57049	43698	44608	44608	34014	20247	20247	19667	19667
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27011	15018	57659	56314	22276	53392	22204	95854	95865	20495	34169	20768	76059	76059	16922	25602	13017	65142	65143	25309	31238	14476	46602	46602	12235	12408	4973	15959	15959	3866	3370	3383	20151	20152	2635	2601	459	6814	6294	1220	1103	177	7343	7343	808	2015	1481	6261	6261	1825	1626	1626	140	140
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	400	400	0	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4419	0	4471	4416	4396	4385	396	396	775	605	668	508	608	749	576	644	689	689	1000	720	600	490	490	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	102052	128973	107843	103984	101196	89618	91328	72232	74015	83277	79364	78109	65154	66027	67280	54214	58426	42892	43070	60365	58850	57428	40175	39968	55850	56190	32642	36954	29780	32605	32310	28441	24807	25198	32607	32155	30872	28764	28980	27944	27050	25522	24251	24251	26670	23655	20190	16787	16787	21027	11647	11647	15424	15424
Hàng tồn kho###Inventory	52372	50058	40177	41156	57476	59428	53915	40426	39083	55106	52583	48137	37535	37352	50959	56500	41413	27491	27474	28035	25974	21779	24038	23749	28867	25862	26163	24251	24211	26294	23211	23476	22364	22393	24710	24034	24758	23361	24871	24505	22556	21898	19124	19124	20522	21394	15678	15258	15258	5483	4381	4381	2630	2630
Tài sản ngắn hạn khác###Other Current Assets	5175	8257	5988	4701	6304	11144	4468	2918	3299	2771	4682	3096	2128	2836	3867	2998	4149	3574	10298	10234	10396	10159	9290	9290	7999	7921	12542	7112	11558	10718	10605	10261	8139	8315	9767	10133	8680	6568	6869	10314	10487	8582	6857	6857	9737	9265	5749	5812	5812	5678	2593	2593	1472	1472
Tài sản dài hạn###Non-current Assets	164898	148647	141360	144850	111758	95157	99267	87499	86725	83158	78409	77189	64386	65247	82122	84062	74176	73348	65970	76284	68784	87286	80787	80850	82715	80641	70560	69073	69126	71289	14471	12040	12500	12545	9534	8967	8719	9086	9048	10070	10973	11216	11840	11840	11851	10504	10706	10654	10654	10370	38603	38603	34912	34912
Các khoản phải thu dài hạn###Long term Account Receivable	83	418	128	189	222	253	307	316	244	250	250	250	190	190	10170	10143	10098	10068	10068	20206	20223	20223	20223	20223	20183	20183	0	20183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	98716	100161	100570	99447	93460	89048	85956	76154	75782	72439	68664	64598	54203	54121	53414	51887	44452	44439	44442	32955	30742	30224	23740	23971	14481	12240	11053	10520	9187	8955	9313	8079	8459	8487	7991	7230	7467	7763	7837	8070	8602	9141	9282	9762	10261	8893	9047	8488	8930	8102	7497	7497	3708	3708
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-49526	-44724	-40277	-40335	-36330	-32335	-28798	-25667	-28133	-29332	-27191	-25647	-24022	-24104	-23001	-21344	-19991	-18932	-19340	-18134	-16990	-15894	-14835	-14777	-13635	-12879	-12470	-11754	-11754	-11040	-10331	-9844	-9114	-9623	-8856	-8149	-7622	-6976	-6975	-6336	-5711	-5090	-4469	-4469	-3709	-3136	-2842	-2268	-2268	-1544	-903	-903	-346	-346
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-1040	-938	-1204	-1203	-1610	-1430	-1348	-1151	-1151	-1501	-1257	-1009	-808	-808	-622	-472	-361	-259	-259	-188	-125	-78	-31	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-536	-500	-465	-465	-429	-393	-358	-322	-322	-286	-251	-215	-180	-180	-144	-108	-73	-37	-37	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	24357	0	25638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
