CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	526971	478919	649512	649512	606868	683860	595236	445471	445484	375478	389570	351401	399591	399591	377191	434270	405358	376791	376791	372444	436328	355163	296693	296693	329566	263189	244385	295901	260012
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	97435	54029	73804	73804	32728	113190	16061	41951	41951	9132	75750	21372	57353	57353	97384	30108	72582	112294	112294	22929	24186	39939	35829	35829	16845	18096	52979	119239	52305
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	28000	28239	207000	207000	226544	213126	213126	18444	18444	36110	28255	55340	72340	72340	32000	17000	18000	31300	31300	39455	36155	58100	71600	71600	37713	100628	54723	19962	23880
Các khoản phải thu ngắn hạn###Short term Account Receivables	165027	254721	222850	222850	239531	244266	241895	273985	273998	217438	168780	159895	119200	119200	100551	260322	171161	111502	111502	189286	250708	118180	112910	112910	184428	103379	98156	70112	91478
Hàng tồn kho###Inventory	229486	141303	144783	144783	107047	111827	120460	109779	109779	112442	116311	114646	150418	150418	145759	126512	141993	119901	119901	120726	125043	133686	75544	75544	88072	39783	37196	81514	87114
Tài sản ngắn hạn khác###Other Current Assets	7023	626	1074	1074	1019	1451	3695	1312	1312	356	474	148	281	281	1497	328	1622	1795	1795	49	236	5259	809	809	2508	1304	1332	5074	5236
Tài sản dài hạn###Non-current Assets	399746	412316	409954	409954	425838	414135	441553	429195	429195	407518	397477	453364	438536	438536	452384	437038	370791	356179	356594	361449	356529	378617	362202	362202	397031	371286	394373	504626	447897
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	6741	6741	6741	9374	9637	77815	75340	75340	77122	76418	0	0	0	0	0	0	0	0	65	0	0	0	0
Tài sản cố định ###Fixed assets	93771	103240	105689	105689	108374	112580	116529	120141	120141	93356	95573	97469	99329	99329	97071	91591	91057	91858	91858	92748	84578	81809	72725	72725	66736	70590	66843	135073	95677
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-177367	-178248	-174877	-174877	-171863	-184123	-180162	-176398	-176398	-112001	-109322	-106981	-104657	-104657	-102989	-101028	-98489	-96902	-96902	-95020	-92682	-90747	-88951	-88951	-87416	-81763	-74640	-107307	-93495
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2343	-2505	-761	-2449	-2392	-2336	-2279	-2223	-2223	-479	-427	-374	-322	-322	-268	-212	-155	-98	-98	-80	-61	-43	-37	-37	-30	-59	-63	-904	-721
Lợi thế thương mại	17657	18288	18919	18919	20180	20180	20810	21441	21441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	281472	284150	278777	278777	291399	276018	293120	275922	275922	299788	287483	273250	259010	259010	271470	261531	273013	259168	259583	263424	266084	291767	279666	279666	319727	296892	319817	352169	335843
Tài sản dài hạn khác###Other long term assets	23794	23755	24478	24478	25697	24541	24849	26019	26019	4493	4431	4830	4856	4856	4954	5265	5019	4552	4552	4648	4839	3970	4069	4069	3308	3804	7713	10261	8057
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	926717	891235	1059466	1059466	1032706	1097995	1036790	874666	874678	782996	787047	804765	838127	838127	829575	871308	776149	732970	733385	733892	792857	733780	658894	658894	726597	634475	638759	800527	707910
Nợ phải trả ###Liabilities	302263	267882	389673	389673	378723	413684	372090	230111	230123	211325	250776	218078	265949	265949	272807	326638	180684	156479	156479	174632	245929	210115	123195	123195	178536	76064	88289	293917	194084
Nợ ngắn hạn###Short term Liabilities	300869	265244	385609	385609	374770	409494	365728	223727	223740	204914	244318	209219	258205	258205	261311	315284	172139	149285	149285	162363	235459	204645	117182	117182	173791	71659	81618	269032	184741
Nợ dài hạn###Long term Liabilities	1394	2637	4065	4065	3953	4190	6362	6383	6383	6411	6458	8859	7743	7743	11496	11354	8546	7193	7193	12268	10470	5469	6014	6014	4745	4405	6671	24885	9343
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	624454	623353	669793	669793	653983	684310	664699	644555	644555	571671	536271	586687	572178	572178	556768	544670	595464	576491	576906	559261	546927	523665	535699	535699	548061	541783	532717	506610	513826
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	5192	5420	5647	5647	5875	6103	6331	6559	6559	6517	6729	6941	7101	7101	5558	3247	1529	1592	1592	191	674	734	770	770	811	0	915	1160	772
Vốn chủ sở hữu ###Owners equity	619262	617933	664146	664146	648108	678207	658368	637996	637996	565153	529542	579745	565077	565077	551209	541424	593936	574899	575314	559069	546254	522931	534929	534929	547250	541783	531802	505449	513054
Lợi ích của cổ đông thiểu số	5192	5420	5647	5647	5875	6103	6331	6559	6559	6517	6729	6941	7153	0	0	0	0	1618	0	0	0	0	0	0	0	16628	17753	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	130520	128792	501928	139668	115197	148703	98359	544176	216999	117015	63321	146842	542734	96179	58646	265009	122900	686618	104697	178614	272910	130384	569485	175522	129082	493112	490269	547100	485326
Các khoản giảm trừ doanh thu###Deduction revenues	1090	72	343	76	108	116	43	1336	370	891	75	0	684	182	32	55	415	3691	147	567	2658	319	2428	1845	255	3224	1016	2650	2496
Doanh thu thuần###Net Sales	129430	128721	501585	139592	115090	148587	98316	542840	216629	116123	63246	146842	542050	95998	58613	264954	122485	682927	104550	178047	270252	130065	567057	173677	128827	489887	489253	544451	482830
Giá vốn hàng bán###Cost of goods sold	106772	107272	408348	121063	88427	125174	73685	429891	178224	80351	47907	123409	445416	77866	44128	222983	100439	591782	83416	157840	237714	112800	486473	144941	110037	418356	391190	440854	371057
Lợi nhuận gộp###Gross profit	22658	21448	93237	18529	26663	23414	24631	112949	38405	35773	15339	23433	96634	18132	14485	41971	22046	91144	21134	20207	32539	17265	80585	28736	18790	71531	98063	103597	111773
Doanh thu hoạt động tài chính###Financial activities Revenues	1426	5649	89410	38497	10483	39790	640	43563	41682	396	362	1123	51419	25209	401	24417	1393	65599	16509	10512	37747	830	58214	53465	400	67545	48214	35188	6774
Chi phí tài chính###Financial Expenses	2265	6326	24921	6888	7729	7761	2542	23492	9086	-6084	18449	2040	6212	1990	1848	1497	876	3130	932	846	930	423	2415	690	1167	967	3517	8028	8045
Chi phí bán hàng###Selling Expenses	4085	5198	24394	7858	5368	5910	5258	10519	2582	3401	285	4251	15952	-1826	2154	9709	5916	21251	4320	4802	7562	4568	24837	9018	5468	22673	29679	28815	31879
Chi phí quản lý doanh nghiệp###Managing Expenses	7764	7284	45577	12304	8604	11322	13347	40461	16367	10043	7168	6883	36409	10000	7992	12908	5508	36922	10385	8446	9859	8231	31612	10525	7406	31160	36944	43688	38937
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7293	13664	90610	17354	30826	21110	21321	98868	68878	41115	4032	25622	90733	22126	12832	30792	24983	74942	18164	13966	26251	16975	62709	21908	9972	84277	76138	91242	96629
Thu nhập khác###Other incomes	135	59	876	329	141	405	1	3575	826	311	1790	650	1395	530	399	308	308	1285	315	310	135	524	1536	385	332	1444	2798	2009	798
Chi phí khác###Other Expenses	3014	149	685	626	10	37	13	381	-69	0	179	270	2718	121	0	6	2741	880	302	220	-146	504	1270	258	545	262	1420	934	118
Lợi nhuận khác###Other profits	-2879	-89	191	-297	131	369	-12	3194	895	311	1610	379	-1323	409	399	302	-2433	404	13	90	281	21	266	127	-213	1182	1378	1076	681
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4414	13575	90801	17057	30957	21478	21309	102063	69773	41425	5642	26001	89410	22536	13231	31094	22550	75346	18177	14056	26532	16996	62975	22036	9759	62533	79485	92318	97310
Chi phí thuế TNDN###Corporate Income Tax Expenses	2054	1964	6129	1019	3233	940	937	7927	1333	5813	-1553	2333	9082	2208	745	4400	1728	7183	1950	1223	3209	800	5816	2267	1073	5060	7521	7908	6783
Chi phí thuế TNDN###Corporate Income Tax Expenses	2054	1964	5829	1019	3233	640	937	7927	1333	5813	-1553	2333	9082	2208	745	4400	1728	7125	1888	1255	3173	809	5824	2287	1030	5021	6646	8414	7513
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	300	0	0	300	0	0	0	0	0	0	0	0	0	0	0	58	62	-32	36	-9	-8	-20	43	39	875	-507	-729
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2360	11611	84714	16037	27724	20548	20405	96749	71052	35612	7194	23728	80247	20233	12264	26720	20938	69376	16227	12833	23323	16195	58836	19768	8686	59207	71963	84410	90527
---Cac Chi So Tai Chinh---																													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.50	17.70	12.81	12.81	12.36	12.18	11.59	12.10	12.10	10.71	10.27	10.50	9.85	9.85	9.98	9.14	9.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
