CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	88328	94172	94685	94744	84291	97576	145771	145198	145198	130452	144319	159660	165804	165804	150175	142664	137943	133503	133503	116664	116413	117624	132390	132390	128404	121615	125871	161468	159698	156469	170828	203080	219568	216069	257519	236986	254866	248786	249472	272765	255728	249918	222450	222292	187570	187951	151870	132780	132733	120084	102780	96035	97657	97590	103933	103933	79945	40950
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8196	4410	7540	7540	22925	7199	40767	17126	16626	11066	2935	19229	34239	34239	32587	39007	54720	45187	39987	28135	63372	84481	99710	99710	99958	92081	90623	123600	123305	99044	103981	166498	189717	189717	235914	197956	231887	235255	146328	249420	146869	137414	175868	174934	131536	136558	74398	59883	90783	76570	63356	55973	50343	35254	20114	20114	46721	22163
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	43494	53300	51800	51800	31800	59300	75500	102500	103000	105000	121200	121200	106300	106300	101300	75800	62800	62800	68000	63800	23900	0	0	0	0	0	0	0	0	17500	27500	0	0	0	0	0	0	0	88928	0	60000	80000	20000	20000	12000	12000	45000	44400	13500	4500	0	5000	5000	20089	46374	46374	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1706	2825	2023	2023	1766	2198	3869	10070	10070	2922	11746	4229	6552	6552	2697	7772	3134	3051	3051	6282	6121	4812	5425	5425	6722	9193	7969	9983	8163	12667	18505	21816	15862	12362	13710	25875	13230	2473	3284	8350	33446	19013	14060	14837	31455	31149	28670	22267	22220	32204	30659	26327	32615	32548	29322	29322	25562	16529
Hàng tồn kho###Inventory	34828	33533	33053	33053	27697	28774	25329	15377	15377	11361	8242	14804	18612	18612	13489	19638	17142	20606	20606	15236	20716	26705	25173	25173	20199	19489	25720	25820	25820	25854	19925	13747	13282	13282	7258	12490	8651	10269	10269	14380	14973	13195	12215	12215	12194	7667	3545	6004	6004	6502	8532	8499	9455	9455	7810	7810	5887	2119
Tài sản ngắn hạn khác###Other Current Assets	104	104	268	328	104	105	306	125	125	104	197	197	102	102	102	448	148	1860	1860	3211	2304	1626	2081	2081	1525	852	1559	2065	2409	1403	917	1019	708	708	638	666	1098	789	664	615	440	296	307	307	385	577	257	226	226	307	232	236	244	244	314	314	1775	139
Tài sản dài hạn###Non-current Assets	79035	81568	83692	83692	97565	100885	102354	105430	105430	107528	105520	101354	97254	97254	98879	96043	117368	116815	116815	138755	140995	140459	142676	142484	143753	145779	140600	127632	128366	135291	137553	139788	114017	114017	88726	88323	39773	39808	68926	69086	36888	31222	31906	30826	19753	11401	11428	11462	11297	8890	9838	8128	8444	8226	9093	9093	15753	20040
Các khoản phải thu dài hạn###Long term Account Receivable	2398	2398	2157	2157	2157	2157	2157	1919	1919	1919	1919	1909	1687	1687	1690	1690	1690	1461	1461	1461	1920	1920	1704	1704	1704	2580	1704	1488	0	0	0	0	0	0	0	0	0	0	30372	30372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	24107	26080	28090	28090	30862	33673	34015	36727	36727	38881	29327	31812	33241	33241	32891	34832	35822	35088	35088	37122	39283	41433	43509	43509	45783	48058	47214	49460	49460	58401	60485	71146	73097	73003	47709	47283	29339	23033	28106	28155	27558	24906	21532	24568	17082	9064	9062	8740	8819	6552	6627	7012	7350	7132	8136	8136	14630	19159
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-52186	-51128	-50069	-50069	-49012	-47915	-46919	-45922	-45922	-44903	-44063	-43336	-42562	-42562	-41185	-39871	-38587	-37383	-37383	-36113	-34851	-33567	-32283	-32283	-30863	-30042	-28638	-27234	-27234	-27580	-25811	-24047	-22283	-22376	-20502	-19124	-17753	-16438	-16438	-18176	-16936	-15783	-14743	-14540	-13835	-13845	-13525	-13133	-13133	-12750	-12389	-12028	-11671	-11827	-9899	0	-15301	-10267
