CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	455095	467495	489937	489937	496611	467526	446500	536359	558297	560227	579368	515908	586823	643876	632638	542801	482005	492566	501100	505359	476965	531011	538533	473675	569675	491057	433517	512876	514669	518838	419077	460815	515989	522379	496115	609137	385517	391809	383738	408207
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	146361	144091	130961	130961	116030	105965	115081	99368	99503	121352	108078	85178	115386	115387	120383	98150	98282	128229	128230	150787	111617	135635	130656	145686	29805	44827	106233	117643	117267	57856	4764	39181	48021	48083	33270	39771	114701	131657	144048	95965
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	194	194	194	194	209	209	209	107	107	159	209	120	616	616	492	212	212	212	212	15212	15212	0	15050	0	72000	72000	72000	72000	72000	72000	72000	72150	72150	0	0	0	70165	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	165255	180665	218463	218463	213015	192879	187769	306965	328554	202134	300301	281663	336484	394923	267583	273318	247334	238876	257235	213785	237435	256803	267017	276895	367729	254817	201623	231836	229869	282660	214418	186749	270962	277549	179784	278393	138857	189480	200672	270794
Hàng tồn kho###Inventory	69887	67685	67391	67391	94524	92723	68828	56069	55956	154501	96564	75576	61063	59698	166489	96197	61877	52444	42502	52660	39885	64245	52672	49912	96405	112989	52341	74232	78360	78428	82034	145133	119720	119461	188481	194598	49679	59851	27681	37064
Tài sản ngắn hạn khác###Other Current Assets	73399	74860	72928	72928	72833	75750	74612	73850	74178	82081	74215	73372	73274	73252	77690	74924	74299	72804	72921	72914	72815	74328	73137	1181	3736	6423	1320	17165	17173	27894	45861	17603	5137	5136	22415	26210	12115	10820	11338	3973
Tài sản dài hạn###Non-current Assets	44860	45392	51135	51135	49557	50547	50872	49885	49102	47823	48757	49577	271477	33100	33553	32536	36127	36762	38583	63663	64387	64791	64478	57273	81133	75304	81855	71473	69823	109741	129084	129401	133556	136323	135042	141479	134406	193024	193882	190732
Các khoản phải thu dài hạn###Long term Account Receivable	124	125	224	224	224	228	247	176	176	-198	336	248	402	239	347	248	258	300	300	301	300	323	325	325	310	22	4164	5	0	0	60	0	403	403	400	400	454	555	1200	0
Tài sản cố định ###Fixed assets	14656	15131	15659	15659	13942	14408	14878	15365	15408	14367	13178	13528	14029	14029	14638	15263	15695	16212	16212	32880	33856	34944	35629	35629	36706	37206	37923	38838	38843	39999	41189	42440	43653	43653	45681	46992	46998	20256	18618	42750
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-33952	-33481	-32993	-32993	-32567	-32144	-33706	-33263	-33566	-33156	-32772	-30444	-32057	-32057	-31619	-31165	-28706	-30230	-28238	-33801	-34928	-33933	-33102	-31114	-30203	-31273	-28200	-29135	-29119	-26056	-26989	-25912	-24859	-24780	-23403	-22194	-21675	-23615	-20809	-20572
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5405	-5366	-5327	-5327	-5288	-5244	-5205	-5161	-5706	-5662	-5618	-5570	-5446	-5446	-5276	-5106	-4931	-4765	-4765	-4594	-4428	-4262	-4096	-4092	-3926	-3764	-3592	-3427	-3422	-3238	-3058	-2883	-2688	-2683	-2521	-2335	-2050	-1900	-1880	-1503
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	1047
Bất động sản đầu tư ###Real Estate Investment	15681	15681	15681	15681	15681	15681	15681	15681	15681	15681	15681	16311	237505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22039	19576	19878	19878	20180	20483	21087	22297	23506	23790
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	13771	13771	18749	18749	18749	19249	19249	17886	17714	17229	17229	18547	18547	17838	17838	16416	18818	18818	20530	22376	22186	21394	21394	19945	31352	30219	28512	31612	29949	64960	64481	65849	67801	70565	67204	71451	63051	112788	110124	111288
Tài sản dài hạn khác###Other long term assets	629	685	821	821	961	981	736	696	124	475	1989	598	649	649	730	609	1035	1111	1220	1421	1363	1447	1296	1374	1686	1795	777	1018	1030	4783	1315	1537	1821	1824	1577	2153	2815	6536	15086	11856
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	499956	512887	541071	541071	546168	518073	497371	586243	607400	608050	628125	565484	858300	676976	666191	575337	518132	529328	539683	569022	541352	595802	603011	530948	650808	566361	515372	584349	584492	628579	548160	590216	649545	658702	631157	750617	519923	584832	577621	598939
Nợ phải trả ###Liabilities	174850	184119	209450	209450	216645	191141	170556	260549	282063	268487	297710	237231	526707	345482	335539	245794	191441	199585	210250	213886	185620	218190	224922	153971	296398	210423	137542	204061	205910	254494	180246	224998	274501	281033	254615	373191	146462	227448	157380	273063
Nợ ngắn hạn###Short term Liabilities	172727	181894	206285	206285	213396	188833	168529	257912	239750	228196	294226	232991	522611	342205	333998	244003	188978	197121	206688	193378	164810	197954	204333	132616	270491	185014	107120	182448	204013	233476	158879	200575	252268	256474	230879	371638	121118	194722	116707	232297
Nợ dài hạn###Long term Liabilities	2123	2225	3165	3165	3249	2308	2027	2637	42312	40292	3483	4241	4097	3277	1541	1792	2464	2464	3561	20508	20811	20237	20589	21355	25907	25409	30421	21613	1897	21018	21367	24424	22234	24559	23736	1554	25344	32726	40672	40766
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
