CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	924389	521395	172017	213488	560788	294788	555169	556812	548679	358933	403481	698199	271851	275098	387998	582121	439696	304501	303714	320214	338495	404408	218385	283166	361785	456222	501337	255427	230780	214490	268903	321851	329095	329095	326303	263589	268908	180679	246967	253840	220072	284620	167112	361974	378988	382983	258197	323426	323426	368487	308981	232237	115443	115443	206044	195620	304268	267382	140520	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4385	3094	2846	2846	1680	2605	3011	1516	1516	2229	2289	1627	1158	1158	1390	4144	3252	1270	1270	1870	1886	2357	658	658	1194	913	1420	577	577	1701	755	784	656	656	92799	227	950	430	417	519	708	1419	214	214	27634	1135	9348	3076	3076	12203	2534	1165	4639	4639	42272	23846	1592	5195	26507	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	524064	268815	15178	13440	314034	64563	355459	411114	404595	157890	130326	502532	42104	42104	221149	268860	253939	149983	151249	184980	158439	211493	41679	84594	160389	203812	259831	60876	50185	94818	119867	138586	182918	182918	125014	128814	138790	42942	122667	142407	95865	172129	98661	294117	211832	205119	123440	227688	227688	269385	199066	143319	53769	53769	90562	46261	156429	163598	71784	18519
Hàng tồn kho###Inventory	353300	224707	119125	165558	224606	206981	178351	118858	118545	164752	257532	179860	201868	202908	149434	297632	173300	92970	93118	117130	158491	138271	120077	134377	170389	222703	197463	132521	132736	87836	121256	160473	125743	125743	104372	133710	128203	125069	122296	108099	121424	108520	66554	65960	138906	174869	124942	92212	92212	85743	105843	86936	54427	54427	72990	124196	146564	92465	40377	0
Tài sản ngắn hạn khác###Other Current Assets	42639	24778	34868	31645	20468	20639	18349	25323	24023	34062	13333	14180	26721	28927	16024	11484	9205	60279	58078	16233	19680	52287	55970	63538	29813	28794	42623	61453	47281	30135	27025	22008	19779	19779	4118	838	966	12238	1587	2814	2074	2552	1684	1684	616	1860	467	449	449	1156	1538	816	2609	2609	220	1318	-316	6124	1851	0
Tài sản dài hạn###Non-current Assets	2764245	2915659	3076641	3106329	3019877	3141199	3274135	3378037	3379252	3440755	3601610	3710610	3775852	3771867	3728334	3725086	3803345	3877275	3877314	3091897	3041495	2958427	2982020	2957797	2807052	2679030	2649548	2392737	2416334	2155610	2084159	1891038	1851166	1851166	1636053	1517270	1427847	1370688	1373026	1246660	1240301	1177181	1180161	942186	859088	861380	795760	825317	825317	726871	720459	676994	697618	697618	453122	443347	319115	341315	229601	0
Các khoản phải thu dài hạn###Long term Account Receivable	36425	36779	36294	35951	33794	33794	33358	32703	35003	35045	35164	35047	31224	31052	30999	31058	30577	25295	25295	23738	23738	24839	21184	21784	21873	21184	7777	7777	7777	7867	7169	7420	7420	7420	7773	7773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163203
Tài sản cố định ###Fixed assets	2395607	2560355	2661291	2583277	2686296	2766041	2855468	2988038	2995315	3109645	2928119	3030491	3139566	3139566	2939698	2693743	2776590	2927728	2927728	1876727	1885533	2053447	1872584	1869455	1669679	1650438	1424271	2263848	1435542	1332399	1346643	1244838	1731807	1731807	1608106	1502460	1422544	295780	1358813	1242974	1236616	1173496	383531	938396	856112	857300	790578	395859	820844	723762	717350	673511	694544	694544	449839	433336	308574	331062	221689	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3073379	-2977576	-2902317	-2980331	-2854444	-2761792	-2662279	-2529761	-2522502	-2352864	-2215883	-2106931	-1988392	-1988392	-1906730	-1853793	-1720818	-1576410	-1576410	-1527650	-1455343	-1322692	-1245638	-1246133	-1190708	-1130885	-1094861	-1055422	-1055422	-1064345	-992500	-964322	-918234	-918234	-877934	-835062	-812876	-774764	-774587	-701024	-696210	-658874	-622163	-622163	-598970	-562002	-566726	-519363	-519363	-491545	-463773	-433592	-396631	-396631	-372302	-346807	-323514	-299781	-205942	0
