CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	125655	122838	121908	119601	125814	128254	118459	124133	124598	145857	140303	81865	94708	95338	90900	89928	84291	99531	98846	106479	104605	93904	89625	89694	86523	61587	61877	66243	66510	78722	88149	82913	61582	66028	100284	79667	64442	63019	62721	80557	79586	78210	98149	97186	89957	90802	72211	73352	73909	77074	67411	0	57660	5766	46996	37294	14657
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	58929	45995	61469	62236	60494	54957	51617	57940	58076	57829	48016	40942	42734	42744	48382	28245	35330	46524	46640	52521	36270	45150	52599	52599	39703	20578	10899	25533	25533	15419	23006	24583	22135	23639	36992	30111	28201	30467	30523	37025	44567	32830	57679	57669	57309	53275	35372	38225	38225	45365	30909	0	24424	24424	7278	20425	4843
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	19129	30846	11152	10452	22953	28699	21458	21193	21193	50007	34703	3686	10919	10919	1283	1283	1283	1283	1283	1483	200	1200	0	0	4650	7150	7050	4550	4550	20000	20500	6300	800	0	0	800	0	800	800	0	2800	0	0	0	0	0	0	0	0	0	0	0	4742	4742	4965	1884	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	43688	42932	46639	44248	40091	41738	42173	42429	42736	34710	54683	35046	37249	37864	37705	56297	43260	47854	46920	48807	61320	41389	31811	31877	39216	29316	39444	30137	30401	37689	39867	48259	34534	38039	59557	45875	32580	28103	29260	39444	29730	42281	38449	37309	29686	34476	33812	32476	33069	29801	33633	34303	24940	2494	32240	12957	9043
Hàng tồn kho###Inventory	1271	599	392	392	579	666	780	632	632	778	561	667	656	656	659	529	840	731	731	689	720	553	409	409	1036	940	880	1137	1137	1140	1183	452	400	778	330	544	1424	1314	1314	161	378	322	349	0	0	0	0	0	0	0	0	0	266	266	266	266	0
Tài sản ngắn hạn khác###Other Current Assets	2639	2465	2256	2272	1696	2193	2431	1940	1962	2533	2340	1523	3149	3155	2872	3575	3578	3139	3272	2979	6094	5612	4806	4809	1918	3602	3604	4886	4888	4474	3594	3318	3713	3573	3406	2336	2237	2336	823	3926	2111	2778	1671	2208	2962	3051	3028	2651	2614	1908	2870	0	3288	3288	2248	1762	771
Tài sản dài hạn###Non-current Assets	125367	127267	129121	131520	133605	134296	135802	137791	137798	139008	140518	188020	190455	190525	188498	184876	193438	188365	188627	183435	180553	182900	179625	179918	164674	178438	178365	165799	166173	154346	134921	169388	174170	173683	157165	145300	156414	149533	164235	151938	125980	131511	102161	100311	97533	92820	106877	101863	101957	95467	90828	0	86222	86222	89114	67579	32964
Các khoản phải thu dài hạn###Long term Account Receivable	55	55	55	55	55	55	55	55	55	55	55	367	367	367	367	467	467	467	467	449	1497	997	997	997	1200	8170	8248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	113920	116858	118654	118654	120596	123863	125421	126942	126942	128067	129571	133207	132374	132396	134059	129767	133003	97718	97712	100352	102051	105957	106825	106825	94366	97811	101312	110859	94892	92270	88897	81926	94095	94159	83896	77660	81120	74997	75867	76714	38336	40543	38625	38779	38571	40068	42435	43459	43461	45808	47084	0	46426	46426	50405	45445	6929
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-90416	-89282	-88143	-88143	-86401	-84710	-82250	-79771	-79771	-79399	-78304	-80434	-78255	-78233	-75221	-73355	-70183	-67010	-67017	-63832	-60681	-58442	-55602	-55602	-53029	-51026	-47595	-44782	-44782	-42034	-39184	-36569	-44787	-44711	-42291	-39640	-43057	-40348	-40348	-41201	-37782	-36021	-34161	-34179	-31941	-29721	-29387	-27404	-27402	-25394	-22911	0	-18744	0	-14257	-7626	-2453
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	-1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1993	-1849	-1705	-1705	-1561	-1417	-1273	0	-1129	-985	-841	-697	-553	-553	-409	-264	-120	-22	-22	-17	-11	-6	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-16	0	-13	0	-7	-1019	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	371	557	742	742	928	1114	1299	0	1485	1670	1856	2042	0	2227	2413	2599	2599	2970	2784	2970	3155	3341	3712	3527	2708	2701	5011	4455	4455	4640	4826	0	5197	0	5197	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	2400	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5784	5784	5784	5784	5784	5784	5784	5784	5784	5784	5784	47958	47958	47985	45433	41043	46695	43867	44268	42593	40480	44674	43110	43398	39314	53131	49784	47913	48268	44546	39807	78984	74218	74491	68415	62938	70081	68187	83750	70182	82758	85747	57882	56702	54378	49347	58902	53474	53530	44644	38419	0	34017	34017	31433	21694	26035
Tài sản dài hạn khác###Other long term assets	3792	4281	4420	4419	4020	4400	4348	4370	4377	4907	4913	5776	4983	5004	4948	5085	5692	5650	5518	6608	6852	5709	5869	5132	13255	4883	4393	5542	5439	4741	4361	3875	3630	2806	2441	2103	2429	1648	1648	1887	1545	1695	1943	2121	1980	704	529	474	511	375	499	0	582	582	1336	440	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	251022	250105	251030	251121	259418	262550	254261	261923	262395	284865	280821	269885	285604	285864	279398	274804	277729	287896	287473	289914	285157	276804	269250	269612	251197	240024	240243	232043	232683	233068	223070	252301	235752	239711	257449	224967	220857	212552	226955	232494	205566	209721	200310	197497	187491	183622	179088	175215	175865	172541	158239	0	143882	143882	136110	104874	47621
Nợ phải trả ###Liabilities	14654	13815	16549	16639	14870	20760	14094	13800	14257	26439	20493	11877	16333	16482	15321	17821	11128	22593	22150	18256	22288	15586	13319	13382	18579	18686	15520	13930	13588	17288	15882	24050	18856	22481	47739	24879	25570	22189	20701	37771	32852	41489	36322	35438	29193	29023	24564	26506	27096	30653	19909	15590	9425	9425	11575	15324	18218
