CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	179055	128458	190793	190793	343216	294908	310899	362743	362667	415108	270588	266333	253863	253863	284040	174931	209472	196987	200177	312526	461611	560479	256611
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	60438	59153	120711	120711	131984	156222	102081	149540	149540	249899	171126	154894	190207	190207	157122	95494	80249	119698	119698	69825	33677	101570	135533
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	32000	32000	42000	42000	42000	0	0	5000	5000	5000	5000	5000	10000	10000	10000	5000	0	5000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	93740	44830	46080	46080	155119	82771	146297	152033	152033	145819	79009	102414	55644	55644	117885	69832	112303	63673	66862	231738	418957	453592	119957
Hàng tồn kho###Inventory	24504	24475	23347	23347	23548	23294	20010	19094	19094	18723	18851	3012	3012	3012	3971	4175	5112	0	0	538	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	374	0	654	654	565	622	510	76	0	667	1601	1013	0	0	63	430	1808	3617	3617	5425	8977	318	1121
Tài sản dài hạn###Non-current Assets	3960771	4030161	4098438	4098394	4169531	4232617	4287289	4345031	4345031	4414989	4484078	4547453	4615159	4615159	4670956	4731886	4730662	4775478	4773882	4822844	4947572	4969769	5437160
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3923558	3994135	4064729	4064729	4131043	4021215	4077825	4143163	4143163	4283297	4350851	4418709	4485866	4485866	4468313	4535191	4600525	4665045	4665045	4731906	4624762	4809340	5437160
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1937824	-1867248	-1796654	-1796654	-1726301	-1658640	-1592216	-1527097	-1527097	-1470246	-1402319	-1335332	-1268174	-1268174	-1197088	-1129720	-1063083	-996957	-996957	-929375	-731673	-471272	-235493
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	12128	12931	13708	13708	14492	15245	8117	8505	8505	8957	9181	9492	9714	9714	9936	10158	6077	6299	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4139826	4158620	4289230	4289186	4512747	4527525	4598188	4707775	4707699	4830097	4754666	4813786	4869022	4869022	4954997	4906817	4940134	4972465	4974059	5135370	5409183	5530248	5693772
Nợ phải trả ###Liabilities	1622347	1710233	1761430	1761430	1915757	2053414	2109210	2241731	2240614	2411324	2489591	2551018	2623414	2623969	2736152	2757842	2747633	2736309	2738175	2867467	3121158	3219340	3410855
Nợ ngắn hạn###Short term Liabilities	536807	543535	594578	594578	477013	614711	488527	621063	619947	514763	593064	487431	559759	560314	453604	488405	371134	395732	397942	430071	877495	808567	685595
Nợ dài hạn###Long term Liabilities	1085539	1166699	1166852	1166852	1438744	1438702	1620683	1620667	1620667	1896561	1896527	2063587	2063655	2063655	2282548	2269437	2376500	2340577	2340234	2437397	2243663	2410773	2725259
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2517480	2448387	2527800	2527756	2596990	2474112	2488979	2466044	2467085	2418773	2265075	2262768	2245608	2245053	2218845	2148975	2192501	2236156	2235884	2267903	2288024	2310908	2282917
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2517480	2448387	2527800	2527756	2596990	2474112	2488979	2466044	2467085	2418773	2265075	2262768	2245608	2245053	2218845	2148975	2192501	2236156	2235884	2267903	2288024	2310908	2282917
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	106690	56639	661952	83195	279353	130740	168664	875058	219369	332526	155310	167852	650527	202933	240049	114258	93286	519246	120684	196690	455933	633471	598777
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	106690	56639	661952	83195	279353	130740	168664	875058	219369	332526	155310	167852	650527	202933	240049	114258	93286	519246	120684	196690	455933	633471	598777
Giá vốn hàng bán###Cost of goods sold	87220	95149	392581	103165	103581	93395	92439	419699	116218	120712	93348	94050	388137	110254	107711	94220	75952	308262	88075	78364	302342	276360	235522
Lợi nhuận gộp###Gross profit	19470	-38510	269370	-19970	175771	37345	76225	455359	103151	211814	61962	73803	262390	92679	132339	20038	17335	210984	32610	118326	153591	357112	363255
Doanh thu hoạt động tài chính###Financial activities Revenues	117	491	6686	1407	1398	1774	2107	7364	2405	1592	1602	1764	3073	1496	554	453	569	1150	578	292	823	3145	2375
Chi phí tài chính###Financial Expenses	35307	36485	174484	39952	42918	45328	46286	216682	55453	52618	54070	54541	232567	57457	58878	58888	57343	246489	60427	63694	258352	330306	286310
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	4996	4371	26802	11833	4935	5508	4526	25527	9529	6330	5414	4249	23077	9856	4144	5131	3946	18315	5362	5389	16228	20021	15979
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-20717	-78876	74771	-70349	129317	-11717	27519	220514	40573	154458	4080	16777	9819	26863	69870	-43528	-43385	-52670	-32600	49535	-120167	9930	63341
Thu nhập khác###Other incomes	30	3	313	136	47	29	100	813	-194	393	216	383	3	0	0	2	0	2327	581	1721	1613	21237	376
Chi phí khác###Other Expenses	3	5	2501	2363	17	160	5	184	168	2	0	0	370	100	0	0	270	724	0	43	0	90	5790
Lợi nhuận khác###Other profits	27	-2	-2188	-2226	30	-131	95	629	-362	391	216	383	-367	-100	0	2	-270	1603	581	1678	1613	21147	-5414
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-20690	-78878	72582	-72575	129347	-11848	27614	221142	40211	154849	4297	17161	9452	26763	69871	-43526	-43655	-51067	-32019	51213	-118553	31078	57927
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	4242	-3341	6471	-274	1387	3726	2291	1151	0	0	0	555	0	0	0	801	0	322	0	43	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	4242	-3341	6471	-274	1387	3726	2291	1151	0	0	0	555	0	0	0	801	0	322	0	43	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-20690	-78878	68340	-69234	122876	-11574	26228	217416	37920	153698	4297	17161	9452	26208	69871	-43526	-43655	-51868	-32019	50891	-118553	31034	57927
---Cac Chi So Tai Chinh---																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.80	10.00	12.70	12.70	12.00	12.00	12.00	11.70	11.70	9.80	10.00	11.00	10.40	10.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
