CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011
Tài sản ngắn hạn###Current Assets	5118278	3790098	3872423	3923048	5765013	3608669	3814229	4177427	4317257	4827162	4236282	3712263	4416623	4411861	4008807	6746161	7346767	6475478	7579787	6539845	6252647	8271996	7220860	7089212	8261221	7675054	5879949	5061400	5061400	3342643	3342643	3577212	3577212	2815293
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	50055	19162	111485	111485	140263	103762	50584	72447	72447	544517	146349	48521	53263	53286	29730	1393482	37665	311458	311164	110469	87518	546139	331961	331738	415037	112250	162698	46805	46805	150191	150191	1523845	1523845	378337
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605684	0	0	8500	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2686861	1430804	1550646	1600517	3663871	1612959	2072981	2766412	2836857	2869762	2804164	2333035	3315582	3223176	2861211	4271611	4665008	4648270	5374763	4636303	3716433	3848637	3888557	3763467	5200681	5388062	4056655	3716205	3716205	2283017	2283017	1510038	1510038	2009500
Hàng tồn kho###Inventory	2318356	2290514	2166596	2167359	1910343	1851138	1646925	1294888	1366594	1381054	1262520	1284309	1008560	1098521	1071342	1061083	1256160	1495796	1864272	1780149	2424534	3222233	2966320	2956391	2612658	2139149	1615430	1140636	1140636	797520	797520	480358	480358	376532
Tài sản ngắn hạn khác###Other Current Assets	63005	49618	43695	43686	50537	40810	43740	43680	41359	31829	23250	46398	39217	36878	46525	19984	1387934	19953	29589	12924	24162	49304	34022	37617	24345	35593	45166	157754	157754	111915	111915	62972	62972	50923
Tài sản dài hạn###Non-current Assets	20162647	20342827	19408066	19328636	19067845	27252429	26955424	26354127	26383007	25610661	25413954	25113217	27865557	28079082	27758540	27481505	26871652	28527660	28348744	23915986	23243957	22289182	19880732	19380911	15199749	13021737	12357479	11909218	11909218	9898664	9898664	6993900	6993900	3074905
Các khoản phải thu dài hạn###Long term Account Receivable	2018	10452	10373	10373	7529	5695	6554	6556	5833	7013	158667	156702	2651638	2700556	2329419	2755965	2682883	2525036	1983428	2231624	1828015	1499996	1383682	1426757	1171752	662580	289474	280000	280000	0	0	0	0	0
Tài sản cố định ###Fixed assets	9471916	8641987	8518016	8424422	8417925	10908817	10812932	9207445	9229627	9195475	9056859	7827104	6900466	6767708	6653002	6730922	5242044	6849442	6659111	6287281	6031510	5505910	5596338	5600388	4720190	4292326	4222065	10444482	4178393	8771281	2825226	777886	777886	279747
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2220135	-2159781	-1963979	-1956017	-1831475	-2013776	-1672767	-1528695	-1402602	-1445977	-1337412	-1250828	-1119609	-1062259	-1002573	-908950	-821479	-1203282	-1190793	-996801	-930202	-795624	-692782	-692712	-591609	-500250	-445030	-383340	-383340	-190440	-190440	-66231	-66231	-33771
