CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	391338	391065	383239	383239	395928	407275	397135	392528	392528	371069	357812	296541	327296	273114	259157	249933	334944	300785	300785	273372	262638	250069	231590	231797	218106	206324	204072	228076	225684	132335	129637	122524	117394	119474	149089	150122	123659	128891	131748	117561	116348	119153	121574	118133	101585	113882	97770	114395	110974	132951	143206	135020	99860	99860	84029	93652	90296	83634	85330	142975	158820	175752	134105	134721	121774	103356	78612	78863	78863	117499
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2512	2474	2893	2893	3061	2166	3134	1556	1556	1494	1685	1733	4869	4866	3047	3068	4553	1826	1826	3453	4633	10344	13106	13106	6328	9823	25155	87356	87356	1471	4992	4284	2239	2280	6111	5025	4082	5044	5044	5527	4762	6629	3935	3935	3572	3823	17603	18218	15218	9733	6851	16454	15852	15852	17939	16898	3326	3627	3638	8661	7084	6694	15111	15111	3478	5446	3686	6659	6659	5517
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7	7	7	7	7	7	7	7	7	7	7	12	12	12	12	12	12	12	12	12	1	12	12	12	12	12	13	13	115	115	115	115	115	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	3031	38	38	24	24	24	7224	24	15	15	16	133	1883	25883	36356	356	569	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	189938	188480	180044	180044	179280	191943	190868	187486	187486	184262	189082	137869	175072	115732	112401	111451	203900	180505	180505	176226	177463	179776	156485	141589	120937	117147	109927	85933	84730	78556	77583	81573	84039	84223	92105	97508	75721	67331	88776	62122	57999	35016	59183	59838	38422	36253	23831	36234	47282	38258	28491	26038	25308	25308	12383	28434	10466	9889	8946	30923	35558	48845	40942	77172	42601	24250	13903	21606	21606	18849
Hàng tồn kho###Inventory	198571	199847	200144	200144	210951	212999	202477	202801	202801	183578	165304	155069	144484	149655	141152	132723	120683	114312	114312	86050	75109	55473	57951	58025	77313	70164	62088	48315	46883	44955	36331	21688	18269	18797	40729	39609	35718	49329	30564	41657	47032	69166	52534	48438	51574	67769	52603	56762	43576	80145	100895	83276	53548	53548	45123	47587	72286	69254	70966	100665	111241	89002	40077	40462	73352	68126	53087	47118	47118	91949
Tài sản ngắn hạn khác###Other Current Assets	310	257	152	152	2630	160	649	679	679	1728	1735	1858	2859	2849	2545	2679	5796	4130	4130	7633	5432	4464	4035	19065	13516	9178	6887	6459	6601	7237	10615	14864	12732	14142	10113	7948	8106	7155	7332	8223	6524	8311	5891	5891	7986	6006	3702	3150	1867	4777	6931	9228	5127	5127	1360	709	4203	849	1764	2593	3054	5328	1619	1619	1774	5534	7936	3479	3479	1183
Tài sản dài hạn###Non-current Assets	107489	110181	112782	112782	119096	105512	108034	110063	110063	114136	118573	201598	131691	205289	223595	229281	143889	143371	143371	146290	149023	110469	109234	109753	103514	104293	107738	111610	111610	106259	110268	109209	110338	110443	89539	78663	82436	84993	90537	81168	81462	89279	92424	92424	93283	96814	99715	104316	109710	105447	108061	112723	113342	113342	113071	116404	126724	124467	126326	129709	137778	139201	138445	138821	130587	128640	127551	127342	127342	90048
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	1125	0	0	0	0	0	0	64950	0	64950	88237	88237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	77588	80182	82745	82745	85464	75940	78026	81161	81161	85001	88938	92703	96062	96062	99406	103304	106451	99454	99454	102617	68913	71081	64795	65048	63901	66682	68238	71789	71012	62214	65543	68893	72501	73157	42786	45005	46434	48754	55201	71010	73328	84288	62840	86854	87247	90242	92151	74130	104674	101002	104920	112606	113225	113225	112210	115601	121671	120827	121073	124007	131975	132742	131929	120829	122415	125717	127551	127343	127342	90048
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-161386	-158960	-156537	-156537	-157888	-155030	-151736	-148628	-148628	-144827	-140929	-137062	-133742	-133742	-129932	-126073	-122192	-118458	-118458	-114842	-111596	-108518	-105445	-105193	-102360	-99591	-96810	-93771	-93771	-90441	-87123	-83785	-80433	-81975	-79626	-77253	-74835	-72407	-83346	-80826	-78229	-91619	-89028	-89028	-87194	-84520	-81160	-77785	-77785	-74400	-69003	-66976	-64033	0	0	0	0	-50477	0	0	0	0	-40471	0	-36814	-33861	-30880	-27932	-27932	0
