CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Tài sản ngắn hạn###Current Assets	50152	63608	72885	72361	70089	59577	66780	59260	58409	58175	46653	43611	42244	40824	37342	26696	27618	21025	19885	24561	24628	27537	21897	22665	26433	23459	24425	20600	20659	126260	18860	27561	24540	33795	47450	51949	60294	47841	55490	50395	42862	45121	47224	47230	41136	35654	36382	49521	49521	49521	49521	24833	24833	30133	30133
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25659	5440	14677	14716	13986	24524	52036	46472	46470	43298	31663	27792	27281	27274	18042	10270	6498	5943	5943	4427	3405	3913	3357	3364	4418	3971	2987	3555	3619	5422	4491	9748	6999	6999	24444	22488	27747	19475	19475	12259	24911	27267	29811	29705	21146	5117	3227	8407	8407	8407	8407	7779	7779	6786	6786
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	16000	45000	45000	45000	42000	22000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	12500	15500	15500	15500	15500	6000	0	4000	4000	7000	18000	14000	16000	16000	18000	16000	7000	7000	16000	16000
Các khoản phải thu ngắn hạn###Short term Account Receivables	5664	9683	9170	8513	10012	9018	11279	9244	8354	10457	10777	11727	11004	9594	15072	12233	17008	10706	9743	15866	16832	18994	13988	14697	17075	15092	17430	12903	12898	117724	11607	15273	14498	23752	17510	14623	14697	10377	17792	19193	9175	15908	11706	11818	10974	10114	17714	23670	23670	23670	23670	8888	8888	6924	6924
Hàng tồn kho###Inventory	2157	2244	2560	2608	2580	2853	2106	2545	2545	3503	3414	2880	2833	2833	3313	3222	3086	3525	3200	2969	3183	3220	3379	3379	3319	3314	2841	3496	3496	1970	1350	1429	1443	1443	1263	1314	1409	1651	1651	1795	1625	1263	1347	1347	1250	1508	1140	1014	1014	1014	1014	475	475	423	423
Tài sản ngắn hạn khác###Other Current Assets	672	1240	1478	1524	1510	1182	1358	1000	1041	918	798	1212	1126	1122	915	971	1026	851	998	1299	1209	1410	1172	1224	1621	1083	1167	645	645	1145	1411	1112	1600	1600	1233	1024	940	838	1072	1648	1151	684	360	360	766	916	301	429	429	429	429	692	692	0	0
Tài sản dài hạn###Non-current Assets	66196	69478	71707	71902	75457	78795	85002	89467	89432	92955	96806	101426	105923	105775	109918	114746	119183	125909	126150	121754	122129	121917	123751	123763	125709	125281	130974	132333	132233	132176	132366	128609	113980	113980	98358	92068	94802	97655	97340	96474	99384	98567	101054	101054	93369	92176	80912	76712	76712	76712	76712	53041	53041	41795	41795
Các khoản phải thu dài hạn###Long term Account Receivable	524	529	529	742	1020	529	529	529	1129	1129	529	524	524	574	574	565	574	574	614	614	605	635	605	605	635	635	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	61398	63545	64710	64697	66588	69063	74419	77355	76719	79402	81521	84608	87634	87634	91015	93686	96442	100694	99781	85528	83733	87853	91172	91172	90470	92197	95010	103502	99214	100674	76618	110485	107406	107406	91098	84283	87563	81374	89379	88349	90268	89089	81189	91155	86220	85882	74162	61003	71351	71351	71351	52251	52251	41011	41011
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-154686	-152672	-153065	-151203	-152622	-150327	-153226	-150441	-151076	-148238	-146349	-143459	-141005	-141005	-137769	-134598	-131252	-127177	-127177	-123041	-120230	-116274	-112188	-112188	-109056	-106111	-104030	-99836	-99836	-95652	-93406	-90253	-87427	-87427	-84742	-87219	-86580	-83170	-83135	-79909	-77023	-74123	-71193	-71193	-70134	-69248	-67310	-66444	-66444	-66444	-66444	-57264	-57264	-53632	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3794	-3633	-3276	-3272	-3125	-2974	-2823	-2672	-2672	-2536	-2370	-2250	-2099	-2099	-1922	-1745	-1567	-1390	-1390	-1257	-1110	-949	-801	-801	-2019	-1988	-1957	-1894	-1894	-1832	-1769	-1707	-1644	-1644	-1584	-1530	-1476	-1421	-1421	-1315	-1209	-1102	-1027	-1027	-922	-811	-708	-620	-620	-620	-620	-353	-353	-269	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	4240	5282	6346	6360	7755	9112	9930	11474	11474	12255	13220	15474	16981	16783	18180	19940	21881	24642	24590	20868	20780	24469	26061	26073	27570	29276	26885	28831	28731	27095	27141	18124	6573	6573	7260	7785	7239	7960	7961	8125	9116	9477	9899	9899	7149	6294	6750	5361	5361	5361	5361	790	790	784	784
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	116348	133086	144592	144263	145546	138372	151781	148727	147841	151130	143459	145036	148167	146599	147260	141442	146801	146935	146034	146316	146757	149454	145648	146428	152142	148739	155399	152933	152892	258436	151226	156170	138520	147774	145808	144017	155096	145496	152829	146869	142245	143687	148278	148284	134504	127830	117295	126233	126233	126233	126233	77874	77874	71928	71928
Nợ phải trả ###Liabilities	23899	19735	29338	29285	31788	28673	27805	28382	27836	33799	33806	28774	36524	34982	37382	37068	44026	36543	35631	38168	42427	45586	36386	35483	40107	40358	48931	43372	43244	144771	40626	50498	31133	30564	24996	27069	43508	26525	25938	26582	29170	36216	29899	29984	23860	18998	12353	12894	12894	12894	12894	9950	13352	15751	15751
Nợ ngắn hạn###Short term Liabilities	23206	19235	28839	28615	30932	27817	26949	27527	26980	32291	31620	24688	28418	25835	28316	28772	35197	29539	28627	31013	35265	40380	34453	33551	40048	40303	32668	43310	43182	84709	40564	50436	31071	30502	24929	27002	43441	26458	25871	26442	29007	36034	29686	29655	23593	18814	12100	12730	12730	12730	12730	9724	13127	15617	15617
Nợ dài hạn###Long term Liabilities	693	500	500	670	856	856	856	856	856	1508	2186	4086	8106	9146	9067	8297	8829	7004	7004	7154	7161	5206	1932	1932	59	55	16263	62	62	60062	62	62	62	62	67	67	67	67	67	140	163	183	213	329	266	184	253	164	164	164	164	226	226	134	134
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	92449	113351	115253	114978	113758	109699	123977	120344	120005	117331	109653	116262	111643	111617	109877	104373	102775	110392	110403	108148	104331	103868	109262	110945	112035	108381	106467	109561	109648	113665	110600	105672	107387	117210	120812	116948	111587	118971	126891	120287	113075	107471	118379	118300	110644	108832	104942	113339	113339	113339	113339	67925	64522	56177	56177
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3403	0	0	0
Vốn chủ sở hữu ###Owners equity	92449	113351	115253	114978	113758	109699	123977	120344	120005	117331	109653	116262	111643	111617	109877	104373	102775	110392	110403	108148	104331	103868	109262	110945	112035	108381	106467	109561	109648	113665	110600	105672	107387	117210	120812	116948	111587	118971	126891	120287	113075	107471	118379	118300	110644	108832	104942	113339	113339	113339	113339	64522	64522	56177	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151226	156170	138520	147774	145808	144017	155096	145496	152829	146869	142245	0	148278	148284	134504	127830	117295	126233	126233	104367	126233	77874	77874	71928	71928



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2717	28500	183178	35461	54465	47833	45419	193719	39032	56111	50884	47821	187338	40380	55966	47762	43231	175171	33821	50983	44064	45827	164592	34785	49121	38535	42151	161810	36717	42493	39263	43338	147226	30292	33128	37030	46777	158624	36841	38706	38478	45032	132360	35192	32609	31502	33056	108902	27452	27800	24710	28939	92197	77047	69289
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	171	101	0	69	0	0	0	0	0	0	0	0	0	0	0	479	130	126	117	107	321	77	72	66	106	435	92	68	108	167	603	172	124	139	168	418	171	100	63	83	60	79	18
Doanh thu thuần###Net Sales	2717	28500	183178	35461	54465	47833	45419	193719	39032	56111	50884	47821	187167	40278	55966	47693	43231	175171	33821	50983	44064	45827	164592	34785	49121	38535	42151	161331	36587	42368	39146	43231	146905	30215	33055	36964	46670	158189	36748	38638	38370	44433	131756	35020	32485	31362	32887	108484	27281	27700	24647	28856	92137	76969	69271
Giá vốn hàng bán###Cost of goods sold	9176	24268	129148	25547	37376	34815	31929	132595	27544	36324	36174	32532	134499	29435	38810	33692	32791	133444	25216	38615	36334	33295	128679	29316	37948	31445	29530	124055	27962	34868	30387	30615	108814	22403	26329	28165	31917	102564	22778	25301	26506	27978	88864	22059	23341	24000	19404	67630	16433	17642	16106	17449	53637	50001	48963
Lợi nhuận gộp###Gross profit	-6459	4232	54030	9914	17089	13018	13490	61124	11489	19787	14710	15289	52668	10844	17156	14001	10440	41727	8605	12368	7730	12532	35913	5469	11173	7091	12620	37277	8625	7500	8759	12616	38091	7812	6727	8799	14754	55624	13970	13337	11864	16455	42892	12961	9144	7362	13483	40854	10848	10058	8541	11408	38501	26968	20308
Doanh thu hoạt động tài chính###Financial activities Revenues	1003	395	2446	1140	305	670	330	1523	574	377	367	205	341	193	35	45	39	78	31	14	19	14	202	22	82	77	21	119	27	22	44	26	2738	319	1201	1088	115	2085	321	599	559	575	3290	1528	701	343	554	3219	1696	611	544	370	1838	2213	1490
Chi phí tài chính###Financial Expenses	7	13	51	17	10	12	13	285	15	29	111	129	1128	291	190	350	300	704	104	121	248	230	1248	285	225	400	332	777	424	314	3	2	14	4	1	5	4	24	3	3	15	4	83	22	13	18	4	301	200	43	3	58	337	95	526
Chi phí bán hàng###Selling Expenses	341	2452	16572	3717	4806	4066	3982	18060	4710	4794	4281	4366	18619	3314	5812	6889	2419	10225	2557	2907	2661	2095	8628	2847	2360	1703	1717	4251	1248	926	732	1445	4193	1153	893	938	1209	4926	1633	967	1250	1075	4431	1556	1249	991	635	3953	1322	1309	704	618	2244	125	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2579	4673	22478	6008	7254	3999	5193	18689	3506	5709	4398	5086	18204	4464	4242	4956	4512	17689	3609	4810	4238	5020	14667	3800	4141	3007	4095	8709	1864	2150	1985	2712	8489	1627	2106	2157	2539	7497	2363	1687	1972	1548	5765	1408	1475	1464	1521	4857	1104	1306	1446	1001	4638	5953	4471
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-8383	-2511	17375	1312	5324	5610	4633	25613	3831	9632	6287	5913	15058	2967	6947	1851	3247	13186	2365	4544	603	5201	11572	-1442	4529	2057	6499	23658	5116	4133	6083	8483	28132	5346	4927	6787	11117	45262	10292	11279	9186	14402	35903	11503	7108	5232	11876	34963	9919	8011	6932	10101	33120	23007	16801
