CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	39021211	34134100	30436937	30471566	30494640	29254318	28055962	25308725	26013633	31834301	33311681	32950887	33068060	33077484	30643372	23982297	21530443	18182787	18169854	13826057	13663820	11642971	11915177	11921851	12061988	11258196	11503116	11745859	11745430	10847244	10185268	11110330	12402515	12287302	11805583	10883282	9713925	10220788	10146971	9582380	9704530	8643967	9485630	9416177	9269956	9958608	9381831	7866094	7882462	7670193	7093640	5401609	5407841	5413211	4117769	3700165	4037687	3849009	3821160	4004895	4326060	3921453	3135513	3135513	2620194	2264905	1586262	315404	278656
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7479590	6157827	4544900	4564902	3972944	5900076	6110879	2515617	2515617	3976152	5319038	6662968	4264642	4264642	2591864	1813484	2380437	4558661	4558661	3282771	3052405	2926138	2372762	2374929	2107095	2022505	1453491	2026280	2001780	1651561	1429108	2195020	2125322	2267622	2014263	1385641	996321	1294494	1484014	841334	842193	719588	1064384	1064384	845931	1152397	1599476	1047177	1047177	435014	863512	795603	1480491	1480491	1233854	601754	423090	510218	523218	514184	187494	405294	399323	399323	252680	121329	73724	9218	2464
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4667804	1617339	1374340	1374340	1840768	2607379	3219966	3724563	3724563	5900896	7754034	7097180	9936707	9936707	11916316	7814579	5674128	693499	693499	250497	519619	831098	758095	758095	966776	1034747	847156	506642	531142	258552	365935	404611	387794	245494	120434	167414	49684	219952	30400	0	0	20000	0	0	0	102540	203000	290230	290231	789722	135026	634058	146138	146138	128177	625135	733376	734386	721386	248778	300572	169120	266000	266000	376500	100000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	4222429	5012639	3561397	3574875	3854082	4121219	4989303	3210279	3915158	5640204	6176269	7178548	6555419	6555232	4603449	2837414	2498831	2394831	2386926	2066481	1479563	1705089	1608217	1608182	1968788	1937014	1993589	1719570	1719564	1551391	1128668	1514200	1629429	1630723	1430329	1525711	1770194	1646344	1645989	2142962	1707312	1948155	1897393	1903613	1922065	1768481	2070682	1832703	1849685	1463062	1151634	1054878	883023	893307	922297	861464	874817	720175	760679	825284	1402889	1418488	784381	784381	695178	653757	519734	116234	66644
Hàng tồn kho###Inventory	20763288	19554349	19411923	19411923	18945703	15391106	12658140	14115139	14115158	14770217	12887027	11333205	11748873	11768632	11120131	11106757	10509719	10247176	10247213	7988921	8332619	6033627	6937442	6937821	6810793	6133970	7097489	7386389	7385983	7204721	7061231	6771401	8029575	7913085	7940584	7495545	6654921	6822077	6748681	6340082	6910154	5783496	6347047	6284718	6304289	6555852	5270674	4540811	4540197	4783631	4749225	2672900	2556676	2551797	1655582	1453085	1879567	1820240	1755712	2267776	2327977	1812620	1580078	1580078	1226472	1318484	901913	186629	208898
Tài sản ngắn hạn khác###Other Current Assets	1888101	1791947	1544376	1545526	1881143	1234537	1077674	1743128	1743137	1546832	1175313	678986	562419	552272	411612	410064	467328	288621	283556	237386	279615	147018	238662	242824	208536	129959	111391	106978	106961	181019	200325	225097	230395	230378	299974	308971	242805	237922	237886	258002	244871	172729	176806	163462	197671	379337	237999	155172	155172	198765	194244	244170	341512	341478	177858	158726	126838	63990	60165	148872	107127	115931	105731	105731	69363	71335	90891	3323	649
Tài sản dài hạn###Non-current Assets	73622990	72974867	71339093	71319093	66953717	63764944	56890767	52914282	52211329	38268471	28766661	21486597	19954124	19944514	17698776	15680187	15415383	15043766	15056702	14642504	14011555	13810668	13591592	13587494	12534926	11709432	10401831	10343245	10343676	10206622	10164480	10559423	10673863	10673892	10722951	10269221	9479434	8794975	8809712	7961376	7997124	8219814	8039053	8033011	8051326	7639676	7489233	7037564	7041962	6795553	6225811	5338579	4835399	4833605	4277503	3979445	1953012	1790365	1793016	1726941	1836059	1648861	1621282	1621282	1131421	1368003	925204	392211	422648
Các khoản phải thu dài hạn###Long term Account Receivable	40878	40489	27718	27718	22801	23193	23145	22302	22302	22307	70313	22307	21811	21811	20536	23035	23080	18173	25302	17006	17019	16478	16485	16485	11365	8787	7042	0	0	750	750	449544	449759	449759	449372	449338	449338	448980	449338	449338	449009	449009	449009	449009	449229	449229	449229	449009	449009	449009	0	43	43	43	43	43	43	43	26550	78669	262295	259867	239429	239429	43	43	43	0	0
Tài sản cố định ###Fixed assets	46200744	46005627	31249494	31243763	15086409	13820711	14137741	12782561	12782561	13086356	13072518	13075195	13197797	13173015	12544057	12527280	12458218	12670460	12670104	12032302	11884795	11318814	8211430	8210630	8335625	8393608	8528871	9158125	8728652	8565967	8836427	8908079	9187131	9187131	9051051	8583949	7737258	4461985	7065457	6156938	6133491	6110758	4565611	5834092	5914093	5511280	5046772	4112751	4603673	4349524	4277068	3174358	3065312	3058748	2851024	2594345	1338777	1265421	1264665	1146673	983693	955220	950049	950049	910674	885112	891801	392032	420213
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14925172	-13843356	-12824818	-12824818	-12072149	-11525025	-10980781	-10427300	-10427300	-9879576	-9355927	-8824841	-8232268	-8218477	-7774667	-7288673	-6828019	-6367398	-6367616	-6118709	-5769951	-5351196	-5007571	-5007451	-4683262	-4409850	-4149072	-3882620	-3882620	-3633832	-3407343	-3146309	-2883417	-2883417	-2641690	-2483936	-2376518	-2234181	-2226919	-2081302	-1943149	-1802365	-1659933	-1659933	-1548818	-1411927	-1284567	-1130383	-1130637	-1028294	-923538	-816134	-757653	-757295	-720826	-657208	-611577	-562215	-560131	-516989	-472472	-431565	-390724	-390724	0	0	-311759	-105935	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7854	-7582	-7347	-7071	-6840	-6840	-6657	-6410	-6089	-5826	-5826	-5549	-5329	-5050	-4811	-4811	-4643	-4384	-4059	-3797	-3797	-3549	-3293	-4837	-4437	-4437	0	0	-9878	-5517	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-80486	-75350	-70199	-70199	-62419	-58379	-54723	-51195	-51195	-47771	-44683	-42045	-39856	-39856	-37996	-36330	-34807	-33322	-33322	-32329	-31377	-30317	-29289	-29289	-28666	-31025	-31584	-30471	-30471	-29262	-29401	-28125	-26853	-26853	-25585	-24319	-23357	-22080	-22080	-20845	-19664	-18752	-17627	-17627	-16706	-15541	-13403	-12542	-12288	-11455	-10780	-9624	-8694	-8694	-7948	-7066	-6327	-5543	-6518	-4740	-4327	-4008	-3694	-3694	0	0	-3424	-22	0
Lợi thế thương mại	46104	54423	61185	61185	67947	74710	81472	88234	88234	0	101977	108631	54405	54405	59366	64522	69678	74834	74834	79990	85146	90302	91091	91091	290964	321337	351709	0	382082	468428	496192	500485	0	572857	752855	752855	784514	852077	819008	852077	879564	924650	953449	944663	963150	1014524	1040770	963942	978086	1006287	1040653	481212	493817	0	0	0	0	493817	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	570108	577023	576617	576617	175243	173687	176714	179741	179741	182134	185153	188172	191191	191191	193700	196719	199738	202757	202757	204871	193611	201989	192494	192494	190829	193001	195172	197344	197344	192882	205890	60885	62002	62002	63120	64238	65356	66519	8151	8817	9482	10295	11108	11108	12031	13009	14099	15189	15189	16280	17370	18460	19550	19550	20640	16209	17270	18331	18331	19391	6417	6812	7207	7207	7602	7996	8159	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	33457	35551	45794	25794	25879	3772	59090	66585	66585	22031	21895	31016	16952	16952	33812	33824	48753	78864	78864	104677	110269	113880	102545	102545	95974	92973	74767	61185	61185	23470	21123	21255	21255	21285	25385	25385	26218	26218	26218	26936	25229	275802	272569	272714	276004	317318	622647	708793	696878	706913	695375	1507021	1101992	1102112	834004	700917	403053	380606	381380	383132	545779	392259	392259	392259	190148	450020	20	0	0
Tài sản dài hạn khác###Other long term assets	1949565	1970948	2004150	2004150	1653076	1723908	1734963	1755774	1755774	1614903	1627560	1390105	1057623	1067770	991964	948146	933877	918531	849163	872429	818442	607607	726477	617957	494686	525943	501435	544510	544941	639565	382325	373205	380858	380858	381169	361798	382256	394091	408470	439784	455263	429288	432991	502939	402359	334316	315716	296959	299128	267541	195346	157486	154686	152709	147683	154925	122389	125964	102090	99076	37875	34702	32338	32338	22954	24832	25181	179	2435
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	112644201	107108967	101776030	101790659	97448356	93019262	84946730	78223008	78224963	70102772	62078342	54437484	53022185	53021998	48342147	39662484	36945826	33226552	33226556	28468561	27675375	25453638	25506769	25509345	24596915	22967627	21904947	22089104	22089106	21053865	20349748	21669753	23076378	22961194	22528534	21152503	19193358	19015763	18956683	17543756	17701654	16863782	17524683	17449188	17321283	17598283	16871064	14903658	14924424	14465746	13319451	10740188	10243240	10246816	8395272	7679610	5990699	5639375	5614176	5731836	6162119	5570314	4756795	4756795	3751615	3632908	2511465	707615	701304
