CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	4058073	3937816	4003659	3979417	4594488	5165167	4183976	5628959	3049969	1919995	2629391	2799110	2598889	2272261	2519446	146410
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	234059	188968	402945	402945	189858	193062	248059	415398	460402	165289	320796	337720	558152	263182	248567	12204
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	216824	198861	198861	198861	45000	45000	45000	45000	0	0	0	0	0	0	1400	12066
Các khoản phải thu ngắn hạn###Short term Account Receivables	1619325	1413024	1133290	1109048	793951	1349844	913919	1340073	1349067	609144	1515868	1685960	1269908	830435	361662	88871
Hàng tồn kho###Inventory	1887137	2030238	2160188	2160188	3399730	3424803	2897189	3694694	1160948	1061035	713970	697817	697228	1137281	1863432	24276
Tài sản ngắn hạn khác###Other Current Assets	100730	106726	108376	108376	165949	152458	79808	133793	79552	84527	78757	77613	73601	41363	44386	8994
Tài sản dài hạn###Non-current Assets	2395198	2766968	2825982	2847987	2829862	2356000	3376827	1925157	4348360	4626740	4072330	3750991	3977134	2629046	1904398	98192
Các khoản phải thu dài hạn###Long term Account Receivable	769799	769799	769794	89794	539794	89819	355025	60362	321000	351000	51000	51000	52061	82355	399159	19135
Tài sản cố định ###Fixed assets	110571	128009	123034	431918	14149	15166	270227	12851	270820	802015	806754	728115	727973	194508	20743	15175
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19498	-20544	-19467	-38561	-12318	-11270	-16598	-9182	-20015	-28424	-25666	-21333	-17324	-9583	-14012	-5030
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-499
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-127	-97	-71	-71	-30	-30	-30	-30	-30	-30	-30	-30	-30	-43	-814	-229
Lợi thế thương mại	0	0	0	0	0	0	274488	0	274488	283400	373700	383800	393900	12400	13950	3804
Bất động sản đầu tư ###Real Estate Investment	838955	834838	841009	532125	745310	753537	636010	717564	573452	0	0	0	0	0	0	4500
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	256201	461247	519122	541100	564840	563168	594903	558894	590731	578225	562673	528193	540004	1045233	754250	353
Tài sản dài hạn khác###Other long term assets	359129	513157	514156	1194183	497735	474390	344674	332065	333347	345779	429904	420573	436496	43956	69485	17562
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	6453271	6704785	6829641	6827404	7424350	7521167	7560802	7554116	7398329	6546735	6701721	6550100	6576023	4901307	4423844	244602
Nợ phải trả ###Liabilities	3423536	3680419	3836842	3836869	4708633	4837417	4968556	4976540	4839725	4266948	4422629	4318502	4487330	3620825	3361044	153897
Nợ ngắn hạn###Short term Liabilities	2266722	2133277	2298781	2298808	3109820	3024444	2695526	3177162	2470117	1413489	1923388	1906955	1744147	2177774	2435104	136142
Nợ dài hạn###Long term Liabilities	1156814	1547142	1538061	1538061	1598813	1812973	2273030	1799379	2369607	2853458	2499241	2411547	2743183	1443051	925940	17755
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3029735	3024365	2992800	2990535	2715717	2683750	2592246	2577576	2558605	2279787	2279092	2231598	2088693	1280482	1062800	90705
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3029735	3024365	2992800	2990535	2715717	2683750	2592246	2577576	2558605	2279787	2279092	2231598	2088693	1280482	1062800	90705
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



