CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	4552238	4490970	4511390	4511552	4688008	4529037	4293766	4177527	4231581	4081288	3770802	3906256	3770266	3785126	4907814	4858391	4977948	4774312	5000540	5118089	4394532	4356564	4315299	4331382	3658037	2866863	2907362	2694001	3008200	2520717	2387283	2196850	2116099	2206720	1609029	1683039	1731553	1660592	1685723	1611735	1540968	1819788	1750782	1750782	2694336	2822773	2834741	2565356	2686569	1885286	1676335	1232099	1232099	810499	810499	768746
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	37144	37844	34107	34107	43150	47198	35959	36605	36605	42095	34743	50655	44815	44815	46140	50828	47904	69636	69636	51187	34653	56513	50511	54699	65403	81071	25100	26200	26200	12409	16050	10776	20615	20615	7253	6087	6075	15948	15948	12598	11868	5748	11176	11176	1825	3978	8221	56885	60385	7479	14764	23036	23036	5262	5262	2521
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4224	4100	4100	0	0	136	136	136	155515	255715	255505	300205	300205	197444	197444	316190	316077	316077	316077	106529	141661	470759	206211	206211	0	21800	31300	32300	42300	31800	31800	31800	31800	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3955626	3843219	3760084	3760253	3859613	3714411	3508749	3354659	3378078	3182033	2918860	2954722	2826534	2881476	3935105	3962591	3998739	3890245	4202417	4096580	3507229	3481539	3300690	3292734	2957197	2237277	2222080	1883111	1930943	1253150	1235346	1202776	1143778	1337661	1098590	1033566	1060387	998320	947944	892368	781353	740498	901185	901185	1875975	2031043	2020770	1694511	1810209	988995	741906	552171	552171	508896	508896	644864
Hàng tồn kho###Inventory	540880	593656	700744	700744	765308	744098	734011	770878	801364	841528	801075	881051	877638	839817	922856	841735	927919	794217	725546	956857	830994	779134	917164	940723	620217	529676	637894	751808	802397	900731	797984	623135	611294	611294	272173	299430	326996	310687	381521	554896	562429	564615	590077	590077	777840	742388	750341	766483	759146	830411	865023	607804	607804	280147	280147	117643
Tài sản ngắn hạn khác###Other Current Assets	18588	16252	16456	16449	19937	23331	15047	15385	15535	15632	16123	19827	21279	19017	3712	3238	3386	20214	2941	13465	17433	35277	42834	43226	15220	18703	22152	32745	93144	98713	82399	59958	40207	39705	33569	27766	22018	19561	24233	45343	43657	38168	42133	42133	38696	23564	24108	15177	14529	26602	22843	17288	17288	16194	16194	3718
Tài sản dài hạn###Non-current Assets	2186718	2201284	2202042	2202049	2188729	2189504	2416805	2416848	2416730	2596026	2522059	2522347	2523279	2540663	2044679	2048374	2092473	2085975	2088901	2087174	2123166	2119450	2064203	2055818	1716734	1543265	1517033	1339134	1125219	1022842	1023205	1025072	1023980	1027699	1182075	1032454	1057537	1058019	1058063	869613	875940	902221	1042191	1042191	417584	358509	392825	381883	410194	568086	571874	684336	684336	359359	359359	125969
Các khoản phải thu dài hạn###Long term Account Receivable	2066100	2066100	2066100	2066100	2052047	2052047	2276540	2274495	2274495	2349070	2274495	2274480	2274480	2291865	1070180	1075185	1125810	1125690	611334	614329	1128012	88740	75812	75812	169992	285331	285331	285331	0	0	0	0	0	176019	176019	26019	51019	51019	51019	26019	0	0	0	0	0	34	34	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	6081	6453	7195	7195	7920	8679	9466	8939	8939	9559	10167	10471	11146	11146	37169	40543	41196	42308	42466	35264	34652	32262	31342	32702	17609	18409	8265	6121	6121	6035	6255	6640	6905	6859	7184	7420	7892	4651	8227	8501	6913	7272	5956	7635	9906	10951	11586	9077	10791	147388	141584	263836	263836	12150	12150	6408
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-15995	-17471	-16762	-16762	-16069	-15342	-14655	-13929	-13929	-13679	-13805	-13531	-12880	-12880	-17670	-16654	-15564	-14480	-14488	-17259	-16314	-18586	-17629	-19639	-13335	-12536	-11542	-11235	-11235	-11005	-10793	-10577	-10320	-11280	-11070	-10842	-10985	-10704	-10712	-10412	-10092	-9726	-9380	-9380	-11438	-11503	-11385	-10862	-10867	-25530	-11498	-9015	-9015	-4982	0	-3620
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-595	-563	-530	-530	-498	-465	-433	-401	-401	-368	-336	-304	-280	-280	-1774	-1685	-1595	-1506	-1506	-1416	-1326	-1247	-1173	-874	-171	-171	-171	-171	-171	-162	-153	-145	-136	-136	-128	-119	-111	-102	-102	-94	-85	-77	-68	-68	-74	-113	-105	-96	-96	-2895	-263	-288	-288	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	750	220357	259769	267344	297905	306329	314753	331601	331601	331601	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11425
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	112740	112740	112740	112740	112740	112740	114745	117345	117345	221446	221446	221446	221702	221702	257360	262983	264782	277448	794749	791163	311323	1350133	1346372	1328661	1525992	1236374	1220275	1030300	1115618	1013183	1013183	1014683	1013183	837625	991533	991533	991290	991290	991290	827495	861231	886946	1021814	1021814	281835	115284	110008	92523	88372	82671	82586	82125	82125	347123	347123	107734
Tài sản dài hạn khác###Other long term assets	1637	1646	1662	1669	1678	1694	1709	1725	1607	1607	1607	1607	1607	1607	589004	592642	594174	574231	574054	578092	580945	585220	588908	6891	2980	2991	3002	3012	3320	3463	3606	3749	3891	7196	7339	7481	7334	7527	7527	7597	7796	8003	11992	11992	12852	11476	11429	11261	13126	31698	32952	6775	6775	86	86	403
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	6738956	6692254	6713432	6713601	6876737	6718541	6710571	6594375	6648311	6677314	6292860	6428603	6293544	6325789	6952493	6906765	7070421	6860286	7089441	7205262	6517698	6476014	6379502	6387199	5374771	4410128	4424395	4033135	4133418	3543559	3410488	3221922	3140079	3234419	2791104	2715492	2789089	2718611	2743786	2481347	2416907	2722009	2792973	2792973	3111920	3181282	3227566	2947239	3096763	2453372	2248209	1916435	1916435	1169859	1169859	894716
Nợ phải trả ###Liabilities	2404496	2361740	2386438	2386471	2559810	2411652	2414203	2308752	2363242	2402959	2029136	2174781	2050226	2072727	2357211	2322209	3002211	2812895	2952016	3112505	2460484	2423200	2378387	2381036	2607712	2323731	2333448	2270025	2345595	2277157	2449586	2264789	2184178	2271197	1830265	1949773	2031902	1965722	1989706	1732652	1669238	1985812	2019898	2019898	2119702	2074202	2176272	1935857	1948905	1769002	1625605	1356825	1356825	1012639	1012639	784360
Nợ ngắn hạn###Short term Liabilities	2178623	2115509	2161764	2161798	2325097	2184063	2189055	2063104	2117594	2172808	1982787	2003654	1815229	1737430	1985689	1995159	2123856	1963500	2049437	2203731	2136331	1873963	1845440	1652198	1951100	1607777	1454483	1384005	1319731	1303982	1536374	1476641	1539155	1586845	1298715	1353508	1434783	1382188	1575161	1465388	1464079	1735850	1789937	1789937	1642983	1274675	1373600	1176785	1097619	1039242	1237774	1063715	1063715	965487	965487	732973
Nợ dài hạn###Long term Liabilities	225873	246232	224673	224673	234713	227589	225148	245648	245648	230151	46349	171127	234997	335297	371522	327050	878355	849396	902579	908774	324154	549237	532948	728838	656612	715954	878964	886020	1025864	973175	913213	788147	645022	684352	531551	596265	597119	583534	414544	267263	205159	249962	229962	229962	476720	799527	802673	759072	851286	729760	387831	293110	293110	47152	47152	51388
