CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017
Tài sản ngắn hạn###Current Assets	5268365	5289822	5089111	5017846	4264567	4014430	3794913	3796396	3714472	3744953	3182564	3726809
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	226932	305846	308374	308374	416694	367577	335001	569125	569125	382050	286419	432583
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3066598	3045648	2760547	2758288	2213817	2154948	2004368	1618193	1574926	1959898	1742435	1711574
Hàng tồn kho###Inventory	1755191	1850326	1797213	1729431	1462139	1317634	1289492	1439003	1408127	1260205	1035164	1463742
Tài sản ngắn hạn khác###Other Current Assets	219645	88003	222978	221753	171917	174271	166052	170075	162293	142800	118546	118910
Tài sản dài hạn###Non-current Assets	435117	518873	127943	127943	162220	164233	166561	160338	161461	159465	139237	134516
Các khoản phải thu dài hạn###Long term Account Receivable	329540	329540	29540	29540	29540	29540	28700	28700	28700	28700	28700	28700
Tài sản cố định ###Fixed assets	63426	66385	55438	55438	57188	58011	60109	62365	62365	57592	36381	28506
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-29368	-26421	-23698	-23698	-22243	-20324	-17911	-15490	-15490	-13019	-11168	-8482
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-73	-61	-49	-49	-37	-24	-12	0	0	0	0	0
Lợi thế thương mại	23396	24203	25010	25010	25817	26624	27430	28237	28237	29044	0	31464
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	32272	32243	32241	32324	33500	33423	32494	32029
Tài sản dài hạn khác###Other long term assets	34231	122948	42965	42965	43219	44439	45511	36949	36896	39749	11810	45281
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5703482	5808695	5217055	5145789	4426787	4178663	3961474	3956733	3875933	3904418	3321801	3861325
Nợ phải trả ###Liabilities	4860615	4956889	4482691	4410688	3783400	3549844	3338789	3350566	3267083	3320907	2777977	3382725
Nợ ngắn hạn###Short term Liabilities	4559263	4520978	4476885	4396527	3779734	3544866	3224815	3233397	3149914	2991081	2506414	2918564
Nợ dài hạn###Long term Liabilities	301353	435911	5805	14161	3666	4978	113974	117169	117169	329827	271563	464161
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	842867	851806	734364	735101	643388	628819	622685	606167	608850	583510	543823	478600
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	842867	851806	734364	735101	643388	628819	622685	606167	608850	583510	543823	478600
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0
