CAN DOI KE TOAN	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015
Tài sản ngắn hạn###Current Assets	31188	31188	30267	28221	33396	26826	36995	49360	47148	137972	94997	86268	121037	128498	134821	134172	65875
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2944	2944	2321	2293	2062	2958	2888	5903	3976	1308	3376	3376	2324	2005	646	2545	2315
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	21335	21335	20712	18693	24100	16763	17683	26914	26409	100781	73622	74070	115721	115491	129037	127665	49391
Hàng tồn kho###Inventory	6762	6762	6762	6762	6762	6762	16424	16543	16405	35220	17985	8807	2978	9546	4779	3711	9186
Tài sản ngắn hạn khác###Other Current Assets	147	147	472	472	472	343	0	0	358	662	15	15	15	1457	359	251	4982
Tài sản dài hạn###Non-current Assets	251896	251896	251896	256194	254790	266325	275142	261828	266535	276905	301995	313769	301331	313812	311505	335768	437377
Các khoản phải thu dài hạn###Long term Account Receivable	77882	77882	77882	77881	20757	20757	20757	20757	20757	54597	54597	54713	54065	53787	54700	54700	54700
Tài sản cố định ###Fixed assets	6271	6271	6271	6271	6518	6824	5262	5585	8356	7011	7174	6059	3250	3374	1175	1243	1772
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2035	-2035	-2035	-2035	-1791	-1453	-1347	-1028	-1508	-1148	-988	-893	-671	-550	-416	-348	-666
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-37	-37	-37	-37	-34	-28	-28	-24	-20	-15	-12	-11	-8	-5	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	76652	76652	76652	80952	81449	92580	41472	41754	42037	42320	42602	42602	42885	43167	43450	43732	44862
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5000	5000	5000	5000	35000	35000	35000	35000	35000	35000	35000	35335	35335	30000	30000	30000	30000
Tài sản dài hạn khác###Other long term assets	1654	1654	1654	1654	1649	1748	1748	2021	2384	2451	2451	526	2000	2118	5763	5721	15650
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	283084	283084	282163	284415	288186	293152	312137	311188	313683	414877	396993	400038	422368	442310	446326	469939	503252
Nợ phải trả ###Liabilities	97081	97081	94849	94086	89546	93261	88466	86960	89127	189036	173347	173991	191531	214480	223781	248865	367673
Nợ ngắn hạn###Short term Liabilities	95650	95650	93418	92650	88598	92205	87409	85859	87787	130732	144976	124625	107252	71228	87333	69149	80665
Nợ dài hạn###Long term Liabilities	1431	1431	1431	1437	948	1056	1056	1101	1340	58305	28371	49366	84279	143252	136448	179715	287008
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	186002	186002	187314	190329	198640	199891	223672	224228	224556	225841	223646	226047	230837	227830	222545	221074	135579
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	186002	186002	187314	190329	198640	199891	223672	224228	224556	225841	223646	226047	230837	227830	222545	221074	135579
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



