CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	272207	291536	344329	348367	384887	475379	635052	672187	672187	780493	746453	677815	661219	661219	589009	550329	514615	532810	532587	460245	447580	482993	565599	566690	597886	597692	596490	625024	625024	602900	603499	630877	652465	652465	686366	681697	680531	690933	690933	621522	625093	657196	643672	648369	629961	722017	813034	835535	835535	778098	714511	714511	600252	600252	271079
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2250	13287	38662	38662	18664	25376	27337	69534	69534	15913	29684	33907	39898	39898	25886	24721	12632	31019	31019	17187	26981	25514	62471	62471	14063	35024	31229	53149	53149	29930	18101	22120	46795	46795	14361	8239	20539	16068	16068	11387	16601	20882	17641	16276	25575	21922	12992	23600	23600	23899	29817	29817	12661	12661	2673
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	400	0	0	2844	2314	4908	4605	4423	4423	1962	2130	2480	1865	1865	895	365	0	0	1365	0	4500	0	1400	1400	2400	9000	9000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	116018	114416	146657	151704	167334	170330	217003	226114	226114	260446	245405	257033	265082	265082	262372	242940	203057	183238	183444	200988	204543	216474	220508	221599	188931	207278	204586	205922	118226	110040	128622	131951	148515	148515	180655	195797	197683	211918	211918	187279	145725	194174	168482	168921	151603	157209	172585	208198	208198	170469	158612	158612	262719	262719	50857
Hàng tồn kho###Inventory	151079	160773	156071	156071	197208	278249	387949	374987	374987	500709	464918	383252	354785	354785	300194	279025	289449	306229	305799	233096	211215	238404	281945	281945	387338	354217	360129	365871	365871	372092	365495	389624	382683	382683	417675	406109	401901	410388	410388	362477	395924	378577	408395	412652	400410	486171	564308	554194	554194	537779	465969	465969	288185	288185	184695
Tài sản ngắn hạn khác###Other Current Assets	2860	3059	2939	1930	1682	1425	2763	1551	1551	3424	6445	3623	1455	1455	556	3643	9476	12325	12325	8974	4842	2601	676	676	2154	773	546	82	84934	88524	86373	82577	70048	70048	71714	69421	57928	50694	50694	59484	66478	63563	49155	49155	52373	52214	63149	48143	48143	43551	51112	51112	36688	36688	32853
Tài sản dài hạn###Non-current Assets	40109	41020	41842	41842	61480	64309	71738	71938	71938	73306	74725	74825	81256	81256	82563	83154	78372	77236	77236	76277	73755	69949	54562	54290	54606	29937	29433	28581	28581	23223	22637	20769	19005	19005	18822	16254	16680	17116	17116	17816	22893	23304	24716	20282	18090	27045	13914	14904	14904	20854	23034	23034	49262	49262	58450
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	450	450	450	450	514	857	857	857	857	857	857	857	1649	1649	1964
Tài sản cố định ###Fixed assets	37031	37618	38205	38205	39894	40383	44093	44514	44514	45673	46673	47718	48873	48873	50178	50545	46698	45412	45412	45903	44043	41338	42107	42107	37874	9769	10007	10091	10091	5007	4368	4423	7651	7651	6185	5699	6579	1878	6738	6893	8335	8416	3845	4723	2942	2926	3205	3485	3485	3765	4820	4820	5812	5227	7370
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-17402	-16814	-16227	-16227	-15662	-14729	-18249	-16949	-16949	-15836	-14555	-13323	-12191	-12191	-10926	-9669	-8513	-7471	-7471	-6468	-7132	-6339	-5570	-5570	-4842	-4186	-3675	-3183	-3183	-2746	-2447	-2176	-1946	-1946	-2037	-4731	-4548	-4359	-4359	-4405	-10264	-10149	-9871	-9690	-9577	-9291	-9013	-8722	-8722	-8429	-7151	-7151	-9639	-9639	-7607
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-165	0	-135
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1312	1312	1312	1312	18538	20438	22231	22313	22313	22733	22446	22697	27731	27731	27616	27522	27349	27358	27358	27172	27210	27256	11071	10799	10880	10845	10705	10788	10788	11178	11260	10957	11231	11231	10149	10184	9469	9468	9468	9416	12610	12610	12610	12610	12610	21790	7610	7610	7610	13021	14510	14510	33660	33660	42660
Tài sản dài hạn khác###Other long term assets	1069	1393	1628	1628	2351	2438	4374	4414	4414	4203	4909	3713	3955	3955	4072	4390	2977	3118	3118	1954	1254	658	688	688	193	196	109	143	143	177	147	155	122	122	2488	370	632	910	910	1057	1498	1828	2951	2498	2024	1472	2243	2953	2953	3212	2847	2847	8140	8725	6456
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	312315	332556	386171	390209	446367	539688	706790	744126	744126	853799	821179	752639	742475	742475	671572	633483	592987	610046	609823	536521	521336	552941	620161	620980	652492	627629	625923	653605	653605	626124	626136	651646	671470	671470	705188	697950	697211	708050	708050	639338	647986	680500	668388	668651	648051	749062	826948	850439	850439	798952	737544	737544	649514	649514	329529
Nợ phải trả ###Liabilities	161852	174651	225303	225303	284571	383891	536760	575830	575830	699162	668957	605349	547045	547045	488170	454441	403970	428588	428543	356358	344806	371250	442483	443574	481779	458656	451011	479686	479686	463200	463441	482190	501134	501134	529230	524030	524224	534953	534953	484822	492008	525715	487500	488068	488235	615906	704022	710500	710500	672306	658923	658923	588672	589244	274047
Nợ ngắn hạn###Short term Liabilities	161852	174651	225303	225303	284571	383891	536760	575830	575830	699162	668957	605349	547045	547045	488170	454441	403970	428588	428543	356358	344806	371250	442483	443574	481779	458656	451011	479686	289704	320230	398844	418947	459787	459787	458879	496016	524224	534953	534953	484281	491392	525086	486872	487439	487682	615342	702190	708672	708672	670545	658420	658420	588312	588883	273805
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189982	142970	64597	63243	41347	41347	70351	28014	0	0	0	541	616	629	629	629	553	564	1832	1827	1827	1760	503	503	360	360	242
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	150464	157905	160867	164905	161796	155797	170029	168295	168295	154637	152222	147290	195429	195429	183402	179042	189017	181458	181279	180163	176529	181691	177678	177406	170713	168973	174912	173919	173919	162924	162695	169456	160033	160033	166208	164274	163776	173097	162912	144977	143334	141496	180888	166596	146522	128822	118553	139939	135912	122647	74905	74905	60842	60270	55482
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0
Vốn chủ sở hữu ###Owners equity	150464	157905	160867	164905	161796	155797	170029	168295	168295	154637	152222	147290	195429	195429	183402	179042	189017	181458	181279	180163	176529	181691	177678	177406	170713	168973	174912	173919	173919	162924	162695	169456	160033	160033	166208	164274	163776	173097	162912	144977	143334	141496	180888	166596	146522	128822	118553	139939	135912	122647	74905	74905	60270	60270	55482
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10167	0	10152	9433	9361	9235	10302	10302	9750	9645	9210	10185	10185	9538	12644	13290	13479	13986	13294	4333	4373	4028	4028	4000	3716	3716	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626136	651646	671470	671470	705188	697950	697211	708050	708050	639338	647986	680500	668388	668651	648051	0	826948	850439	850439	798952	737544	737544	649514	649514	329529



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	24100	17625	476941	127145	127407	129181	95219	628265	361409	120455	94054	52347	395022	78337	89900	109714	131350	557811	155021	143197	150770	108859	430739	234303	65650	68302	62855	361888	137405	83332	80562	60588	363021	196151	67495	56785	42590	380507	92586	97093	91391	99437	767595	251081	235737	186564	97626	555277	196184	359092	90570	528895	388378	277440	189379
Các khoản giảm trừ doanh thu###Deduction revenues	172	957	462	280	182	-16	16	835	11	25	12	786	1038	790	13	14	220	522	167	347	0	7	4185	3332	51	799	5	4333	3265	1021	47	0	388	0	0	388	0	2136	1121	0	1015	0	510	455	0	55	0	1472	0	1472	764	2520	1753	3135	438
Doanh thu thuần###Net Sales	23928	16668	476478	126865	127225	129197	95204	627430	361399	120430	94042	51560	393984	77547	89886	109701	131129	557289	154855	142849	150770	108851	426554	230971	65599	67503	62850	357555	134140	82312	80515	60588	362633	196151	67495	56397	42590	378371	91465	97093	90375	99437	767085	250626	235737	186509	97626	553805	196184	357620	89806	526375	386626	274305	188941
Giá vốn hàng bán###Cost of goods sold	16764	14862	422184	107060	113942	115431	87701	560514	328507	110971	76025	45011	330224	47415	80189	102650	114249	501990	137138	131010	135825	98051	371279	206304	46415	61674	57257	315865	109445	76534	73419	56468	334681	178804	63306	54422	38149	323163	61288	91031	81788	89055	668122	212162	203651	158965	88894	494083	174246	319837	78051	468967	336868	257581	178173
Lợi nhuận gộp###Gross profit	7164	1806	54294	19805	13283	13766	7503	66916	32892	9458	18016	6550	63760	30132	9697	7051	16880	55298	17717	11839	14946	10800	55275	24668	19184	5829	5594	41690	24696	5778	7096	4120	27951	17347	4189	1974	4442	55208	30177	6061	8587	10383	98963	38464	32086	27544	8731	59722	21938	37784	11756	57408	49758	16724	10768
Doanh thu hoạt động tài chính###Financial activities Revenues	143	254	9784	6055	1569	946	330	2919	315	374	761	1469	4003	1160	373	1973	497	4954	3652	803	535	322	2499	756	296	707	740	9063	1023	1163	3826	3051	16040	3956	3973	4384	3726	25793	5413	4782	7296	8367	36436	726	999	245964	1895	3142	942	2200	513	16391	4693	19062	5389
