CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	12061187	14913798	19288261	19100105	20971052	22765024	23294394	20325570	20122146	21778077	23051800	23758201	21122733	20969884	24116359	21303731	23368667	22309076	22309076	21989545	19130560	18918076	19256814	19256814	15985533	18832656	17651652
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2601176	2467969	2957234	5054893	5090254	8055084	7515194	3603022	3652867	5361702	7582330	10676665	7540620	7229745	8163346	5261500	4695969	2764885	2764885	5248160	3888256	3710744	4573823	4573823	3549561	5480180	5047035
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1648346	3269566	3579235	1458785	3799783	2063543	2164239	2875358	2825758	2911531	2316688	370884	409299	721299	750754	678102	502811	763676	763676	548536	422881	339451	382168	382168	261514	211087	287127
Các khoản phải thu ngắn hạn###Short term Account Receivables	4258386	5570217	7904079	7799412	8044258	8368658	9362802	9170869	9436825	8890415	8663618	9149506	9608180	9442685	12300144	12101206	15152494	15622855	15622855	13808875	12309214	12537474	12169199	12169199	9043531	10891141	7706783
Hàng tồn kho###Inventory	2425352	2546808	3569654	3598279	3284470	3583944	3549777	3685639	3692539	4143328	4032470	3141926	3233836	3228358	2531918	2806242	2551674	2712181	2712181	1957304	2123844	1871982	1726976	1726976	2513192	1863946	4089726
Tài sản ngắn hạn khác###Other Current Assets	1127927	1059238	1278059	1188736	752286	693795	702382	990682	514157	471101	456693	419220	330798	347797	370197	456681	465719	445479	445479	426671	386365	458426	404648	404648	617736	386302	520981
Tài sản dài hạn###Non-current Assets	54629551	56021327	57166605	57260248	58049186	59542429	60523713	62064687	62059779	62560723	63118697	65226760	67427753	67464043	68261467	72731358	73375465	74171251	74171251	73382607	73445303	69433760	69924859	69924859	68211312	53375325	51992081
Các khoản phải thu dài hạn###Long term Account Receivable	1768550	1756930	2172896	2192890	1970760	2076212	2007053	2017197	2017422	2352086	2339548	3304619	4176531	4177077	4082092	6046820	5273176	4833215	4833215	9614299	8878987	7634481	7035592	7035592	11178094	4295567	5145322
Tài sản cố định ###Fixed assets	44533049	45794301	46955994	46942614	48241072	49233073	49968324	51026089	51025699	51996287	52693965	53801053	55086555	55065719	56007023	58705259	60029382	61409519	61409519	55641173	56728381	54183421	55315671	55315671	49628035	39910231	37781700
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19403740	-20392221	-20562804	-20562830	-15051486	-14699935	-14246307	-13806365	-13806883	-13351811	-12909978	-12441679	-11978745	-11978196	-11548946	-18635291	-18027297	-17425245	-17425245	-13316916	-12849696	-12644592	-12276534	-12276534	-8823855	-8237947	-6209768
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-18942665	-18268130	-17577000	-17577280	-21809458	-21037790	-20266364	-19495473	-19495473	-18724141	-17952771	-17190841	-16418210	-16418210	-15645973	-14874229	-14101850	-13329504	-13329504	-16316822	-15508084	-14700316	-13891392	-13891392	-16441761	-14433062	-13278243
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-528378	-515773	-502116	-531920	-521590	-510209	-494427	-487355	-487333	-481175	-474787	-467811	-460999	-458998	-452306	-444557	-438118	-431864	-431864	-423883	-415711	-397007	-379722	-379722	-361834	-309962	-249230
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261750	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	14104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5105	1909
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2001177	2122542	2094597	2112696	2101596	2104321	2186844	2135344	2135219	2114223	2067744	2159042	2114548	2116301	2074489	2037204	2106170	2066294	2066294	2016123	1932667	2042468	1965616	1965616	1956902	2053358	2091979
Tài sản dài hạn khác###Other long term assets	5914340	5826486	5533039	5598731	5436154	5814968	6180189	6642822	6632731	5958344	5657335	5654964	5780493	5817661	5809810	5632104	5716048	5600004	5600004	5576142	5321312	4986411	5058537	5058537	4535360	6818290	6653774
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	66690738	70935124	76454866	76360354	79020238	82307453	83818107	82390257	82181925	84338800	86170496	88984960	88550486	88433927	92377826	94035089	96744133	96480328	96480328	95372153	92575863	88351836	89181674	89181674	84196845	72207980	69643732
Nợ phải trả ###Liabilities	55262639	54992732	57847310	57772119	60418017	64837797	63943769	63717833	63575383	67112273	69383798	70414553	71117566	70993439	75355726	77699747	79800463	80235684	80237726	78521223	78841084	74978616	77039282	77039282	71944391	61270805	58940773
