CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	214864	219096	260482	260126	285021	203197	174868	243510	241510	210102	280708	196300	207350	207350	158085	148944	126883	126464	126473	128077	113995	110999	95013	94949	114760	97604	102659	123396	114861	116113	119480	87481	84982	83632	79355	80495	75778	76598	76598	79156	63007	53035	60495	60657	57146	55887	49340	50853	50853	59529	59909	68602	105027	105027	113060	107225	88945	76416	99975	0	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14232	18538	8684	8684	37214	34288	5781	20147	20147	27323	72766	17104	33899	45899	13972	6057	2000	2343	2343	16020	11846	4099	7294	7294	933	3642	1135	5548	5548	3117	602	10088	3493	3493	1004	5099	328	2005	2005	296	609	923	1155	1155	486	985	1167	2834	2834	17866	3212	3548	1377	1377	1035	24297	3326	1209	876	0	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	45877	40276	38000	38000	49000	10000	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	8000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	94047	104454	140970	140752	129157	95102	93319	114199	114199	116896	113314	105699	93780	81780	84348	75287	90473	75967	75898	70053	70145	80364	57978	57978	80394	53954	68879	70760	70742	69371	92050	44711	38473	38473	42405	48226	32009	40124	40124	26803	30527	23214	26609	26609	27993	25810	22132	20532	20532	18579	27131	34323	72155	72155	67608	44752	39376	19708	61635	12915	10756
Hàng tồn kho###Inventory	57699	47844	59231	58956	64099	56047	67095	99767	99767	60212	80365	65214	70039	70039	54330	62703	28968	45069	45147	39996	30254	24544	23648	23610	30881	36991	31081	38937	30420	41769	24994	31128	41376	41376	34620	25810	41762	33949	33949	50262	30047	27547	31435	31598	26862	27937	25391	26627	26627	21148	27509	25180	27863	27863	35381	37174	45034	54661	35155	0	0
Tài sản ngắn hạn khác###Other Current Assets	3008	7984	13598	13734	5550	7760	8673	9397	7397	5671	7263	8283	9633	9633	5434	4897	5442	3085	3085	2009	1751	1992	6092	6066	2552	3018	1564	8151	8151	1856	1833	1554	1640	290	1327	1360	1679	520	520	1795	1824	1350	1296	1296	1805	1155	649	860	860	1937	2057	2551	632	632	1035	1001	1209	837	2309	0	0
Tài sản dài hạn###Non-current Assets	263187	258230	258735	258650	208373	212504	225188	227287	227287	219293	233721	247648	268766	268766	287578	306574	319248	331144	331144	340178	352922	355101	355423	355423	305365	309725	277858	253849	253849	140726	128334	128740	131274	131751	129265	132296	138464	144216	144216	143919	146497	151078	157120	157120	162888	164084	166292	170722	170722	169873	160746	149916	114048	114048	104672	96742	89656	87481	38491	0	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	213659	227582	247877	247530	164512	157892	175991	194099	194099	209086	226304	244781	265130	265130	280639	301546	315830	321862	321862	334567	325131	339167	293982	293982	294486	303615	110527	253575	112698	115959	106014	128409	130858	130858	127916	130661	136199	135384	141203	141968	145320	149725	154414	155462	161256	162594	164969	166083	169399	168591	159505	148185	112757	112757	103387	95381	88283	87169	38174	0	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-551029	-530098	-511596	-511596	-495626	-474712	-456833	-436063	-436063	-415186	-394697	-374182	-351597	-351597	-340910	-315346	-294507	-275667	-275667	-256810	-241596	-224509	-208660	-208660	-193261	-180381	-172499	-165176	-165176	-157769	-150767	-144724	-138213	-138213	-134092	-127891	-123963	-117766	-117751	-111942	-105826	-99682	-93532	-93532	-87469	-83129	-77220	-71352	-71352	-66704	-61726	-57237	-53101	0	0	0	0	-46904	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-578	-577	-635	-635	-614	-593	-572	-551	-551	-530	-508	-484	-459	-459	-435	-410	-387	-384	-384	-380	-377	-374	-370	-370	-367	-364	-400	-397	-397	-392	-388	-383	-378	-378	-369	-360	-351	-341	-341	-326	-311	-295	-279	-279	-264	-248	-233	-223	-223	-213	-203	-197	-190	0	0	0	0	-164	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
