CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	 2017	Q1 2017	 2016	Q4 2016	 2015	Q4 2015	 2014
Tài sản ngắn hạn###Current Assets	786129	772082	836482	831918	1057470	951655	914489	788533	720408	552473	13683	42692	42692	55344	79967	30303
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	221482	145109	530224	530121	568256	424759	368791	479116	411116	270701	6228	2225	2225	30695	31854	3429
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	21404	21404	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	469252	494888	246199	241738	420852	445975	474630	290813	290813	264320	7365	40467	40467	3240	21478	12305
Hàng tồn kho###Inventory	17918	22002	20724	20724	13501	15758	6143	4401	4401	4897	0	0	0	0	3776	12071
Tài sản ngắn hạn khác###Other Current Assets	77477	110082	39336	39336	54860	65162	64925	14202	14077	12556	90	0	0	6	1455	2499
Tài sản dài hạn###Non-current Assets	2053307	2088485	2073158	2081463	1944778	1752884	1549608	1470795	1548821	1314393	324765	284887	284887	9700	23525	28068
Các khoản phải thu dài hạn###Long term Account Receivable	95341	98180	98544	95155	107837	84598	61409	42307	110307	22268	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1001488	910097	893786	904430	617169	476739	355755	347658	349044	389962	666	0	0	0	23218	27629
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-157940	-138560	-113825	-113708	-92073	-75240	-59241	-50775	-50775	-17629	-49	0	0	0	-8095	-6206
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-35278	-32429	-29759	-29897	-27038	-24241	-21402	-18844	-18844	-10025	0	0	0	0	-469	-684
Lợi thế thương mại	397293	411653	426013	426013	440373	454733	469093	483453	0	540893	0	0	0	0	235	295
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	15224	15349	15584	15584	292474	296780	294434	297764	298047	281402	324099	284854	284854	9700	0	0
Tài sản dài hạn khác###Other long term assets	872463	780538	825860	827048	738408	585928	623424	625060	618728	619271	0	33	33	0	72	144
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2839436	2860567	2909640	2913381	3002248	2704539	2464097	2259328	2269229	1866866	338448	327579	327579	65044	103492	58371
Nợ phải trả ###Liabilities	2065404	2088200	1974071	1969374	1831927	1533967	1224464	1023734	1022647	732924	5066	3003	3003	2332	30606	42339
Nợ ngắn hạn###Short term Liabilities	1799210	1823210	1690932	1688753	1475127	1207104	907103	748960	746794	657372	5066	3003	3003	427	19072	29269
Nợ dài hạn###Long term Liabilities	266194	264990	283139	280621	356800	326863	317361	274774	275853	75552	0	0	0	1905	11534	13070
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	774032	772367	935568	944007	1170321	1170572	1239633	1235594	1246582	1133942	333382	324577	324577	62712	72886	16032
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	774032	772367	935568	944007	1170321	1170572	1239633	1235594	1246582	1133942	333382	324577	324577	62712	72886	16032
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	Q1 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	486181	242453	1672134	553067	490974	342066	286027	1045143	319416	292387	230132	549760	12038	14349	11058	45501
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	16	0	0	16	435	0	0	0	0
Doanh thu thuần###Net Sales	486181	242453	1672134	553067	490974	342066	286027	1045127	319416	292387	230116	549325	12038	14349	11058	45501
Giá vốn hàng bán###Cost of goods sold	321642	243740	895813	283893	243246	188456	171188	551234	140623	142120	143942	257649	0	13787	9769	39180
Lợi nhuận gộp###Gross profit	164538	-1288	776321	269174	247728	153610	114839	493893	178793	150267	86174	291676	12038	562	1289	6321
Doanh thu hoạt động tài chính###Financial activities Revenues	22795	448	35987	4616	4259	26517	436	15217	1475	3698	6651	121079	1	15793	20	1694
Chi phí tài chính###Financial Expenses	14821	14775	46977	16123	11504	10107	7805	28001	8373	8064	6559	5917	0	303	639	4685
Chi phí bán hàng###Selling Expenses	127225	106351	475415	165020	140184	109714	60497	240379	74693	66690	48874	133203	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	42843	47384	180488	50703	49763	44036	34933	121425	37444	26672	25448	68018	1033	1295	637	2816
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2443	-169350	108487	40559	50536	15285	12040	120590	61060	52539	12212	207660	11007	14756	32	514
Thu nhập khác###Other incomes	1517	547	9966	2537	2776	2310	2342	17799	-35484	44457	3107	1426	0	333	0	1286
Chi phí khác###Other Expenses	1885	1472	14603	2815	2124	6384	3280	12394	-33723	40574	2760	11200	0	333	0	1286
Lợi nhuận khác###Other profits	-368	-925	-4637	-277	652	-4074	-937	5405	-1761	3882	348	-9774	0	0	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2075	-170275	103850	40282	51188	11211	11103	125995	59299	56422	12559	197886	11007	14756	32	514
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	33958	12394	12937	4467	5655	39700	14950	14519	5715	26745	2201	2892	0	36
