CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q2 2015	 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	42244	40283	33843	26115	21780	37266	31571	36705	36034	26947	27154	24885	24775	24775	22914	16527	21993	21824	23165	29451	30123	27160	24222	36395	35270	27580	33277	36395	36796	28005	14790	26206	26406	27368	29183	88893	81928	50868	50868	16353	20380	14918	13263	13263	12816	6851	7634	8371
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10632	9136	14367	5509	8674	10862	10070	3056	3056	2752	4078	4072	5676	5676	2755	1416	2576	3025	3025	6823	2264	1646	2597	9552	6427	5262	14554	9552	9552	6575	1120	12066	8184	8187	7079	65928	62444	38242	38242	2252	12064	7189	5855	5855	2432	927	1249	649
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7000	2800	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4400	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	18562	21925	13381	12359	4050	8368	4113	8046	7380	8079	6515	5392	5521	5521	7344	4414	10078	8438	10058	12438	15809	16269	15078	19481	21377	12225	10595	19481	18881	10541	7160	7988	12895	12831	10070	14483	12613	7937	7937	8856	6783	5832	5367	5367	3580	3845	4668	6634
Hàng tồn kho###Inventory	4752	4657	3287	5867	6059	15248	13386	21529	21529	12969	11494	11591	10225	10225	10440	7687	5465	7414	7414	7602	8293	4898	4134	5111	3830	4221	4474	5111	5111	5649	2935	2594	3190	3190	6809	4947	3666	2413	2413	3225	1038	760	1176	1176	1811	1185	761	783
Tài sản ngắn hạn khác###Other Current Assets	1298	1765	1808	1381	2997	2789	4001	4074	4069	3147	5067	3829	3353	3353	2374	3010	3874	2945	2667	2588	3756	4346	2413	2251	3637	5873	3654	2251	3251	5239	3575	3558	2136	3160	5225	3535	3205	2276	2276	2020	495	1136	864	864	593	894	956	305
Tài sản dài hạn###Non-current Assets	15556	11569	811	137000	178018	232814	262183	271320	271879	276766	285124	293198	300862	300862	311555	318707	327979	335371	335375	342425	407813	421793	401332	298915	293952	295111	293270	298915	289999	304346	224226	214972	220029	218958	228959	165618	167539	222191	222191	177690	27827	29337	30532	30532	31125	35990	37361	39136
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	510	509
Tài sản cố định ###Fixed assets	0	0	0	129131	157955	225197	243731	249582	249582	255452	261331	267302	273337	273337	287619	292348	299561	304584	304588	312669	373702	382164	386652	289426	277247	280641	283850	289426	289313	302256	222671	213418	217474	217427	228672	165330	167242	171904	171904	176825	27025	28667	29853	29853	30587	31478	32848	34626
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4340	-4340	-4632	-109545	-85425	-142381	-163292	-157441	-157441	-151572	-145693	-140015	-133981	-133981	-127981	-122048	-116018	-109990	-109986	-103958	-112636	-105492	-98348	-75934	-91544	-86346	0	-75934	0	0	0	0	-64813	0	0	0	0	-44971	-44971	0	0	0	-35868	-35868	0	-32316	-30543	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-241	-237	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	0	-98	0	0	0	0	-98	0	0	0	0	-91	-91	0	0	0	-251	-251	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	503	605	728	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	250	250	250	250	250	250	50250	50250	0	0	0	0	0	0	4000	4000	4000
Tài sản dài hạn khác###Other long term assets	15053	10964	83	6870	5554	7616	18451	21738	22297	21314	23793	25896	27525	27525	23936	26359	28418	30787	30787	29756	34111	39629	14680	9489	16705	14470	9420	9489	686	2090	1305	1305	2305	1281	37	37	47	37	37	865	802	670	678	678	538	2	4	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	57800	51852	34654	163115	199798	270080	293753	308025	307914	303713	312279	318083	325636	325636	334468	335233	349972	357195	358540	371876	437935	448953	425553	335310	329223	322691	326547	335310	326795	332351	239016	241178	246435	246326	258142	254510	249467	273059	273059	194043	48207	44254	43794	43794	43941	42841	44995	47507
Nợ phải trả ###Liabilities	48070	45193	47898	148838	194625	216884	236346	252428	252406	248963	254114	254699	258508	258508	266938	267937	271573	276920	278372	284591	324410	331545	309330	220569	214760	208767	208736	216309	206689	211326	115659	112866	116465	116319	129998	125604	123494	147024	145825	163666	29328	28297	30863	29073	30359	31007	35244	38279
Nợ ngắn hạn###Short term Liabilities	31280	27390	30269	52331	23369	30399	26845	39209	39187	34201	32778	26705	24686	24686	23102	18707	25670	28242	29693	31059	37453	29681	30081	61519	29917	26987	49740	57259	56078	45294	48794	45991	49589	49333	52634	36973	34797	37422	36223	29380	17375	16241	18809	17019	12390	13534	18907	19268
