CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	868637	747239	779755	779755	762635	817785	693497	834742	834742	763386	739532	757791	977543	977543	1036859	1088311	1078311	721079	720753	630332	637262	657090	744701	740505	755168	753015	759772	719282	717754	628894	571211	541950	560036	556031	552149	546342	523420	547353	547353	510282	503660	540648	566759	566773	544247	567715	596876	497688	499274	441089	453912	484656	527191	526426	475745	427901	398597	398184	398684	395279	391434	437927	469910	469719	298535	285149	244800	260420	260420	254817	285149	244800	286950
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	62827	74700	75036	75036	89902	130417	54700	190437	190437	70549	34383	52022	106457	106457	158942	57772	119457	100127	100127	74145	148546	164621	87842	87842	39201	86982	149520	178550	178550	180180	161300	149579	192255	194443	146470	96962	70642	122127	122127	74472	99986	136115	140281	140281	68922	85102	153086	111007	111008	60214	47156	91550	135040	135040	79699	91792	76383	110881	39418	16093	23903	36998	49244	49241	27350	40433	25949	65607	65607	16296	40433	25949	55923
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	50242	5195	5188	5188	5992	24710	24521	4281	4281	14898	40353	78046	183046	183046	145528	285528	285393	15393	15393	3307	3307	3257	103568	103568	103509	103509	103283	3283	3595	3350	3350	2826	2826	2826	3146	4692	4295	6853	6853	10166	6893	4473	3035	3035	4426	4478	3851	3601	5091	4743	5577	11078	12808	12808	30901	30967	31641	25707	97169	99653	97487	141821	155295	155218	43189	35950	28980	0	0	7388	35950	28980	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	320040	300911	329717	329717	260479	242212	254673	289884	324252	356309	306209	329054	395683	395683	432757	433976	439600	367177	367177	305265	244579	252949	302541	299423	266917	240458	234295	227003	227003	181584	152160	156707	155160	155817	192339	216578	210515	202183	202183	202032	186351	177617	194275	194275	177000	204560	209764	199981	199691	181250	181223	172856	175895	175416	162118	150323	137005	106864	106864	97806	126002	112313	116599	112108	79611	78819	62646	56767	56767	66427	78819	62646	81188
Hàng tồn kho###Inventory	416508	348914	350457	350457	375267	385075	326125	323809	289442	291659	324699	263828	282179	282179	288901	302740	228775	234563	234237	240123	233472	227411	245719	244641	338713	314232	266393	294567	292727	250921	238454	212283	199705	196078	201684	217650	228113	208206	208206	215713	198021	211893	222400	222400	284181	260063	211963	172674	172870	185462	211116	198279	195921	195726	185819	147042	143199	148255	148255	173442	128539	133243	137818	142258	136087	122408	120239	129765	129765	155911	122408	120239	143629
Tài sản ngắn hạn khác###Other Current Assets	19021	17519	19358	19358	30994	35371	33477	26331	26331	29971	33889	34841	10178	10178	10730	8296	5086	3818	3818	7492	7359	8852	5031	5031	6828	7834	6281	15879	15879	12859	15948	20554	10090	6867	8510	10459	9855	7984	7984	7898	12409	10549	6769	6783	9718	13514	18212	10425	10613	9420	8839	10892	7527	7436	17207	7777	10369	6478	6978	8286	15504	13551	10955	10894	12299	7538	6985	8282	8282	8795	7538	6985	6211
Tài sản dài hạn###Non-current Assets	1071678	1069816	1067419	1067419	1048809	1027672	997585	939505	939505	922191	923300	896753	796088	796088	568655	516278	448608	434766	434597	412780	399490	388166	348013	348013	326776	322094	307478	310256	310256	291569	294489	302254	309804	311017	307360	312610	318269	314258	314258	299523	286292	261287	260930	260930	259980	259598	254541	253313	251476	239610	221338	214323	204278	206563	206444	204878	195989	198227	198398	192075	169019	142833	98516	98376	50782	54108	50963	44250	44250	37137	54108	50963	27982
Các khoản phải thu dài hạn###Long term Account Receivable	1939	2131	2420	2420	2708	2995	3281	3550	3550	2800	3050	50	50	50	50	80	80	80	80	80	80	80	76	76	220	220	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	466519	471984	476964	476964	323189	313079	311600	315305	315305	265447	268103	271596	267508	267508	268381	272394	265235	270024	270024	258273	258114	257965	263381	263381	245907	241358	237619	246036	241614	235007	242474	250792	258489	258489	260482	269938	273837	247986	269738	254554	244516	213387	208363	213030	214202	212056	205851	200602	204726	190873	172409	164384	152338	152338	146721	140870	132940	131977	131977	121312	113795	86347	44362	44362	39103	37519	36667	35068	35068	31356	37519	36667	22668
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-392158	-379866	-367020	-367020	-354733	-348640	-339762	-332536	-332536	-325606	-318290	-313968	-310845	-310845	-305343	-297908	-290176	-285235	-285235	-279092	-270326	-260394	-251087	-251087	-241356	-231881	-222888	-214399	-214399	-205588	-196406	-187271	-178158	-178158	-169604	-160308	-153566	-145791	-145791	-136966	-129456	-122202	-114597	-114597	-107714	-104427	-98704	-92211	-92210	-100745	-95988	-93433	-90620	-90620	-89856	-87039	-84086	-81768	-81866	-79154	-76356	-73543	-70808	-70808	-68036	-66062	-62546	-60398	-60398	0	-66062	-62546	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-22933	-22526	-22095	-22095	-21590	-21082	-20590	-20107	-20107	-19718	-19377	-19031	-18694	-18694	-18335	-17998	-17699	-17443	-17443	-17269	-17099	-16932	-15787	-15787	-14643	-13498	-12358	-11218	-11218	-10077	-8937	-7796	-6655	-6655	-5547	-4460	-3363	-3278	-3278	-3137	-2997	-2857	-2717	-2717	-2573	-2430	-2286	-2144	-2144	-1982	-1780	-1577	-1375	-1375	-1172	-969	-767	-564	-564	-396	-165	-103	-41	-41	0	0	0	0	0	0	0	0	0
