CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	345419	409618	469731	469731	420601	294338	417650	431810	431810	366501	308247	241670	327331	327331	275886	281837	236366	242912	242912	240524	198890	240438	248937	248937	195406	185891	191574	177667	177667	152705	177419	184891	176497	176497	153697	137155	119400	100900	100900	133015	129227	98772	97431	97431	114442	120418	104629	101265	101265	86442	82547	76378	73426	73424	48059	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	72239	36408	66142	66142	100900	62551	27011	119461	119461	76313	28632	19690	49811	49811	45361	16722	36300	42766	42766	33718	14361	29826	42648	42648	25453	12501	27119	28847	28847	17556	39152	11206	32171	32171	12273	11278	7031	7992	7992	15700	15341	11345	16395	16395	20210	33166	28746	29890	29890	9359	9384	19273	18449	18447	7847	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9000	38000	38000	38000	8000	8000	88000	19700	19700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	125333	218061	268846	268846	205502	142176	218889	209151	209151	153306	162608	135923	212499	212499	140455	130058	121099	135903	135903	142174	105184	135314	136183	136158	101191	91901	96877	86327	86327	82408	73118	109398	76865	76865	73844	60982	53814	50103	50103	82580	56806	48221	37759	37759	51802	49329	45057	37638	37638	46110	34477	27398	21610	21610	16568	35881
Hàng tồn kho###Inventory	135657	115853	96353	96353	105089	79652	83239	82097	82097	136167	116260	85084	64236	64236	89662	131443	78857	62745	62745	64499	73013	70403	64727	64727	64418	81241	66887	58622	58622	47580	56196	54726	61142	61142	63307	61127	53844	38447	38447	31479	50297	35667	38998	38998	40303	33499	27176	30552	30552	29485	36121	26013	31663	31663	23238	0
Tài sản ngắn hạn khác###Other Current Assets	3190	1297	391	391	1110	1959	510	1401	1401	716	747	973	785	785	409	3613	110	1499	1499	132	6333	4895	5378	5403	4343	249	691	3872	3872	5161	8953	9560	6318	6318	4273	3769	4712	4358	4358	3255	6782	3540	4279	4279	2127	4424	3650	3185	3185	1488	2564	3694	1705	1705	406	0
Tài sản dài hạn###Non-current Assets	349456	317258	322684	322684	324254	311341	233710	221945	221945	232551	241478	260001	227036	227036	219684	238954	256148	248467	248467	184427	193678	141335	148868	148868	165012	143254	161556	163438	163438	170607	143854	109098	97993	97993	90929	99992	109602	124515	124479	82251	90154	92960	100576	100576	70872	75231	68550	70923	70923	60655	55592	56440	59672	59672	60544	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	1844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	253306	275917	300755	300755	314545	214362	194845	212887	212887	225770	235042	252976	219035	219035	199850	185021	149619	94171	94171	107463	78414	89310	105629	105629	121713	138101	153970	160500	158811	136020	95793	106192	97504	97504	90315	99158	108720	119907	121596	79219	86488	88909	94039	95728	68340	72534	65991	66659	68348	59957	54897	55608	58867	58867	59496	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-536712	-511048	-485576	-485576	-464767	-442591	-425154	-401820	-401820	-386468	-391334	-379826	-364194	-364194	-352806	-336994	-320501	-302898	-302898	-289033	-274227	-262426	-247576	-247576	-231236	-214397	-196553	-182494	-182494	-171230	-159536	-147598	-138965	-138965	-134244	-124402	-114154	-98925	-98925	-94739	-87158	-80844	-73012	-73012	-65700	-61241	-55553	-53142	-53142	-50520	-46578	0	-42016	-42016	-33732	0
