CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	441661	410426	417476	417476	415331	336454	369374	404092	404092	377675	410553	405586	430765	430765	417864	425416	479061	700527	700527	612312	539152	506320	557352	557352	439826	370626	373725	347885	347885	332512	349270	355535	341198	341198	330555	367404	367404	353508	386735	353508	366148	382293	422275	421099	465851	400330	406083	406083	406557	406557	313888	278849	258427
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	35988	19040	54109	54109	62846	55332	78529	98193	98193	129260	133813	109995	132241	132241	98617	123122	99730	111598	111598	50004	57278	95921	65540	65540	57065	53215	49751	46492	46492	32209	28642	39285	31984	31984	41895	84159	84159	60669	82572	60669	40036	52522	50602	50634	20855	31081	49229	49229	48544	48544	21746	28773	15360
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	76621	73036	83947	83947	74768	44848	30935	31086	31086	36690	28678	32490	36835	36835	43303	50553	32320	31806	31806	40583	40552	35549	30216	30216	24344	30471	58248	63119	63119	54354	62830	54996	70986	68200	70986	53890	37159	14023	14912	14023	5925	10157	11282	10484	13710	4415	11223	11223	3270	3270	12790	7645	2492
Các khoản phải thu ngắn hạn###Short term Account Receivables	225212	231683	176995	176995	182075	173190	205949	195774	195774	131102	156103	193885	166578	166578	200656	159785	257881	411517	411517	233589	151642	187323	260891	260891	188093	149688	152678	98434	98434	103214	116550	132736	136278	136278	117459	112578	112578	127900	155598	127900	156019	129936	193587	192584	173912	181811	215245	215245	244917	244917	131059	131822	126858
Hàng tồn kho###Inventory	90929	76806	89391	89391	83376	53713	48210	71157	71157	71309	83283	64121	85604	85604	68475	72293	70348	124595	124595	219507	213558	121090	134512	134512	103976	69886	41261	67722	67722	67210	65063	53966	83409	83409	103348	116370	116370	125948	111354	125948	141903	161945	129111	128835	211791	145182	105081	105081	94901	94901	135229	91571	98168
Tài sản ngắn hạn khác###Other Current Assets	12911	9862	13034	13034	12268	9370	5750	7882	7882	9313	8676	5094	9508	9508	6814	19662	18783	21011	21011	68629	76121	66436	66192	66192	66348	67366	71787	72119	72119	75525	76186	74553	18541	18541	13988	17138	17138	24967	22300	24967	22266	27733	37694	38562	45583	37841	25305	25305	14926	14926	13064	19038	15549
Tài sản dài hạn###Non-current Assets	91785	94502	94462	94462	94937	105735	95561	96375	96375	97095	98904	97118	93714	93714	110468	107405	91176	92653	92653	91558	87022	87056	87579	87579	89773	91797	92314	93712	93712	96432	98256	105625	240707	240707	249835	254424	254424	316466	260609	316466	322507	326280	344912	341609	297938	245414	205811	205811	96744	96744	92674	87209	23301
Các khoản phải thu dài hạn###Long term Account Receivable	5862	5867	5832	5832	5856	5856	5783	5737	5737	5570	5115	4922	4632	4632	21069	20804	3297	3031	3031	3032	2910	2395	2385	2385	2360	2328	598	606	606	0	598	0	600	600	0	535	535	545	535	545	527	522	3	332	194	1202	0	0	0	0	502	431	633
Tài sản cố định ###Fixed assets	62738	63797	63902	63902	64957	65924	67388	68854	68854	70279	71714	73643	74149	74149	75090	76577	77879	79320	79320	80811	76889	78294	78691	78691	80131	81492	81816	82393	82393	84035	85458	86976	212800	212800	214917	207833	207833	212436	210627	212631	217258	221145	227145	238238	198870	148123	68176	111771	12056	12056	9423	7549	4892
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-37715	-36904	-36113	-36113	-35321	-34422	-33617	-32472	-32472	-31291	-30108	-28977	-30266	-30266	-29069	-27887	-27422	-26244	-26244	-25237	-23756	-22596	-21447	-21447	-20299	-19142	-18217	-19056	-19056	-19522	-18167	-16878	-26749	-26749	-26523	-27305	-27305	-30150	-29434	-30150	-26273	-23312	-17692	-16796	-15500	-15266	-13719	-13719	-10887	-10887	-11556	-10217	0
