CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	378591	325411	337959	345172	384901	356510	349671	356288	366690	363829	349223	341173	345811	349369	333151	351229	372855	359542	360309	344857	346983	364750	392622	391890	408928	352504	304623	321158	321158	324378	301045	357354	387573	387573	428627	372206	359111	294195	294916	281959	294921	250734	179969	160453
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13642	3777	13381	13668	8357	6926	6594	6731	6731	13388	4418	5392	11042	11042	9761	11663	5555	8673	8704	11910	14355	16525	24002	4791	5220	1047	4251	2667	2667	50247	7087	2997	2236	2236	570	1937	5443	2701	2773	1067	1417	3193	1583	1220
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10000	10000	10000	13000	14000	10000	14000	10000	14000	10000	10000	10000	10000	10000	10000	10000	16600	10000	10000	10000	10000	25000	10000	42711	39000	10000	10000	10000	10000	0	0	0	0	0	0	0	0	0	0	866	991	264	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	149482	158678	160442	162897	182778	170126	166032	182380	186446	168968	159522	127225	144535	147259	120655	135307	144649	153183	153183	116408	109096	107220	134318	120818	138530	124522	89210	98058	98058	95276	113649	108365	105028	105028	77024	60776	46909	84354	84735	60668	77688	35452	41056	49633
Hàng tồn kho###Inventory	199335	149763	152253	152253	174418	166910	161471	156178	156178	170512	173483	193615	177761	177748	188408	191472	202969	186825	186825	203236	209622	211303	218222	218222	221040	212368	197501	205558	205558	175699	176750	235537	265664	265664	328719	291456	288138	197574	197867	208246	203839	200475	131028	105291
Tài sản ngắn hạn khác###Other Current Assets	6132	3193	1883	3354	5348	2548	1574	998	3334	961	1800	4941	2472	3319	4327	2787	3082	862	1598	3303	3911	4702	6079	5347	5138	4567	3662	4874	4874	3155	3558	10456	14644	14644	22315	18036	18620	9566	9540	11112	10986	11350	6303	4309
Tài sản dài hạn###Non-current Assets	64479	66172	67808	66337	67741	73318	76015	78082	75746	79763	82099	79081	82196	81348	84014	78172	59659	62711	61975	64419	66502	67895	66568	67300	64411	47472	43388	29692	29692	30894	31604	31558	31647	31647	30605	30008	30668	31482	31470	30038	30577	26437	25730	25416
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	62576	63082	65044	65044	67538	70053	72746	75200	75200	76000	74028	76787	78169	78169	65526	67392	57001	59007	59007	60997	62022	64121	63639	63639	62932	46730	42430	29395	29395	30569	31284	31380	31461	31461	30554	29957	30617	31345	31413	29958	30475	26051	25565	25315
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-62470	-59969	-57376	-57376	-55210	-52455	-49771	-47041	-47041	-44267	-41638	-40277	-37376	-37376	-35070	-32701	-30508	-28429	-28429	-26327	-24221	-22130	-20068	-20039	-18893	-17000	-15572	-14315	-14315	-14540	-13670	-12860	-12236	-12236	-12335	-10618	-9832	-9031	-9037	-8253	-7480	-6119	-3791	-1778
