CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	869508	851506	813924	859725	722324	692728	695345	567299	578239	681464	703373	702109	731322	684858	718268	846122	753914	782353	802624	1140751	1096129	961925	927222	927222	981659	941368	941368	940930	832777	705839	885259
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	90670	130577	121404	125404	35947	69346	31952	6092	6373	25486	28177	41032	37204	49482	75933	22578	30570	34004	33988	42821	40216	46147	74860	74860	63242	125885	125885	47424	89683	46377	59184
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2780	0	280	280	280	280	51880	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	0	2667
Các khoản phải thu ngắn hạn###Short term Account Receivables	508033	494716	414383	455858	453889	387500	332913	352075	363030	331506	357250	328055	390087	331222	357558	518383	356384	392285	410139	575228	580548	488938	481814	481814	513111	442602	442602	553810	468309	461403	555665
Hàng tồn kho###Inventory	245190	222097	273977	274127	202335	215902	262543	206516	206500	305528	299300	316972	298500	298588	268026	291432	363055	355850	358313	489348	446789	405419	355533	355533	349450	331413	331413	269567	239871	153425	193918
Tài sản ngắn hạn khác###Other Current Assets	22836	4116	3879	4056	29874	19701	16057	2336	2336	18944	18647	16050	5531	5567	16751	13729	3905	214	184	33354	28577	21421	15015	15015	55856	41468	41468	69629	34414	44634	73826
Tài sản dài hạn###Non-current Assets	158916	160036	161177	161147	130421	130619	131737	142603	142596	127240	117046	124634	134818	199257	135639	63501	77415	71786	70116	269884	254462	218165	188192	188192	109529	103830	103830	116177	120705	141091	172299
Các khoản phải thu dài hạn###Long term Account Receivable	618	618	618	618	618	618	618	618	618	11428	618	689	701	701	717	688	741	551	1045	773	781	1097	805	805	69	69	69	0	0	0	0
Tài sản cố định ###Fixed assets	12480	13479	14484	14484	8866	9009	10012	10514	10514	11266	12019	12769	13521	13563	4617	5232	5590	5949	5949	10310	10934	12893	12440	12440	21683	80853	22359	23440	95173	63709	50730
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19954	-18955	-17949	-17949	-17016	-16270	-15266	-17251	-17386	-17048	-16296	-14507	-13842	-14008	-16040	-16225	-15955	-15749	-15619	-20224	-19688	-19996	-19348	-19348	-26877	-25726	-25726	-24302	-22030	-26073	-43515
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	-1037	-949	-949	-861	-773	-685	-597	-597	-509	-421	-333	-245	-245	-61	-15	-15	-4287	-2956	0	-2559
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-113
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	2059
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	127063	127063	127067	127063	102693	102693	102809	118108	117581	87079	87250	92854	98721	163222	105977	37218	43876	43876	42278	42168	37538	33057	33486	33486	13843	13883	13883	15993	17493	7031	38849
Tài sản dài hạn khác###Other long term assets	5616	5737	5868	5843	5222	5278	5276	341	860	425	565	593	732	628	413	529	1087	956	956	958	1048	1088	1053	1053	13133	9025	9025	8842	8039	4076	4179
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1028424	1011542	975100	1020872	852745	823348	827082	709902	720834	808704	820420	826743	866141	884115	853907	909623	831330	854139	872740	1410634	1350591	1180090	1115414	1115414	1091188	1045198	1045198	1057107	953482	846930	1057559
Nợ phải trả ###Liabilities	853666	837106	800835	846187	677525	648061	651664	534760	545680	634426	646117	651191	692955	706570	712817	773702	700604	714878	731883	1270306	1211845	1046215	976999	976999	947762	898044	898044	902936	808517	695579	898699
Nợ ngắn hạn###Short term Liabilities	853626	837066	800795	846147	677485	648021	651624	534720	545640	621927	646077	651151	691409	705025	710338	771223	698431	713168	729316	1083831	1024897	918572	879763	879763	808536	772727	772727	766106	634943	561451	751698
Nợ dài hạn###Long term Liabilities	40	40	40	40	40	40	40	40	40	12500	40	40	1545	1545	2479	2479	2173	1710	2568	186475	186948	127643	97236	97236	139226	125316	125316	136830	173575	134128	147001
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	174759	174436	174265	174685	175220	175287	175418	175142	175155	174277	174302	175552	173186	177545	141090	135921	130725	139261	140856	140329	138745	133875	138415	138415	143426	138603	147154	154171	136356	151351	158860
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	42	42	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	174759	174436	174265	174685	175220	175287	175418	175142	175155	174277	174302	175552	173186	177545	141090	135921	130684	139219	140814	140329	138745	133875	138415	138415	143426	138603	147154	154171	136356	151351	158860
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	8551	0	0	8608	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q1 2015	 2014	Q3 2014	Q2 2014	Q1 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	383870	485317	1133337	557430	199027	225779	150284	796916	288177	207906	164402	136576	881989	217453	190388	387337	84233	1610566	614760	258823	373697	421102	2016727	394762	2034358	615585	373040	339811	1679145	1716763	2590231
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	4505
Doanh thu thuần###Net Sales	383870	485317	1133337	557430	199027	225779	150284	796916	288177	207906	164402	136576	881989	217453	190388	387337	84233	1610566	614760	258823	373697	421102	2016727	394762	2034358	615585	373040	339811	1679145	1716690	2585727
Giá vốn hàng bán###Cost of goods sold	380984	468167	1061480	511821	193399	213922	141591	744210	254917	202042	156590	130445	806127	200398	179263	344202	79857	1520749	598207	230853	343166	404050	1890919	373838	1921032	583262	353782	321606	1587776	1599675	2355488
Lợi nhuận gộp###Gross profit	2886	17150	71857	45609	5629	11857	8693	52706	33261	5864	7812	6131	75863	17054	11125	43134	4376	89816	16554	27970	30532	17052	125809	20924	113326	32323	19259	18205	91369	117014	230239
Doanh thu hoạt động tài chính###Financial activities Revenues	854	296	1373	382	353	648	6	17408	8740	4171	2096	2092	7450	3162	2988	1077	202	1808	840	249	896	304	1086	336	3284	842	2519	175	1178	14360	11902
Chi phí tài chính###Financial Expenses	-3171	8794	35471	29122	1089	3932	1329	38444	25217	3513	4850	5021	39843	17170	4346	12260	5484	34387	12793	8404	8346	5510	23149	6058	24384	5770	4570	3781	26574	52054	93766
Chi phí bán hàng###Selling Expenses	2751	3504	11964	2948	1919	4082	2162	11795	3113	3137	1860	3727	28951	11300	4007	12234	2428	44126	16088	10963	7729	9374	46563	8504	43369	11089	5954	7189	35119	38483	53398
Chi phí quản lý doanh nghiệp###Managing Expenses	3567	4984	22280	13112	2887	3852	3012	21748	12978	2865	2231	3749	21608	6017	5431	3883	5451	36167	11746	7182	10361	7438	46792	11634	51119	14250	11927	11524	54456	42299	74394
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	593	165	3520	990	86	460	2196	-1868	862	519	796	-4273	-6891	-14271	329	16864	-8786	-21321	-23234	1671	4880	-4965	10540	-4935	-2262	2056	-674	-4114	-23602	-1461	20583
