CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	26564	31753	31349	32916	34530	39086	39389	39389	30015	27925	28235	34083	34083	31399	29489	30718	31105	31105	28389	40942	40312	53505
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4833	5318	5189	8656	16067	18795	19451	19451	7840	7489	7953	11253	11253	10854	9523	12349	17477	17477	14429	23914	13310	27052
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	10947	12082	11812	11469	8061	12305	11175	11175	7982	7435	7658	9522	9522	7187	9816	8294	5983	5983	9400	11462	12575	15086
Hàng tồn kho###Inventory	10773	14349	14349	12471	9772	7987	8763	8763	13000	11507	12624	13308	13308	13358	10150	10070	7628	7628	4531	5566	14427	11368
Tài sản ngắn hạn khác###Other Current Assets	12	5	0	321	631	0	0	0	1193	1495	0	0	0	0	0	4	17	17	29	0	0	0
Tài sản dài hạn###Non-current Assets	58553	61393	53787	44755	31579	31592	32007	32007	34560	32695	34453	34916	34916	34558	35241	36583	37380	37137	34980	12629	9617	8397
Các khoản phải thu dài hạn###Long term Account Receivable	13165	11795	11795	11448	11448	10694	9690	9690	9413	9413	9413	8113	8113	7886	7527	7527	6586	6586	6454	0	0	0
Tài sản cố định ###Fixed assets	24739	27430	14134	16684	19435	20127	21889	21889	25144	23282	25002	26675	26675	26444	27223	28534	30205	29962	27785	6988	6688	7570
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-21890	-19778	-19778	-19588	-20329	-19988	-19095	-19095	-18170	-17313	-16469	-15618	-15618	-14837	-14025	-13798	-12727	-12970	-12923	-11419	-9733	-8385
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-30989	-28406	-28406	-27583	-26913	-26307	-24995	-24995	-22266	-21359	-20483	-19661	-19661	-18529	-17478	-16258	-15058	-15058	-13272	-105	0	0
Lợi thế thương mại	11246	12543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	27132	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	11542	13093	549	623	696	770	428	428	0	0	38	128	128	228	349	469	590	590	741	5641	2929	827
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	85117	93146	85137	77671	66110	70678	71396	71396	64575	60620	62687	68999	68999	65957	64729	67301	68485	68242	63369	53570	49929	61902
