CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	1251556	1565854	1173027	1216122	1328098	1283612	810185	747201	747926	789444	826851	720331	660922	501783	786813	788932	748456	706454	985213	861798	811825	768674	686962	641324	656044	484161	497429	440316	440316	321526	262478	126350	262073	262073	271715	207762	1155227	398211	69556	16284
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4802	11320	5169	5169	1489	1975	3822	1981	1981	1402	4534	3754	3150	3150	20206	7571	9526	5991	5992	3381	8353	6512	14525	14601	8907	60154	17875	12939	12939	24299	25390	3728	10268	10268	12284	7828	15503	3531	113	141
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	243500	243500	195000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63000	0	0	66050	66050	187450	724682	694482	203630	62040	13000
Các khoản phải thu ngắn hạn###Short term Account Receivables	992759	1272484	966615	1206045	1318892	1275735	798324	736276	737002	777057	805171	697927	644339	485272	739943	764152	716561	681205	959271	827532	778234	753935	608324	564692	638841	420588	477984	420383	420383	220311	208553	115498	114954	114954	68782	8652	422997	186389	5114	1741
Hàng tồn kho###Inventory	9917	37874	3199	1925	4029	2087	4475	4759	4759	6954	10579	11812	6853	6853	7340	10064	13793	7938	8630	28375	19499	7480	62558	60475	7191	2207	1345	1350	1350	4455	449	296	58451	58451	516	1335	7067	1357	937	352
Tài sản ngắn hạn khác###Other Current Assets	577	677	3044	2983	3687	3814	3564	4185	4185	4031	6567	6838	6579	6508	19324	7144	8576	11320	11320	2510	5739	747	1554	1554	1106	1212	225	5645	5645	9461	28087	6828	12350	12350	2683	2496	15178	3304	1351	1049
Tài sản dài hạn###Non-current Assets	1031069	806894	874588	869852	675581	676309	1114211	1117466	1117466	1047838	1048716	1091624	1137526	1290800	1201011	1140527	1121288	1190630	933718	1431841	1493609	1502706	1503883	1548942	1341198	1559805	1597345	1635743	1635743	1005457	784028	308139	226874	222024	77479	78374	826314	50344	10215	9040
Các khoản phải thu dài hạn###Long term Account Receivable	659260	420891	487855	279621	279619	279611	717559	717559	717559	647059	647059	689081	734081	734081	633580	644551	611159	648186	374500	1016200	1070200	1070200	1071563	1116563	890963	1113574	374500	104500	104500	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1042	1091	1140	1140	1189	1238	499	3050	3050	3218	3386	3554	3721	3721	3889	4057	4225	18604	18604	19420	20068	25143	26005	26005	26463	13411	4712	15482	12214	12650	12946	12413	13452	13478	13911	14271	281979	13973	9718	3243
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1188	-1138	-1089	-1089	-1040	-991	-950	-2974	-2974	-2806	-2638	-2470	-2303	-2303	-2135	-1967	-1855	-4986	-4986	-4240	-3610	-4922	-4060	-4060	-3161	-2275	-2052	-5299	-5299	-4864	-4407	-3981	-3773	-3747	-3448	-3052	-6473	-2292	-958	-84
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13912	18086	21421	21488	21554	21621	21688	21688	21822	21889	21956	0	83751	80148	0	11989	0	24834	25543	26253	4584	27672	0	0
Bất động sản đầu tư ###Real Estate Investment	126570	127251	127931	127931	128612	129292	129973	130653	130653	131333	132014	132694	133375	133375	134055	134736	135416	136097	136097	0	0	0	0	0	0	0	0	0	0	0	0	0	6594	6594	6734	6874	373758	7154	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	243996	257458	257458	460956	265956	265956	265956	265956	265956	265956	265956	265956	265956	419230	428230	355030	350909	363341	376780	367837	374119	376881	376893	376953	393596	393563	393117	1427616	1427616	910505	770030	281545	176627	175600	30000	30000	150486	0	0	0
Tài sản dài hạn khác###Other long term assets	201	202	204	204	205	211	223	247	247	271	301	338	392	392	1257	2153	19579	24402	27737	28383	29221	8860	29421	7733	8353	3621	793949	4394	4394	2102	1017	1233	1519	1519	1291	977	15379	1089	497	584
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2282625	2372748	2047614	2085974	2003679	1959920	1924396	1864667	1865392	1837282	1875567	1811955	1798448	1792583	1987824	1929459	1869744	1897084	1918931	2293638	2305434	2271380	2190845	2190266	1997242	2043965	2094773	2076059	2076059	1326983	1046506	434489	488947	484097	349194	286135	1981542	448556	79771	25323
Nợ phải trả ###Liabilities	550011	631478	320508	348425	257591	216993	195067	138964	139044	106504	146248	94527	84086	82639	273344	220160	110988	145157	155401	553152	554171	520476	440320	439684	246515	297964	356384	373479	373479	359433	166708	114500	187913	187919	67737	15356	775081	181722	76554	22187
Nợ ngắn hạn###Short term Liabilities	548158	630921	319902	347770	256816	216169	194073	137970	139044	105489	144167	92875	82453	81006	271160	216981	105976	139174	146281	547757	547924	513270	432397	431761	240864	292832	356384	373159	373159	242833	166708	114500	187893	187899	67717	15232	593716	181702	76554	22187
Nợ dài hạn###Long term Liabilities	1853	557	606	655	776	824	995	995	0	1015	2081	1652	1633	1633	2184	3179	5013	5983	9120	5395	6247	7207	7923	7923	5652	5132	0	320	320	116600	0	0	20	20	20	124	181366	20	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1732614	1741269	1727106	1737549	1746087	1742927	1729329	1725702	1726349	1730778	1729319	1717429	1714361	1709944	1714480	1709299	1758756	1751927	1763530	1740486	1751263	1750904	1750524	1750582	1750727	1746001	1738389	1657508	1702579	967550	879798	319989	300165	295310	280606	269943	1200407	266833	3217	3136
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1732614	1741269	1727106	1737549	1746087	1742927	1729329	1725702	1726349	1730778	1729319	1717429	1714361	1709944	1714480	1709299	1758756	1751927	1763530	1740486	1751263	1750904	1750524	1750582	1750727	1746001	1738389	1657508	1702579	967550	879798	319989	300165	295310	280606	269943	1200407	266833	3217	3136
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45147	45071	45071	44824	0	191	868	868	851	836	6054	775	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046506	434489	488947	484097	349194	1967819	1981542	448556	79771	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	191452	718337	1830407	453663	644977	527197	204570	1328856	208363	375993	563891	180608	1280816	413497	366739	352605	147976	909468	194200	128090	177419	409759	1643995	823850	310486	348767	160900	734226	304231	156719	148480	124239	368838	203807	97712	30282	212355	187043	3853	719
Các khoản giảm trừ doanh thu###Deduction revenues	-3398	3398	485	202	146	86	51	2210	130	428	1281	371	5212	854	985	1311	2061	4253	2402	754	797	300	1258	486	497	69	206	1298	764	438	40	42	326	70	149	107	71	0	0	0
Doanh thu thuần###Net Sales	194851	714938	1829922	453462	644831	527111	204519	1326646	208233	375565	562610	180237	1275604	412642	365753	351294	145915	905214	191798	127337	176622	409458	1642737	823364	309989	348697	160694	732928	303467	156282	148440	124197	368512	203737	97563	30175	212284	187043	3853	719
Giá vốn hàng bán###Cost of goods sold	187894	690291	1780883	412625	640507	527378	201540	1303002	197804	374220	554494	176485	1251863	407772	361138	350752	132201	862506	176326	122201	166210	397255	1582062	796240	296170	334156	155547	686017	290314	140442	141046	113738	329113	181792	86729	26547	208655	181672	2205	408
Lợi nhuận gộp###Gross profit	6957	24647	49040	40837	4324	-267	2979	23644	10429	1346	8117	3753	23741	4870	4615	542	13713	42709	15472	5136	10412	12204	60675	27125	13819	14541	5147	46911	13153	15839	7394	10459	39400	21946	10834	3628	3630	5371	1648	311
Doanh thu hoạt động tài chính###Financial activities Revenues	10599	1665	50676	16135	4375	25846	4321	46844	12252	11338	17650	5604	70189	24348	15783	15063	17590	32265	15189	4905	6806	5366	87091	4141	2592	-277131	357417	97021	2550	35174	34212	21022	22751	5231	6837	4994	9450	16779	7638	1044
Chi phí tài chính###Financial Expenses	20283	4034	49804	39938	306	497	419	2887	55	757	1055	1020	31484	834	559	-10253	18070	18498	483	553	882	897	35863	6449	261	-279338	308601	5504	2447	1397	870	791	705	408	130	84	7580	2804	5408	685
Chi phí bán hàng###Selling Expenses	1814	1912	33486	2782	2585	3951	1775	17231	7713	3656	3154	2709	25001	4997	6097	6550	7357	27377	7245	4639	1541	9871	21449	10654	3897	2664	4234	13524	4571	3309	2758	2953	7343	1636	834	2481	38	2541	4	6
Chi phí quản lý doanh nghiệp###Managing Expenses	6166	2543	14345	25310	1750	3935	873	33625	20116	4285	6627	1791	24063	28083	7165	15025	4523	19808	4063	4781	4912	5831	27013	9278	6060	4919	6685	22193	5255	5123	2964	3517	14100	5501	2502	2802	4329	7029	3795	658
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-10707	17823	2081	-11059	4058	17196	4233	16745	-5202	3986	14931	3836	13382	-4696	6577	2630	3007	10564	27813	-6214	7123	958	62117	4140	6227	9177	43398	102711	5467	44263	35014	25053	40003	19632	14204	3255	1133	9776	79	7
Thu nhập khác###Other incomes	0	11	429	860	0	-2496	2827	150	13	135	0	2	106	111	-96	-63	154	1940	132	1360	104	1991	2749	1069	1200	-7127	10288	3723	812	50	18	19	83	83	0	0	0	67	2	12
Chi phí khác###Other Expenses	27	130	484	288	108	-2439	2528	2112	254	1837	19	3	1481	1210	4	9	259	6967	-1106	6633	4862	2312	3617	3168	953	-7261	9389	758	676	25	6	26	2	2	0	0	113	0	0	1362
Lợi nhuận khác###Other profits	-27	-118	-55	573	-108	-57	300	-1962	-241	-1702	-19	-1	-1376	-1099	-100	-72	-104	-5026	1238	-5273	-4758	-321	-868	-2099	248	135	899	2965	137	26	12	-7	81	81	0	0	-113	66	2	-1350
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-10734	17704	2026	-10486	3951	17139	4533	14783	-5443	2284	14913	3835	12007	-5795	6477	2558	2902	5538	29051	-11488	2364	637	61248	2041	6474	9312	44298	112274	5604	44289	35026	25046	45102	19713	14204	3255	1580	9843	81	-1344
Chi phí thuế TNDN###Corporate Income Tax Expenses	-2078	3541	623	-1947	790	3541	907	3441	-1013	825	3022	768	2959	-1258	1295	991	484	2884	4756	0	2005	257	14911	1387	1749	2134	9640	20903	766	8955	5715	5403	10573	4992	3630	989	0	1991	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-2078	3541	623	-1947	790	3541	907	3441	-1013	825	3022	768	2959	-1258	1295	991	484	2034	769	0	2005	257	14911	1387	1749	2134	9640	20903	766	8955	5715	5403	10573	4992	3630	989	299	1991	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	3987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-8656	14163	1404	-8539	3160	13598	3626	11341	-4430	1459	11891	3067	9048	-4537	5182	1675	2310	1747	24295	-11487	359	380	45942	654	4726	7177	34657	92432	4838	35334	29311	19643	34529	14721	10574	2266	1281	7852	81	-1344
---Cac Chi So Tai Chinh---																																								
EBITDA	-0.17	-0.05	-0.12	-0.12	0.08	0.33	0.72	0.90	0.90	0.87	1.29	1.70	1.53	1.53	2.36	1.85	1.78	2.39	2.39	2.34	1.72	1.83	1.73	1.73	1.88	2.13	1.86	1.67	1.67	1.54	1.80	2.55	6.34	6.34	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.80	1.40	1.60	1.60	1.20	1.40	1.70	1.90	1.90	2.30	2.00	2.40	3.40	3.40	3.80	2.70	2.60	2.40	2.40	2.00	2.80	3.60	4.40	4.40	4.20	6.90	9.27	10.18	10.18	11.19	8.99	9.99	9.92	9.92	14.01	0.00	0.00	0.00	0.00	0.00
