CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	709508	665985	626757	626637	620586	621691	566655	524384	527570	515733	481442	451138	406086	406638	399262	416563	422623	319771	322156	354100	327635	318717	283882	283313	321568	316048	289477	285516	277548	336157	301054	255837	247948	248295	354881	373507	352823	340833	321973	405924	427859	415414	381604	385277	383685	396982	330541	330073	318594	281482	264709	247331	210415	147965	108897	104358	97572	98159	108791	108191	109856	98575	110814	43605	27651
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	23508	12805	16325	16395	25621	8735	9623	18108	18108	31910	15279	9072	31736	31734	20785	27800	46552	24461	24452	29299	13095	13704	12455	20145	16523	16465	9031	10506	10532	36759	8341	11008	20352	20303	9687	10247	3128	9117	9117	10089	6703	2797	3348	3348	7492	13285	3990	14133	14079	14442	9459	4549	10687	4766	7514	1632	363	1916	1916	12908	15621	14527	48523	2181	1273
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10319	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	180324	159246	145044	144853	190030	206788	137032	111211	111217	146131	153249	134341	113235	113375	159122	150838	156718	115439	117798	159802	159881	115392	93043	85299	139091	136233	102601	94899	90246	144300	138972	77596	68566	69325	152663	159170	142943	113200	140086	235481	267170	253077	240526	248418	225256	281185	240983	241172	220669	170947	186207	148216	141075	112568	73249	80093	75023	77262	78612	70757	70219	64682	47091	28802	20089
Hàng tồn kho###Inventory	491977	478779	455200	455200	400586	397231	399315	372501	375954	321821	301532	299894	256430	256492	203876	215507	204268	167869	167869	156246	148773	179322	170167	169450	160798	160877	168390	165766	162431	147509	150202	163895	149508	149140	186785	197150	195142	193023	151081	142434	134628	136373	118769	117014	133564	82576	79272	70269	79651	86227	60911	88907	54042	27052	25998	20053	18600	16452	14965	23223	22182	18299	14819	12622	4550
Tài sản ngắn hạn khác###Other Current Assets	13699	15155	10189	10189	4349	8937	20685	22563	22291	15870	11382	7831	4685	5037	15478	22418	15085	12002	12037	8753	5887	10300	8217	8418	5155	2473	9456	14344	14339	7589	3539	3337	9522	9527	5746	6939	11610	25493	21689	17920	19358	23167	18961	16498	17372	19936	6295	4499	4195	9865	8133	5659	4611	3579	2136	2581	3587	2529	2979	1303	1834	1067	381	0	1739
Tài sản dài hạn###Non-current Assets	350703	359548	368432	367797	375215	378531	384530	388738	385835	382361	388453	389197	398289	398293	410165	413716	384804	385305	385801	381737	388858	389930	387696	386038	369313	380830	395263	372533	373387	348135	336430	350814	351950	352159	263684	251786	250791	262486	295372	259638	228307	235138	241989	247314	234300	269841	277143	283275	290127	293599	330308	305060	309591	196485	196525	188961	186452	170834	159986	135387	133993	133235	128532	122349	112968
Các khoản phải thu dài hạn###Long term Account Receivable	0	624	622	622	622	622	1248	1248	1248	1248	1248	1248	1248	1248	1248	1248	1248	1248	1248	626	626	626	1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	144
Tài sản cố định ###Fixed assets	324213	333711	345922	345395	335202	348769	350768	326529	326899	334573	348058	362083	373466	373466	385763	383435	354800	356726	357133	329067	338392	345884	352918	352918	344921	355141	313903	336902	285841	310586	298182	311370	311215	311493	218733	203668	208733	191925	254383	217175	184407	189706	194937	197666	197527	203049	209005	198723	213768	219754	273261	245464	249893	166210	166257	167020	169416	153635	152214	128539	127665	127480	127466	120983	111852
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-442989	-427927	-413178	-413612	-399769	-385051	-371381	-357409	-357108	-345613	-332150	-318652	-305004	-305004	-293814	-280655	-268974	-257098	-257089	-246430	-237037	-227094	-216306	-216306	-205902	-195333	-185988	-178281	-177035	-170625	-163634	-170389	-163477	-163521	-158364	-153198	-149143	-143811	-143957	-138864	-133891	-129200	-123995	-121420	-76995	-115656	-110896	-105789	-104388	-99277	-95339	-89885	-84616	-40242	-37161	-34192	-31249	-29092	-28438	-26183	-23936	-21729	-19541	-10818	0
