CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	261037	3683	1449	1333	252	391	6699	305100	6700	117204	202081	204347	202799	204786	204871	204553	223402	218133	179640	237293	258835	289534	158134	160413	92163	90219	75123	63773	63854	35872	86480	29454	28673	28673	29493	35913	24007	25089	10491
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	290	117	83	62	174	352	26	26	26	242	2267	2522	2925	2925	2332	3960	1561	1657	2362	6590	1662	2683	22972	22873	939	7526	627	947	1010	3943	910	73	200	200	192	1487	1353	85	440
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	260717	3446	1246	1246	44	0	6645	305051	6645	92111	174851	176871	174884	176871	177550	172608	193833	185450	146251	200207	210977	240913	88132	89864	47069	52532	45688	34698	34713	4693	59381	3435	413	413	8820	12853	6432	10351	1117
Hàng tồn kho###Inventory	0	0	0	0	0	0	18	18	18	24817	24954	24954	24954	24954	24954	27890	27993	30981	30981	30496	46142	45772	46747	47579	43498	30160	28807	28084	28087	27035	25987	24632	26360	26360	17528	17510	12272	13332	6938
Tài sản ngắn hạn khác###Other Current Assets	30	120	120	25	35	39	11	4	11	34	9	0	36	36	36	94	15	46	46	0	54	166	282	98	657	0	0	44	44	201	201	1315	1701	1701	2953	4063	3951	1322	1995
Tài sản dài hạn###Non-current Assets	89999	318167	318167	318155	318155	318155	323225	24829	323229	192612	111439	109452	111439	111440	114738	114756	114830	114848	155310	100165	100146	100164	100181	100181	107568	107757	128481	129205	129202	130262	31262	12635	13376	13376	14627	15937	17020	17404	21181
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	40000	0	40000	83756	0	0	0	0	0	0	56	56	40056	40056	100056	100056	100056	100056	100056	100256	56	100000	56	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7501	7501	8225	8949	8946	9672	10396	11102	11844	11844	12830	13570	14997	15382	18457
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11323	-11323	-10599	-9875	-9878	-9152	-8428	-7722	-6981	-6981	-5994	-5254	-4561	-4176	-1050
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
