CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q2 2013	Q1 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	428980	455641	454510	455789	496848	544171	490577	509866	511769	552742	653286	556037	595068	593257	649017	658659	614820	612622	612622	636817	669307	683119	696282	690376	716576	802443	801847	801847	749308	753832	775765	775765	719506	685076	708542	539550	468726	455672
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10587	5280	19417	19476	33489	57990	7736	21908	21595	17412	128646	13726	22997	22997	47008	75279	5440	6895	6895	6054	24441	5824	13443	3692	31299	3158	4410	4410	20150	10218	4004	4004	11621	15219	4364	6986	31808	110561
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6623	6463	3463	3463	13463	23197	13129	3129	3062	3062	3062	463	463	463	463	463	463	463	463	463	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	143011	153492	151462	152467	130513	129998	117818	133594	133818	136244	133703	134148	147084	146462	150160	124913	139131	151313	151313	151672	155960	177683	201662	179829	168765	242099	261363	261363	200716	216795	252573	252573	213452	197507	237482	122221	120981	106551
Hàng tồn kho###Inventory	255552	277352	272209	272423	307279	323807	339834	343269	345580	382550	377207	394091	412001	411604	433077	441077	446415	440977	440977	456514	472660	484247	473686	497387	505177	509292	525530	525530	509520	508887	506926	506926	479997	456125	460343	396946	306109	176560
Tài sản ngắn hạn khác###Other Current Assets	13208	13054	7960	7960	12105	9180	12060	7966	7714	13475	10669	13609	12524	11732	18309	16927	23371	12973	12973	22115	15784	15365	7490	9468	11335	47894	10544	10544	18922	17932	12262	12262	14436	16226	6353	11398	9829	2420
Tài sản dài hạn###Non-current Assets	603483	597736	604561	604146	591848	583472	586679	590739	590565	573170	568864	573531	574888	577835	586519	576009	581696	586753	586753	631844	592099	595526	587185	559988	554220	407301	452483	452483	492690	494299	506098	506098	500905	508457	524262	543877	555886	482742
Các khoản phải thu dài hạn###Long term Account Receivable	3159	3139	2884	2896	2861	2441	2401	2166	2166	2141	1996	1896	1896	1896	1896	1896	2499	1836	1836	9520	615	615	615	465	465	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	256116	254617	261938	261603	245968	240935	241377	243348	243174	213687	220555	224200	222904	222904	217482	208703	211495	212908	212908	195312	189104	191885	191361	182527	180553	185519	355228	191981	203148	206330	405886	213076	403694	412603	231002	0	0	378637
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-498735	-491274	-483549	-504843	-497017	-487829	-480354	-472868	-460872	-468939	-461922	-454863	-448855	-448855	-442099	-462125	-464909	-460047	-460047	-473986	-467589	-460987	-454264	-456718	-450448	-443545	-436278	-436278	-433924	-426080	-417958	-417958	-401780	-399405	-393238	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-23950	-21379	-18582	-18919	-15982	-15738	-13651	-11783	-23777	-22184	-20787	-19160	-17533	-17533	-15836	-14146	-12478	-10858	-10858	-9583	-8489	-7485	-6499	-5764	-5028	-4292	-3557	-3557	-2085	-1443	-801	-801	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2426	-2288	-2149	-2149	-2010	-1871	-1732	-1593	-1593	-1454	-1316	-1194	-1082	-1082	-969	-857	-774	-698	-698	-622	-545	-469	-404	-338	-273	-208	-153	-153	-954	-937	-919	-919	-901	-901	-901	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	166831	168088	169346	169346	170603	171861	173118	174375	174375	175633	176890	178147	179405	179405	180662	181919	183177	184434	184434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	133229	133229	133229	133229	132787	131787	131787	131787	131787	131254	131254	131254	131254	131254	131254	131254	131254	131254	131254	131254	131254	131716	131716	131716	131716	57567	57567	57567	57567	57567	57567	57567	57567	57567	57104	57104	57104	57104
Tài sản dài hạn khác###Other long term assets	32991	25423	23205	23205	20617	21843	23526	26822	26822	26594	29462	29658	32605	32600	44022	42919	30134	46206	46206	47586	47180	51459	45190	43731	40822	0	39688	39688	37316	35981	42646	42646	39644	38288	50851	52511	60903	47001
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1032463	1053376	1059071	1059935	1088696	1127643	1077256	1100604	1102334	1125912	1222150	1129568	1169956	1171092	1235536	1234668	1196516	1199375	1199375	1268661	1261406	1278645	1283467	1250364	1270796	1209743	1254330	1254330	1241998	1248131	1281863	1281863	1220411	1193534	1232804	1083427	1024613	938413
Nợ phải trả ###Liabilities	643356	676733	672696	671752	652172	677223	714221	720686	690533	698031	779430	767957	796050	798238	864679	856680	875458	867761	867761	944446	937480	981401	988319	959100	981556	954131	1000995	1000995	999498	986433	1021520	1021520	1005224	963634	1004447	873598	796893	740791
Nợ ngắn hạn###Short term Liabilities	565751	606118	612296	611193	585858	617095	643397	661997	631844	643435	734284	725711	756563	758751	816861	818410	822631	813349	813349	882911	890778	926218	939394	917118	942733	907198	889340	889340	826182	813618	850846	850846	817254	776019	817766	675576	590042	552868
Nợ dài hạn###Long term Liabilities	77606	70615	60400	60558	66315	60128	70824	58689	58689	54597	45146	42246	39487	39487	47818	38270	52827	54412	54412	61535	46701	55184	48926	41982	38824	46933	111655	111655	173316	172816	170673	170673	187970	187615	186681	198321	206851	187922
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	389107	376643	386375	388183	436524	450420	363035	379918	411801	427881	442720	361611	373906	372854	370857	377987	321058	331614	331614	324215	323926	297244	295148	291264	289239	255613	253335	253335	242500	261698	260343	260343	215186	229900	228357	209830	227720	197623
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522
Vốn chủ sở hữu ###Owners equity	388584	376121	385853	387661	436002	449897	362512	379396	411279	427359	442198	361089	373384	372332	370335	377465	320536	331091	331091	323693	323404	296722	294625	290742	288717	255090	252813	252813	241978	261175	259821	259821	214664	229378	227835	209307	227198	197100
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q2 2013	Q1 2013	 2012	Q1 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	168432	214046	904973	256424	230298	217008	201243	898090	259604	214635	212172	211713	860069	285589	232856	199607	187466	927121	281631	239827	200431	205305	964115	233318	212553	213173	952590	241455	195612	216716	933276	225737	249059	935836	213776	882830	865372	0
Các khoản giảm trừ doanh thu###Deduction revenues	209	1	246	18	146	81	1	56	41	2	8	6	54	0	0	54	0	32	0	18	0	14	100	0	8	61	316	34	2	275	1708	0	141	23	4	16	0	0
Doanh thu thuần###Net Sales	168223	214045	904728	256406	230152	216927	201243	898033	259563	214633	212164	211708	860015	285589	232856	199553	187466	927088	281631	239809	200431	205291	964015	233318	212545	213112	952274	241420	195611	216441	931568	225737	248919	935813	213773	882814	0	0
Giá vốn hàng bán###Cost of goods sold	169246	192324	839461	233829	212852	206481	185986	836132	240199	197592	203578	192428	778190	235576	201407	186420	164910	800468	236806	204175	190705	168762	822810	197939	180661	180531	831693	210318	175921	187618	814686	194992	224459	827542	187425	785767	0	0
Lợi nhuận gộp###Gross profit	-1023	21721	65266	22577	17300	10446	15257	61901	19364	17041	8586	19280	81826	50013	31448	13133	22556	126620	44825	35634	9726	36528	141205	35379	31884	32581	120580	31103	19690	28823	116882	30745	24459	108271	26347	97047	0	0
Doanh thu hoạt động tài chính###Financial activities Revenues	87125	-50	158033	1298	38	156473	44	144462	35	550	143310	181	109676	732	27	108763	155	81015	183	93	80713	25	51972	890	50473	170	11479	262	10790	21	45105	124	34	35765	105	27196	0	0
Chi phí tài chính###Financial Expenses	10090	8500	37263	9528	8283	10422	8976	37614	10492	8020	10058	8741	38604	10048	9482	10299	8775	41026	11735	8688	10637	9966	41937	10167	9606	11155	47713	11472	12189	11553	50263	14306	11950	59228	14128	73718	0	0
Chi phí bán hàng###Selling Expenses	1766	1425	3934	1241	816	1051	826	3524	784	890	928	932	5415	1469	1523	1296	1148	5152	2073	1357	934	784	2357	511	578	504	3152	795	736	733	2828	728	499	2371	497	4074	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	19612	21411	95523	22453	22086	27312	22326	95496	24712	23445	25175	22066	102833	25484	27310	26441	23730	98700	27369	25504	23041	22764	85854	22740	20563	18194	64927	16746	15118	14742	60870	15003	10841	56870	11271	40091	0	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	54634	-9665	86579	-9347	-13847	128135	-16827	69729	-16588	-14763	115735	-12278	44651	13744	-6841	83860	-10942	62757	3832	178	55826	3039	63029	2851	51610	2898	16267	2352	2437	1816	48026	833	1204	25567	557	6360	0	0
Thu nhập khác###Other incomes	75	93	908	359	218	300	29	3693	3103	156	52	24	46819	276	693	353	498	2040	1609	176	176	7	2370	1283	4	65	3038	2107	23	49	8337	5303	1408	940	241	809	0	0
Chi phí khác###Other Expenses	192	161	596	72	267	145	86	475	2491	232	120	42	15969	41	982	126	111	3330	87	66	494	425	3247	1538	64	44	2615	1287	38	106	7718	4902	555	1758	285	133	0	0
Lợi nhuận khác###Other profits	-117	-67	312	287	-49	155	-57	3218	612	-77	-68	-18	30849	234	-289	227	387	-1289	1521	111	-319	-418	-877	-255	-60	22	423	820	-15	-57	620	401	853	-819	-44	676	831	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	54516	-9732	86891	-9061	-13896	128290	-16883	72948	-15976	-14840	115667	-12295	75500	13979	-7130	84087	-10556	61468	5353	288	55507	2620	62152	2596	51550	2920	16690	3172	2422	1759	48645	1234	2057	24749	513	7037	0	38131
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	8	0	0	0	0	6050	5996	0	0	0	2679	2679	0	-524	524	2771	571	355	642	1674	698	-405	405	1020	308	514	0	134	0	0	3718
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	8	0	0	0	0	6050	5996	0	0	0	2679	2679	0	-524	524	2771	571	355	642	1674	698	0	0	1020	308	514	0	134	0	0	3718
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-405	405	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	54516	-9732	86891	-9061	-13896	128290	-16883	72940	-15976	-14840	115667	-12295	69450	7983	-7130	84087	-10556	58789	2674	288	56031	2096	59381	2025	51195	2278	15015	2474	2826	1354	47625	925	1543	24749	379	7037	0	34413
---Cac Chi So Tai Chinh---																																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	24.00	17.50	25.90	25.90	18.32	18.87	20.06	21.70	21.70	17.79	22.00	19.28	14.02	14.02	16.65	15.99	13.80	15.82	15.82	14.22	13.59	13.59	11.26	8.77	6.35	5.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
