CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	158938	163837	67019	67019	64749	127734	161423	103326	103326	230724	329958	239240	220059	222329	254823	268210	207473	105101	105101	97395	105504	151402	109163	98007	73731	101432	147568	96972	96970	93194	134700	164674	116816	116816	86572	122188	152000	133204	133246	98325	112270	179391	137121	133046	127292	128159	124213	91164	91164	68790	78681	78681	70292	70292
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1607	3310	2038	2038	12611	29041	12406	7325	7325	12081	13727	5004	16820	16820	4162	17349	21795	561	561	43154	56230	20871	57794	57794	152	144	702	13120	13120	214	15628	23486	28396	28396	11785	4357	3126	5056	5056	3044	2380	18984	53366	53366	78780	71085	2697	43326	43326	36247	33663	33663	20624	20624
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3170	3170	3200	3250	3250	3350	3350	6450	6450	4450	4450	4450	4450	1950	1950	1950	1950	1950	2950	3200	1000	1000	5000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	109473	51749	24860	24860	36552	85131	61825	63636	63636	199489	304096	161312	186574	186574	241593	146820	161579	80350	80350	47825	43999	74609	41812	30847	61006	90218	32476	22921	22919	28312	28275	20362	26572	26572	44758	56654	44982	37030	37099	45092	41002	74745	21678	21678	38091	18175	13517	10786	10786	19433	15617	15617	13982	13982
Hàng tồn kho###Inventory	47821	108740	35990	35990	13700	11915	81658	21407	21407	13787	10764	61533	7520	10584	7005	102431	22552	23115	23115	5191	5197	55821	9506	9208	10232	10902	114222	57565	57565	57887	84955	115798	58426	58426	17630	48365	92766	74389	74389	42841	64656	81676	53786	53786	6375	34267	104316	35763	35763	5201	29226	29226	35516	35516
Tài sản ngắn hạn khác###Other Current Assets	38	38	4131	4131	1887	1647	5534	10959	10959	5367	1371	11391	9145	8351	2063	1610	1546	1075	1075	1225	77	102	51	158	2340	168	168	196	196	3581	2592	1778	72	72	5949	6363	6677	12278	12252	2898	2283	2036	6341	2266	2096	1682	483	289	289	2910	175	175	170	170
Tài sản dài hạn###Non-current Assets	239979	239975	249940	249940	253233	249610	247707	238754	238754	222751	181242	166291	169998	167670	60602	57412	56697	62626	62626	47163	41569	40026	45008	55199	66477	63053	57321	42830	42830	43538	38974	38519	47507	47507	53442	46953	45498	49031	49031	43693	36010	34691	39346	43421	21933	15637	15004	18688	18688	17979	18726	18726	24669	24669
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10190	19630	19209	14452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	237691	237691	44780	44780	46141	47506	47506	49945	49945	50004	52664	53593	52587	49444	52823	52823	52556	52702	52702	42359	40587	39356	41308	41308	42926	42926	34684	37266	36588	36883	36883	36768	39864	39864	50749	44309	44655	48560	48625	42858	35225	33897	38614	38614	21191	15117	14638	13591	16677	17923	15469	15469	20763	20763
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-139001	-139001	-130279	-130279	-128920	-127557	-127557	-124840	-124840	-123161	-132964	-132253	-118128	-131062	-127966	-127966	-126514	-123017	-123017	-128046	-128046	-129276	-127167	-127167	-125559	-125559	-124874	-123008	-123008	-122434	-122434	-122434	-123246	-123246	-118530	-118530	-119003	-114947	-114947	-114022	-114022	-113562	-108464	-108464	-106908	-106908	-106908	-104380	-104380	-102638	-101342	-101342	-95581	-95581
