CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	434582	514253	505161	504958	513603	503002	496165	498132	507110	642967	621364	654842	639730	639933	636252	645539	620594	557404	557404	646941	615596	275833	250446	250446	246662	248586	247237	227396	227396	195868	195868
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10177	4971	4008	4008	7149	5474	4019	3657	3657	5370	4027	5735	3626	3626	5083	9831	23872	24709	24709	7225	21270	8746	7559	7559	4720	2913	7794	5058	5058	508	508
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	15134	40183	40183	61861	60841	60317	59555	59555	59734	58818	57233	57233	58322	38400	16248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	175583	228485	185828	185828	145107	132061	124373	133056	142034	286098	273245	306009	309957	309069	359089	367538	350878	336806	336806	431462	388086	63619	52673	52673	44983	58810	47783	47294	45788	62094	62094
Hàng tồn kho###Inventory	247633	263746	271995	271792	293134	296467	297326	290337	290337	290640	283970	283937	266504	266504	232339	247506	239903	191958	191958	206271	203801	201325	188060	188060	194691	183726	183897	169636	169636	128866	128866
Tài sản ngắn hạn khác###Other Current Assets	1188	1918	3148	3148	6352	8159	10130	11528	11528	1124	1305	1929	2411	2411	1341	4417	5942	3930	3930	1983	2439	2143	2154	2154	2269	3136	7763	5408	6914	4401	4401
Tài sản dài hạn###Non-current Assets	349785	356942	399827	400130	405405	411555	417426	425287	416309	292993	291193	291852	298083	297880	243432	267926	272088	278806	278806	177847	176453	181815	186542	186542	192129	193129	194648	194352	194352	92986	92986
Các khoản phải thu dài hạn###Long term Account Receivable	0	5244	41349	41349	41478	42421	42541	45045	36067	36183	36578	36578	36578	36578	36578	36740	36763	36871	36871	929	886	886	886	886	886	449	0	449	0	0	0
Tài sản cố định ###Fixed assets	281701	281497	288064	184788	189514	194473	199784	204581	204581	209591	214711	220564	225509	225509	170777	174989	179385	186050	186050	164404	167640	172442	177670	177670	177813	180129	178094	162087	162087	87808	82945
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-148893	-142885	-136952	-136649	-131581	-130530	-128105	-135458	-135458	-131219	-124800	-119988	-115195	-115195	-110307	-104807	-99694	-92686	-92686	-86381	-82267	-77261	-72261	-72261	-67333	-62380	-58532	-54023	-54023	-39350	-39350
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-1828	-1708	-1588	-1467	-1467	-2284	-4218	-3834	-3450	-3450	-3065	-3224	-3081	-3772	-3772	-3760	-3263	-2767	-2270	-2270	-1802	-1419	-1093	-766	-766	-539	-539
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-11241	-10607	-9973	-9973	-9339	-8705	-8071	-7437	-7437	-6781	-6125	-5469	-4813	-4813	-4460	-4107	-3755	-3402	-3402	-3049	-2696	-2344	-1991	-1991	-1638	-1285	-932	-580	-580	-390	-390
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	500	500	500	500	500	300	312	306	306	316	310	206	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	905	749	963	963	1382	1831	2259	2826	2826	3262	3959	4498	4933	4933	5216	5501	5570	5935	5935	6173	7145	7145	7130	7130	8915	8044	5019	3611	4059	5179	5179
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	784366	871195	904989	905089	919008	914557	913590	923419	923419	935959	912557	946694	937813	937813	879683	913465	892682	836209	836209	824788	792049	457648	436988	436988	438792	441715	441886	421747	421747	288855	288855
Nợ phải trả ###Liabilities	240680	316649	341215	341798	352873	349577	351266	365469	365469	381150	360754	397246	392850	392850	339826	384355	366664	311395	311395	300976	278821	277145	259199	259199	261398	265477	272334	256419	256419	245975	245975
Nợ ngắn hạn###Short term Liabilities	239923	316119	340685	341268	352188	349308	351040	364407	364415	379666	354720	386242	380915	372841	316315	360183	339104	282116	282116	268946	247308	239181	220458	220458	222182	228237	233878	221476	221476	217045	217045
Nợ dài hạn###Long term Liabilities	758	530	530	530	685	269	226	1062	1053	1484	6034	11003	11935	20009	23511	24172	27560	29279	29279	32030	31512	37964	38741	38741	39215	37239	38457	34943	34943	28931	28931
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
