CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	765826	718639	742525	757455	729819	727898	651378	670786	674552	659124	631920	596512	621452	621452	626847	588732	556160	611979	611936	556269	610656	574463	667135	667135	540978	495800	481540	512479	512136	467707	497763	440795	481046	479171	426156	405526	339531	341253	346230	281002	294660	316947	315205	321338	268870	241637	204667	225032	236632	200816	181641	167461	154951	153081	166604	148276	133623	119963	119646	143121	136148	84433
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	23666	13824	10250	10250	7920	5172	3515	11801	11801	5219	9337	10949	18088	18088	16885	34865	23496	30979	30979	75196	48433	22091	47787	47787	38318	23812	57709	81282	81282	28908	12415	23321	41487	41487	2638	11372	11436	24505	9505	1509	10510	1972	5578	5578	3219	10874	218	3615	3647	9718	8996	11386	8470	8470	12377	13435	7128	8025	7560	9992	9992	3003
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16114	16114	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	178602	190675	222074	235954	257152	231719	246016	291724	295198	272910	250171	216165	281376	281376	303742	231980	228048	267339	267297	189326	257167	254011	316961	316885	256755	282771	214706	219492	212968	248396	284308	205745	236184	234865	195572	188243	145945	192481	195511	159532	153698	178364	185603	189105	176512	149054	122765	136362	140533	144214	126020	118415	113661	113066	124709	98713	93486	73987	74986	59246	52323	39598
Hàng tồn kho###Inventory	557667	506729	509516	510566	461251	487546	397589	363239	363531	380144	372005	368263	321014	321014	305685	321628	304109	313454	313454	291287	304544	297773	301669	301669	245577	188888	202282	211664	211737	184935	195093	206144	198350	197794	217619	196618	168021	116691	119674	111160	118786	122120	114160	118363	79512	71920	74290	78906	80430	36512	40094	28703	28930	28526	22800	28460	27055	36597	35747	56547	56498	40799
Tài sản ngắn hạn khác###Other Current Assets	5891	7411	685	685	3496	3462	4258	4022	4022	852	407	1135	973	973	534	259	506	206	206	460	511	589	718	794	329	329	6844	41	6149	5468	5947	5586	5024	5024	10327	9293	11968	7577	6541	8801	11666	14492	9865	8292	9627	9789	7393	6149	12021	10372	6531	8956	3889	3019	6717	7668	5954	1353	1353	1222	1222	1034
Tài sản dài hạn###Non-current Assets	127401	128018	134996	134996	122414	121452	124447	129532	129433	136501	134461	139160	146047	146047	152556	157403	164791	173020	172674	171435	169430	169314	174408	174455	161032	140469	145813	155375	155387	122804	125768	130880	139870	139859	141533	137114	127201	128715	127512	121563	117553	134886	133188	133043	130701	124828	106836	106223	104074	87538	85315	86588	87637	86961	85527	76589	73372	73259	73259	65347	65889	47851
Các khoản phải thu dài hạn###Long term Account Receivable	1560	1560	1788	1788	1786	2515	2382	2082	2082	2395	2395	2395	2395	2395	2393	2524	2599	2599	2599	2750	2781	3228	3448	3448	3442	3537	0	3692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	75	75	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	104077	108821	113570	113570	100937	104326	106515	111310	111310	116059	120794	125216	130504	130504	135270	140784	141920	147642	147296	132653	137551	139401	143834	143881	124954	113818	116467	118657	118657	87013	86796	89544	92765	92754	93830	90837	90547	90904	91051	84562	85093	107193	98053	106431	110358	106326	75736	71516	91068	80991	78732	80118	81060	82440	80991	72066	68842	68669	68669	61322	61747	46645
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-188078	-183969	-178132	-178132	-173945	-158354	-154452	-152703	-152713	-148680	-148114	-145958	-141573	-141573	-137121	-132246	-126062	-121544	-121890	-116269	-111840	-104528	-98954	-98954	-95625	-91518	-86127	-84832	-84832	-81698	-79255	-76805	-74364	-74376	-71403	-69103	-72577	-69979	-69979	-67441	-64823	-65318	-63986	-63986	-61118	-58483	-55243	-54327	-54327	-52224	-54235	0	-49923	0	0	0	0	-43497	0	0	-37174	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-1405	-796	-2198	-2198	-1971	-13022	-12292	-11564	-11554	-12388	-11557	-10727	-9896	-9896	-9065	-9194	-9811	-8790	-8790	-10482	-9863	-11896	-12126	-12126	-10571	-10092	-10954	-10047	-10047	-9106	-8018	-6931	-5844	-5844	-5301	-4180	-3362	-2633	-2633	-2203	-1838	-1473	-1108	-1108	-744	-421	-250	-177	-177	-115	-79	0	-8	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1173	-1101	-1029	-1029	-956	-884	-811	-739	-739	-667	-594	-522	-449	-449	-377	-304	-232	-160	-160	-97	-53	-40	-27	-27	-14	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-349	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	650	650	650	650	650	650	650	650	650	648	205	0	0	0	0	0	0	0	0	5500	5500	5500	8000	8000	7611	7611	11700	19700	19700	19700	19700	19700	21506	21506	21506	21506	21506	21506	22000	22000	16500	4800	4800	4800	4800	4800	16500	4800	4800	4850	4850	4330	4130	4080	4080	4080	4080	3480	3480	2520	2520	0
Tài sản dài hạn khác###Other long term assets	21114	16988	18989	18989	19041	13960	14899	15490	15391	17399	11067	11549	13147	13147	14338	13541	16181	18854	18854	19034	17280	19396	19126	19126	16286	15503	17646	13325	17029	16090	19273	21636	25598	25598	26196	24770	15148	14847	14462	15001	15959	22893	21957	21487	15543	13627	14526	10355	8131	1696	1733	2140	2446	441	456	443	451	1111	1111	1505	1622	1205
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	893226	846657	877521	892451	852233	849350	775824	800318	803984	795625	766382	735673	767498	767498	779403	746135	720951	784999	784610	727704	780085	743778	841543	841590	702011	636270	627353	667855	667522	590511	623531	571675	620916	619030	567689	542639	466732	469968	473742	402565	412213	451833	448394	454382	399571	366465	311503	331256	340707	288353	266956	254048	242587	240043	252130	224865	206996	193222	192905	208468	202038	132284
Nợ phải trả ###Liabilities	739244	692961	724066	738168	698883	697073	623196	648173	648686	642548	614810	584540	617563	613661	626705	596163	566522	633254	633226	588434	644186	599264	700287	700297	566291	504469	492162	535796	535509	461774	498494	444499	496776	494371	443689	422740	344332	351184	355526	285070	299672	323918	323743	329726	275018	246608	200599	211629	216859	177298	162304	147070	138703	137862	149865	126357	107924	96784	96661	114438	108059	108072
Nợ ngắn hạn###Short term Liabilities	729938	682692	712773	726875	696062	694129	619997	644259	644772	636192	605923	572011	602313	598412	607026	572422	537025	598818	598790	553831	606409	558789	658402	658412	533921	475973	459239	504325	503994	441195	482752	428365	480641	475559	419223	402842	330691	338094	338831	269795	281650	305886	305671	303389	247851	222260	183991	196538	198317	161075	144739	129503	119805	117985	131182	113302	95175	85864	85741	103239	96859	99411
Nợ dài hạn###Long term Liabilities	9306	10268	11293	11293	2821	2944	3199	3914	3914	6356	8887	12529	15249	15249	19680	23741	29498	34436	34436	34603	37777	40475	41885	41885	32370	28495	32923	31470	31514	20578	15742	16134	16134	18812	24466	19898	13641	13091	16695	15275	18022	18032	18072	26337	27167	24348	16608	15091	18541	16222	17566	17567	18898	19877	18684	13054	12749	10920	10920	11199	11199	8661
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	153983	153697	153455	154283	153350	152277	152629	152145	155299	153077	151572	151133	149936	153837	152698	149972	154429	151745	151384	139269	135900	144514	141256	141293	135719	131801	135191	132059	132014	128737	125037	127176	124140	124659	124000	119899	122400	118784	118216	117495	112540	115549	124650	112584	113212	108890	110904	119627	113077	108381	104652	106979	103884	102180	102265	98509	99071	96439	96245	94030	93979	24212
