CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	1772708	2244568	2469588	2470648	2559839	2782730	2871149	2645724	2644034	2696781	2551676	2613842	2493425	2491794	2630732	2518449	2360642	2509674	2504628	2459117	2525363	2455631	2471950	2472046	2159908	2287428	2388349	2426127	2425860	2092682	2254280	2100542	2594424	2594424	2485876	2296487	2163326	2524447	2519768	2092607	1856996	1796718	1969425	1963895	1799564	1550400	1550400	1885756	1885756	1822796	1822796
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	101873	32855	62393	62393	91080	161784	76789	74650	74650	128633	173174	243993	255279	255279	310372	339986	355891	207672	207672	301896	410398	336171	397368	397368	200146	264139	311148	139638	139638	259923	509283	398763	456965	206740	559687	414000	328362	240176	240184	211148	292465	400893	285262	285262	364042	331591	331591	490020	490020	299171	299171
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	964821	1366774	1582719	1583779	1376320	1708602	1648555	1750307	1753149	1487513	1649926	1785796	1614638	1614638	1331182	1408562	1160484	1180284	1177768	717707	993390	950723	917776	917111	594396	989825	932406	865094	865094	448795	843314	513059	246461	250162	578925	617819	527576	264283	264283	257110	535500	715429	370724	370724	316994	371788	371788	124058	124058	162914	162914
Hàng tồn kho###Inventory	701154	841036	818659	818659	1083573	903507	1133628	802170	798879	1075394	722180	575956	617601	617601	985985	766083	836850	1117252	1117252	1437348	1119158	1154895	1153601	1153601	1347567	985897	1078443	1356039	1355772	1317384	880893	1164383	1832910	1832910	1326911	1252838	1301482	1983508	1978821	1553808	996855	674633	1282514	1276985	1093756	816026	816026	1243670	1243670	1338233	1338233
Tài sản ngắn hạn khác###Other Current Assets	4860	3903	5817	5817	8866	8837	12177	18597	17355	5241	6397	8097	5907	4277	3193	3819	7418	4466	1936	2167	2417	13842	3205	3966	17799	47568	66352	65356	65356	66579	20791	24336	58088	54387	20353	11832	5907	36480	36480	70540	32176	5764	30925	30925	24772	30995	30995	28009	28009	22479	22479
Tài sản dài hạn###Non-current Assets	344875	348450	357050	356435	342883	341299	344275	342891	342891	345126	359910	344723	315935	315684	278010	213455	212339	225310	227840	253504	248179	225457	229624	229624	229522	226971	220707	224055	224055	244312	207792	186981	188478	189219	219206	212487	220661	233676	233676	245081	244251	225125	259458	259458	239307	311507	311507	322368	322368	364057	364057
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	286865	293459	306631	306016	286287	297537	309175	305629	305629	224908	152230	159793	171235	169354	146267	162316	178494	193750	193750	183785	189521	182662	191584	191584	160728	172324	176603	207529	192146	133766	141908	140098	173294	174035	206665	199684	206825	150845	219612	231797	232010	213158	203038	247726	226401	243347	296245	304595	304595	339065	339065
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1321861	-1309501	-1294415	-1295030	-1282204	-1268530	-1262428	-1248228	-1248228	-1225220	-1208544	-1206399	-1195315	-1197195	-1184403	-1167934	-1152207	-1134160	-1134160	-1113975	-1095021	-1074368	-1054671	-1054671	-1039685	-1018879	-997305	-975706	-975706	-936475	-916181	-902408	-882581	-894676	-875126	-852379	-829807	-807676	-807676	-787343	-766823	-768572	-727646	-727646	0	-628757	-628757	-516766	-516766	-427848	-427848
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5703	-5665	-5626	-5626	-5588	-5550	-5512	-5474	-5474	-5435	-5397	-5377	-5377	-5377	-5331	-5256	-5182	-5107	-5107	-5032	-4957	-4882	-4808	-4808	-4705	-4595	-4485	-4375	-4375	-4310	-4275	-4240	-4204	-4204	-4091	-4055	-4040	-3983	-3983	-3927	-3871	-3871	-3673	-3673	0	-3434	-3434	-3161	-3161	-1960	-1960
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	6964	7480	7480	7480	7480	7480	7480	7480	7480	7480	7480	7480	7480	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	8990	8990	8990	8990
Tài sản dài hạn khác###Other long term assets	1408	1867	1902	1902	1540	1768	2224	2410	2410	2103	2285	1418	1733	3364	3635	3622	2774	3935	6464	7425	6734	7413	8169	8169	9045	8423	7601	9047	9047	6454	6587	7627	7704	7704	5061	5322	4726	4954	4954	4174	3130	2857	2621	2621	3795	6152	6152	8784	8784	16002	16002
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2117583	2593019	2826638	2827083	2902722	3124029	3215423	2988615	2986924	3041908	2911586	2958565	2809360	2807479	2908742	2731904	2572981	2734984	2732468	2712622	2773541	2681088	2701574	2701670	2389430	2514399	2609056	2650182	2649916	2336994	2462072	2287523	2782902	2783643	2705082	2508974	2383987	2758123	2753444	2337688	2101247	2021843	2228883	2223353	2038871	1861907	1861907	2208125	2208125	2186853	2186853
Nợ phải trả ###Liabilities	890120	1350496	1588057	1588501	1652647	1875514	1940639	1717742	1710595	1712229	1601766	1611430	1493707	1493801	1558924	1409989	1246594	1452695	1450178	1420382	1508123	1322482	1366171	1305707	1033289	1181743	1049805	1154163	1153832	1057444	965257	839660	1378328	1378663	1421934	1277224	1039023	1556744	1556525	1235839	997103	1017094	1353538	1359211	1344652	1141785	1141785	1736801	1736801	1711684	1711684
Nợ ngắn hạn###Short term Liabilities	890120	1316464	1554025	1554469	1598615	1821483	1886607	1673084	1651937	1654421	1543032	1552772	1448599	1448693	1535942	1409989	1246594	1452695	1450178	1420382	1508123	1322482	1366171	1305707	1033289	1181743	1049805	1154163	1153832	1057444	965257	839660	1378328	1378663	1421934	1277224	1039023	1532025	1526677	1185991	947255	915439	1252624	1258297	1254580	1052366	1052366	1672170	1672170	1708042	1708042
Nợ dài hạn###Long term Liabilities	0	34032	34032	34032	54032	54032	54032	44658	58658	57808	58734	58658	45108	45108	22982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24719	29848	49848	49848	101655	100914	100914	90072	89419	89419	64631	64631	3641	3641
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1227463	1242523	1238581	1238582	1250075	1248514	1274784	1270873	1276329	1329679	1309820	1347135	1315653	1313678	1349818	1321915	1326386	1282290	1282290	1292240	1265418	1358607	1335403	1395963	1356141	1332656	1559251	1496019	1496083	1279551	1496815	1447863	1404574	1404979	1283148	1231750	1344964	1201379	1196918	1101849	1104144	1004749	875345	864142	694219	720122	720122	471324	471324	475170	475170
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	64	68	68	68	70	74	164	274	274	100	9	280	189	189	239	275	275	276	276	434	434
Vốn chủ sở hữu ###Owners equity	1227463	1242523	1238581	1238582	1250075	1248514	1274784	1270873	1276329	1329679	1309820	1347135	1315653	1313610	1349749	1321847	1326318	1282221	1282221	1292171	1265350	1358538	1335335	1395894	1356072	1332587	1559182	1495950	1496015	1279483	1496752	1447794	1404505	1404911	1283077	1231676	1344799	1201105	1196645	1101749	1104134	1004469	875155	863952	693980	719847	719847	471048	471048	474736	474736
