CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	24704	14934	16068	16068	22202	20279	17413	18309	18270	21931	20111	21002	19826	19826	24468	21254	18712	19113	19104	22295	16309	13707	14853	14853	21458	21445	15184	15632	15397	21008	21235	16397	18569	18643	22896	20943	18129	19509	19507	25942	18486	18272	21996	21996	23206	24701	19706	32939	13426	15591	23437	15710	9822	9822	14418	14317	9607	10206	10223	20419	14265	13236	24419	24419	22633	15875	15875	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	545	6030	1916	1916	3547	1846	1424	2550	2550	7111	638	3464	4530	4530	2108	521	1433	2074	2074	3189	1551	799	1895	1895	3703	5274	3173	2876	7876	10205	394	8633	10768	10641	11091	4815	5119	9048	5026	2999	965	11406	11303	11303	9351	8258	398	7891	3350	869	573	1062	3500	3500	1358	397	531	1878	1878	605	426	8888	19824	19824	2163	8909	8909	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	5000	5000	5040	40	8040	8040	8040	28	133	2133	9133	9133	7124	126	10126	10204	10204	8119	380	7352	7488	7488	2581	460	5561	5486	255	347	347	205	199	199	293	280	280	2287	6286	6519	465	465	465	465	293	217	14143	2588	2588	1474	359	1799	358	358	146	80	76	76	101	191	191	126	126	126	8623	45	45	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	6667	1647	1807	1807	5009	5611	1829	1812	1811	6237	4959	9535	1022	1022	7401	5456	1646	853	847	5160	3814	1110	1741	1741	8473	4584	1010	2264	2182	6592	8941	2148	2092	2230	4701	4817	7777	3996	4018	7947	9435	1750	6731	6731	9048	7740	2027	19567	4521	9440	17744	6162	2989	2989	9065	6960	5475	4779	4779	15381	9439	1738	2283	2283	7888	4848	4848	0
Hàng tồn kho###Inventory	17300	7248	7339	7339	8494	12688	6020	5906	5869	8527	14296	5766	5112	5112	7772	14987	5336	5844	5844	5776	10497	4350	3729	3729	6649	11013	5340	4948	4948	3760	11339	5124	5403	5402	6584	10808	4882	4147	4147	8082	7417	4381	3172	3172	3915	8354	3015	2737	2811	3418	4571	4955	2703	2703	3176	6420	3051	2902	2902	3609	3490	2095	1484	1484	3432	1782	1782	0
Tài sản ngắn hạn khác###Other Current Assets	192	10	6	6	110	93	100	0	0	28	86	104	30	30	62	163	170	138	135	51	67	96	0	0	52	114	100	59	137	104	214	286	105	170	226	223	71	31	31	394	204	270	325	325	599	131	123	157	157	390	190	1732	272	272	672	460	473	571	563	634	719	389	702	702	528	291	291	0
Tài sản dài hạn###Non-current Assets	5131	5270	5351	5351	5476	5600	3676	3371	3371	3395	2729	2791	2846	2846	2923	2800	2840	2892	2892	3022	7028	7013	7143	7143	6969	6977	7071	7138	7365	3751	3811	3703	3763	3695	3842	2710	2186	2223	2245	2310	2336	2386	2476	2475	2473	2467	2539	2606	10301	17031	9859	9976	10056	10056	11220	11225	11281	11221	11219	11066	8242	6130	3004	3004	1173	1198	1198	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3832	3894	3943	3943	4015	4086	2295	1991	1991	2041	1437	1470	1504	1504	1537	1570	1604	1637	1637	1673	1709	1745	1781	1781	1817	1853	1892	1932	1932	1973	2013	2054	2094	2100	2147	1038	539	564	564	602	640	680	704	704	747	790	805	847	847	15354	937	2212	2257	2257	2358	2348	2393	2357	2247	2241	1979	2014	681	681	717	796	796	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1875	-1813	-1764	-1764	-1692	-1621	-1944	-2178	-2178	-2129	-2090	-2057	-2023	-2023	-1990	-1957	-1923	-1890	-1890	-1936	-1900	-1864	-1828	-1828	-1792	-1756	-1717	-1677	-1677	-1636	-1596	-1555	-1515	-1509	-1462	-1668	-1644	-1620	-1620	-1582	-1544	-1504	-1463	-1463	-1431	-1389	-1346	-1304	-1304	-3778	-1214	-1191	-1153	-1153	0	0	0	-999	0	0	-910	-873	-837	0	-802	-693	0	0
