CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	4489870	4615817	3943310	3943310	4823604	4302838	4028263	3749722	3749722	3174151	2780196	2041879	1889948	1889948	2052957	1937430	1843419	1875454	1875454	1567131	1501427	1517203	1487852	1527253	1578029	1674983	1612173	1766876	1805200	1144605	1144605	814264	18210	3676
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	30065	17109	40050	40050	65638	37915	36486	586333	586333	380585	417038	102714	75344	75344	57255	89955	55914	113235	113235	100309	23772	18453	22027	22027	26674	27836	19333	29740	29740	2895	2895	18123	8632	1182
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2505174	2445105	1833964	1833964	2333825	1992446	1750519	1150233	1150233	1340300	794451	846442	742070	742070	732796	647669	543970	672209	672209	315285	311496	271847	211080	211093	208126	259323	155873	301007	318569	347171	347171	13602	6190	1501
Hàng tồn kho###Inventory	1660436	1809319	1735305	1735305	2128628	1982671	1978617	1748125	1748125	1296465	1499574	1069349	1052180	1052180	1241817	1182809	1226636	1080300	1080300	1135875	1150194	1210349	1238372	1277761	1328048	1373562	1400454	1420850	1420850	791091	791091	782342	0	0
Tài sản ngắn hạn khác###Other Current Assets	294196	344284	333991	333991	295513	289807	262642	265031	265031	156801	69134	23374	20354	20354	21089	16997	16899	9709	9709	15663	15965	16554	16372	16372	15182	14261	16512	15280	36042	3449	3449	197	3388	992
Tài sản dài hạn###Non-current Assets	1327334	1299172	1905182	1905182	1024208	1038881	1105727	1119388	1119388	1301505	1481606	1869962	1755575	1755575	1392211	1108738	1060452	930082	930082	880123	851546	831357	787396	787396	638440	538231	460384	352745	314421	130067	130067	5831	243260	152379
Các khoản phải thu dài hạn###Long term Account Receivable	775247	775247	1385864	1385864	257584	418425	444203	444381	444381	201436	223968	207386	145965	145965	142227	83435	55502	54517	54517	53489	52379	46731	43825	43825	20680	20522	0	38324	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	5354	5752	6156	6156	6018	6337	144666	145021	145021	148435	194052	197600	190179	190179	192443	193537	186361	141310	141310	112991	115176	116886	118691	118691	110979	111430	57996	54824	54824	1132	1132	1387	1434	931
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4342	-4047	-3747	-3747	-4018	-3779	-18349	-16726	-16726	-17316	-58520	-55410	-53913	-53913	-52157	-49834	-47383	-44846	-44846	-42864	-40866	-38873	-36879	-36879	-34830	-32858	-31207	-29913	-29913	-1857	-1857	-1692	-229	-21
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-639	-536	-432	-432	-352	-292	-6490	-5804	-5804	-5141	-8528	-7661	-6980	-6980	-6171	-5429	-4655	-4075	-4075	-3883	-3695	-3510	-3327	-3327	-3149	-2962	-2837	-2739	-2739	-27	-27	-20	0	0
Lợi thế thương mại	53609	55637	57666	57666	234698	242195	249692	257190	257190	269685	312949	324136	331678	331678	341042	126183	130079	51967	51967	53834	55701	57569	59440	59440	61372	63245	65042	66909	66909	0	74378	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254396	2436	2436	2436	0	2436	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38390	38390	38390	38390	38390	38390	43890	43890	43890	43890	43890	97789	43890	89343	50952	50952	0	0	0
Tài sản dài hạn khác###Other long term assets	205557	178292	174086	174086	338932	345820	366614	379341	379341	374331	429893	436386	413335	413335	414551	193218	188175	99329	99329	96690	88672	32176	89034	29594	24705	15691	20727	83109	16200	3605	3605	4444	12662	634
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5817204	5914988	5848491	5848491	5847813	5341720	5133990	4869110	4869110	4475656	4261803	3911841	3645523	3645523	3445168	3046167	2903872	2805536	2805536	2447254	2352973	2348560	2275248	2314649	2216470	2213214	2072557	2119622	2119622	1274672	1274672	820095	261470	156054
Nợ phải trả ###Liabilities	2723005	2790586	2725465	2725465	2973306	2617330	2484783	2298877	2298877	2231565	2264341	1923347	1641515	1641515	1538109	1731278	1662572	1625336	1625336	1351526	1260802	1306749	1248885	1312533	1266174	1229429	1201475	1218880	1218880	1039372	1039372	756931	214788	105937
Nợ ngắn hạn###Short term Liabilities	2637798	2622554	2556873	2556873	2790088	2433945	2266742	1624378	1624378	1566080	1410335	1085287	783734	783734	553291	793628	696738	664160	664160	394744	367980	217156	256389	248150	266039	223203	1011583	81861	990756	1039272	1039272	756891	153609	105937
Nợ dài hạn###Long term Liabilities	85207	168032	168592	168592	183218	183384	218041	674498	674498	665486	854007	838060	857781	857781	984818	937650	965835	961176	961176	956782	892822	1089593	992496	1064383	1000135	1006226	189892	1137019	228124	100	100	40	61179	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3094200	3124402	3123026	3123026	2874506	2724390	2649207	2570233	2570233	2244091	1997461	1988494	2004008	2004008	1907059	1314889	1241299	1180200	1180200	1095728	1092171	1041811	1026363	1002117	950296	983785	871082	900742	900742	235224	235300	63164	46682	50117
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3094200	3124402	3123026	3123026	2874506	2724390	2649207	2570233	2570233	2244091	1997461	1988494	2004008	2004008	1907059	1314889	1241299	1180200	1180200	1095728	1092171	1041811	1026363	1002117	950296	983785	871082	900742	900742	235224	235300	63164	46682	50117
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q2 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	429835	111971	790119	106911	325576	42830	314802	1975301	1233608	448215	194649	98829	722019	241556	112236	212808	155418	585434	203827	132167	100321	149119	524163	162612	126558	187154	47839	89119	31116	18572	50014	88961	0	620
Các khoản giảm trừ doanh thu###Deduction revenues	36809	45879	5540	1034	1526	1653	1327	256352	119893	6352	114991	15116	58701	14685	10345	15195	18476	88874	2118	82720	3293	743	4300	0	2966	1333	1	2	2	0	0	0	0	0
Doanh thu thuần###Net Sales	393026	66093	784580	105877	324050	41177	313475	1718949	1113716	441864	79657	83713	663317	226871	101891	197613	136942	496560	201709	49446	97028	148377	519862	162611	123592	185821	47838	89116	31114	18572	50014	88961	0	620
Giá vốn hàng bán###Cost of goods sold	297573	30020	357952	94053	102458	30111	131329	855904	654079	131489	24945	45391	229636	64100	56196	64112	45227	201315	64570	57647	761	78337	221322	59800	52083	100680	24703	59000	23021	12101	33917	53493	0	0
Lợi nhuận gộp###Gross profit	95453	36073	426628	11824	221592	11066	182146	863045	459637	310375	54712	38322	433681	162771	45695	133500	91715	295246	137139	-8200	96267	70040	298540	102811	71508	85141	23135	30116	8093	6471	16096	35467	0	620
Doanh thu hoạt động tài chính###Financial activities Revenues	30	31	501945	348968	532	150130	2314	59939	6300	52613	949	77	47034	388	46359	232	55	241	123	54	27	37	798	51	146	292	309	56	10	-213	426	516	99	79
Chi phí tài chính###Financial Expenses	4239	4221	5645	3995	1223	352	74	328	78	84	81	85	238	83	84	41	30	1565	809	709	21	26	164	62	38	45	20	54	37	3	0	0	0	0
Chi phí bán hàng###Selling Expenses	70678	6995	42201	14927	7702	14366	5205	55706	23817	14463	10316	7111	42782	16128	10332	11018	5303	20016	3849	4351	4174	7642	31492	10760	7564	11339	1829	4855	1199	194	3009	10798	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	19614	23177	109964	30443	25169	27714	26638	101278	31796	18418	27886	23177	78999	27239	17966	17642	16152	56581	16694	14605	12394	12888	41437	13918	11641	9309	6570	24574	9810	3766	3789	4293	3536	543
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	951	1711	770763	311428	188030	118763	152543	765673	410245	330023	17378	8027	358696	119708	63672	105031	70285	217324	115910	-27811	79705	49520	226200	78078	52412	64742	15025	689	-2943	2344	9724	20892	-3436	156
Thu nhập khác###Other incomes	1535	969	6066	2011	1787	1318	951	4633	862	872	1877	1023	6055	4378	612	780	285	1685	689	528	220	249	1005	315	258	411	22	39027	638	2	252	311	2	0
Chi phí khác###Other Expenses	388	273	23626	3546	134	19716	231	2342	111	479	1461	290	4610	820	255	3146	389	7386	2520	291	4555	20	131	48	79	3	1	145	10	5	168	270	0	0
Lợi nhuận khác###Other profits	1146	697	-17560	-1535	1653	-18398	720	2291	751	392	416	733	1445	3558	357	-2366	-104	-5701	-1831	237	-4335	229	874	266	179	407	21	38882	628	-4	84	41	1	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2098	2408	753203	309892	189683	100365	153263	767964	410996	330415	17793	8759	360141	123266	64028	102665	70181	211623	114078	-27575	75370	49749	227074	78344	52591	65149	15046	39571	-2315	2341	9808	20934	-3435	156
Chi phí thuế TNDN###Corporate Income Tax Expenses	1095	1032	149919	54534	39566	23428	32391	163804	84853	69477	6083	3391	76745	26596	13684	21669	14796	45349	23893	-6886	18286	10055	52145	17900	12152	14793	3792	2043	0	934	2580	4452	0	39
