CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	957160	989807	890590	887065	723439	689042	732012	873841	874893	811831	890291	817453	744968	765730	509534	212768	177203	157818	80763	105129	52122	125656	128243	118586	166484	178403
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4728	2839	18367	17579	5645	1995	7918	6805	7317	12551	34314	19882	57391	57391	10236	21259	25383	4643	4643	5265	3233	3088	24630	15356	49970	54925
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99350	22000	72490	22000	22000	22000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	798852	809628	685747	704190	595816	570072	610193	607726	602273	618093	707529	718997	571712	577014	421136	185832	143432	46751	47047	16339	16527	74582	50680	26625	2024	4406
Hàng tồn kho###Inventory	146187	166550	176465	156881	117009	111673	108900	241728	239012	169608	137680	72925	105313	120206	71901	3514	6510	6467	6467	7180	7182	22656	29936	73552	114293	115270
Tài sản ngắn hạn khác###Other Current Assets	7394	10789	10011	8415	4969	5301	5000	17582	26291	11578	10769	5649	10551	11118	6261	2162	1878	607	607	3855	3179	3329	997	3053	196	3802
Tài sản dài hạn###Non-current Assets	183122	186327	187349	187342	191946	194184	191423	194560	194059	199772	203736	208537	211927	200991	196801	114386	129972	145309	220100	179032	233476	146706	145868	98629	72109	64986
Các khoản phải thu dài hạn###Long term Account Receivable	150	150	150	150	150	150	150	150	0	0	2653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	53259	54899	56196	56174	57828	59127	54824	56083	56146	57132	58453	59456	60555	25964	20415	11786	9681	10012	46129	1725	1055	1158	1282	97791	63969	63930
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-28136	-26839	-25541	-25564	-24222	-22922	-21514	-20937	-20874	-19795	-18645	-17485	-16386	-16345	-15421	-6328	-5883	-5781	-5715	-2546	-2435	-2332	-2208	-1711	-1365	-982
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2184	-1841	-1841	-1841	-1498	-1498	-1155	-1155	-1155	-984	-812	-469	-469	-127	-127	-127	-127	-127	-2001	0	0	0	0	-497	0	-92
Lợi thế thương mại	47207	50855	50855	50855	53745	54503	56328	58152	57827	59651	61476	63020	64800	59709	61584	38356	40487	40487	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	58839	60108	74699	89542	89542	97913	102471	93713	92814	0	7625	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	80	80	80	80	80	80	80	80	0	0	0	0	0	0	0	0	0	0	77350	77350	127750	50400	50400	0	0	0
Tài sản dài hạn khác###Other long term assets	49023	51951	52143	52159	55348	56426	58549	60473	60139	64600	64872	71685	73977	64181	65556	42491	45592	45756	7079	2044	2200	1434	1372	837	515	1056
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1140282	1176134	1077939	1074407	915385	883226	923435	1068401	1068952	1011603	1094027	1025990	956894	966721	706335	327153	307174	303127	300736	284161	285598	272362	274111	217215	238592	243389
Nợ phải trả ###Liabilities	805272	833736	734319	730737	571048	538950	578129	724435	725303	662403	746961	677511	613405	620741	362423	24943	9132	9857	10152	5841	7240	46893	48647	5541	9178	19912
Nợ ngắn hạn###Short term Liabilities	805272	833736	734319	730737	571048	538950	578129	724435	725303	662403	746961	676600	609405	612610	352291	24943	9132	9857	10152	5841	7240	20421	22175	5521	6827	4973
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	911	4000	8132	10132	0	0	0	0	0	0	26472	26472	20	2351	14938
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	335010	342397	343620	343670	344337	344276	345306	343965	343649	349200	347067	348479	343490	345980	343912	302210	298042	293270	290584	278320	278357	225469	225464	211674	229415	223478
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	335010	342397	343620	343670	344337	344276	345306	343965	343649	349200	347067	348479	343490	345980	343912	302210	298042	293270	290584	278320	278357	225469	225464	211674	229415	223478
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	100817	81696	481893	115724	77494	98646	190373	527434	124405	184068	104212	114750	344187	86972	148094	85458	23937	66718	35338	6394	12976	9267	70911	28027	38439	62658
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	100817	81696	481893	115724	77494	98646	190373	527434	124405	184068	104212	114750	344187	86972	148094	85458	23937	66718	35338	6394	12976	9267	70911	28027	38439	62658
Giá vốn hàng bán###Cost of goods sold	94992	76594	434410	104274	71029	93184	178277	479964	122527	171031	88401	99039	301158	76919	132692	74876	16266	34648	12576	5545	9428	7449	54540	21548	25492	53504
Lợi nhuận gộp###Gross profit	5825	5102	47484	11450	6464	5462	12096	47470	1878	13037	15811	15710	43029	10053	15402	10582	7671	32070	22762	848	3548	1818	16372	6478	12948	9154
Doanh thu hoạt động tài chính###Financial activities Revenues	2	4	18	11	2	5	1	3856	2373	2	42	103	2324	189	590	480	6	132	42	5	32	53	6507	1879	3857	3305
Chi phí tài chính###Financial Expenses	5302	3085	17133	1950	909	-2273	3990	12495	3710	3420	3125	2027	1647	1358	327	35	0	3599	2443	0	353	803	43	3741	0	24
Chi phí bán hàng###Selling Expenses	0	104	404	98	98	98	111	461	105	105	105	145	1380	206	376	214	143	1638	747	147	445	297	1944	1096	4652	4100
Chi phí quản lý doanh nghiệp###Managing Expenses	7985	2794	24723	8614	4655	6642	5453	32454	6689	6149	11879	6084	17190	6880	5663	5087	1164	6111	3862	645	905	547	3615	3583	4215	3675
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-7460	-877	5243	800	805	1001	2543	5916	-6253	3364	744	7557	25136	1798	9626	5726	6369	20855	15752	61	1876	223	17277	-64	7937	4661
Thu nhập khác###Other incomes	0	0	26	0	0	-120	142	1	0	0	0	0	1523	1161	658	0	0	447	404	11	32	0	216	273	468	49
