CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	995750	1034251	1115687	922306	1125039	1128739	1491195	1954360	1917640	2109187	2249304	2110418	1901725	1940639	1990821	1890610	1728952	1508042	1524077	1279093	780268	656552	501063	503348	498743	484452	436352	362695	384861	413817	378905	396335	371285	440802	441173	418023	493746	470705	492967	461884	464424	525354	492234	574348	528916	512409	532468	495482	495482	409700	430271	376508	302194	301491	267847	292448	242696	244135	175538	106483
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14012	12012	15663	16317	36112	49025	143959	167429	168666	55823	106471	62776	96387	65224	30722	69953	77838	38743	38742	16819	42503	24778	2904	4404	10634	22316	24315	5605	5605	8315	3586	16402	15428	15427	20275	16676	18561	8468	7597	10993	7278	7792	23120	27660	10443	11532	13276	77017	77017	27530	81295	42916	26679	26679	21488	21159	4743	2100	9920	2034
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5320	5320	4640	4640	4640	29953	4641	6141	13021	4641	4641	4641	5941	5941	19541	5941	5941	5650	4363	5016	5016	4943	4980	4980	4400	4400	25545	3657	24948	25967	22364	21847	22180	42985	21665	28108	49419	45042	68951	50510	43216	51228	40694	40620	42339	41443	99295	52010	52010	47936	49249	43469	13390	13390	8337	15352	1450	14150	8646	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	595795	473896	682107	566339	406400	392370	434965	538417	492615	605182	575184	498777	312368	432206	358023	419365	407148	427470	433485	412479	198630	245674	204879	204810	228283	239690	167905	225450	168357	181651	187668	215027	184620	230645	269484	233035	275041	269824	275328	264391	268781	284042	247196	318287	279565	270295	248734	229123	229123	202471	193544	183865	186288	186605	171420	174072	181057	183781	128131	87192
Hàng tồn kho###Inventory	376156	415384	409000	334332	673793	657392	904262	1242216	1241369	1425400	1542805	1512965	1449374	1399612	1542853	1362799	1173506	986505	998460	813873	508956	373233	280275	280924	250575	216748	163122	123634	129081	140423	109422	109767	106943	112295	100404	110768	119034	114547	105058	101195	106568	104707	101137	107959	122472	108141	100928	68433	68433	48514	50843	42672	31524	30504	31632	56603	32740	31795	16908	14676
Tài sản ngắn hạn khác###Other Current Assets	4467	127638	4276	678	4093	0	3368	158	1969	18141	20203	31261	37656	37656	39682	32552	64519	49675	49027	30905	25163	7923	8025	8230	4852	1299	55464	4350	56871	57461	55865	33292	42114	39449	29345	29436	31690	32825	36032	34795	38581	77586	80087	79822	74097	80998	70236	68900	68900	83250	55341	63586	44313	44313	34970	25262	22709	12309	11932	2581
Tài sản dài hạn###Non-current Assets	640766	629013	657042	689559	626836	691672	488942	459322	488960	418435	390367	332446	332868	274731	370525	373067	316609	324457	336111	344818	321978	322303	319971	328037	318580	326035	305706	346821	327718	335148	338984	368083	366661	367670	374127	408062	441206	443228	397152	409448	388318	350887	336053	395649	282813	288448	276397	206432	206432	196383	117522	73945	68157	68157	78785	69325	65653	77104	13920	27584
Các khoản phải thu dài hạn###Long term Account Receivable	52850	52880	54385	97515	96547	94609	97542	93805	115694	102025	68564	68564	68530	1311	11311	11211	11511	11511	11511	11415	11281	10911	10882	10802	10682	10882	0	10882	0	0	0	0	0	0	0	0	86773	90551	94957	94203	93403	91939	91939	91939	91939	105376	109376	119376	119376	153377	73947	39187	39187	39187	39094	28934	28123	37831	0	0
Tài sản cố định ###Fixed assets	19801	19566	21299	21315	28323	13613	23757	22958	23022	24364	25707	28208	30073	30078	43508	46110	45009	47594	48753	47636	45714	39434	40361	39185	40117	39888	38830	43406	43406	68321	72785	77686	77110	59661	75879	81179	67026	65564	146523	156976	150110	162162	154937	164846	117943	111761	108352	13962	23053	14687	15384	16051	16862	16862	15178	15534	14625	15129	9411	10395
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11104	-10361	-9619	-10038	-9569	-3443	-10132	-4749	-4685	-4481	-4287	-19634	-18906	-18906	-26607	-25522	-10913	-10544	-10333	-10174	-18451	-18808	-18037	-19678	-18947	-18196	-18555	-17585	-17585	-13808	-15990	-12274	-14469	-11615	-10591	-13799	-11180	-14830	-16537	-13889	-17749	-10487	-13777	-9008	-5785	-9892	-8545	-7620	-7620	-6896	-6171	-5443	-5097	-5097	-4401	-3853	0	-2885	-1879	0
