CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	Q2 2008	Q1 2008	 2007
Tài sản ngắn hạn###Current Assets	2350823	2476776	2104418	2301653	2146311	2164561	2428899	2454859	2517876	2088164	1850991	1651299	1572393	1693562	1378403	1321159	1328485	1328501	1329292	1385422	1144427	1081270	1134564	1134350	1137137	1160435	1150217	1192461	1192461	1090540	1030712	945896	1038865	1049827	979136	1038838	1012684	934954	928646	834974	847136	860373	864990	864941	822592	838441	751568	646544	646544	653664	526238	539469	430336	430336	372447	345417	293039	302258	252749	236943	255195	265117
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18963	22690	34375	34417	31444	26394	31578	52713	49713	103824	73279	42318	90952	92384	9201	23679	98991	124458	124388	14499	13930	16064	31042	31042	35772	29199	15924	13268	13268	10313	22151	15913	17966	17966	21912	20542	34931	80869	90869	37735	33716	24293	46408	46408	32136	28095	30622	50583	50583	25164	8137	21443	9687	9687	7403	31465	2655	5110	6759	6673	25911	36606
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3000	3000	0	0	0	0	0	0	3000	3000	0	6081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2725	2725	2725	2725	2725	2725	2725	8225	5000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1655149	1531960	1560525	1778499	1570270	1535137	1729967	1762931	1828996	1402860	1324942	1138385	1037788	1158054	945121	918853	827652	868634	869496	1031644	783308	739003	719187	718973	691517	709582	756746	751834	751834	670490	608684	484314	432629	445771	404630	418058	420598	367016	366207	350413	351417	368125	349418	349157	255277	263633	276960	311841	311840	206054	190667	173787	211459	211459	91346	87019	102815	120070	97469	88399	104257	119673
Hàng tồn kho###Inventory	613450	852596	450571	425008	485109	500533	606071	609196	609196	562309	443413	454272	434965	433712	416878	375017	394105	333268	333268	334645	341955	320217	371567	371567	398592	408993	368924	403613	403613	388465	381261	426493	562911	560729	520201	568320	531926	453808	448309	420678	438937	439651	443836	444113	486002	497948	399117	253300	253300	385282	304912	327178	198881	198881	262724	215539	175136	162923	140622	132880	117826	97684
Tài sản ngắn hạn khác###Other Current Assets	60260	66529	58948	63729	59487	102498	61283	30019	26971	16171	9357	10243	8688	9412	7202	3611	7737	2140	2140	4634	5233	5986	12768	12768	11257	12661	8622	21020	21020	18546	15891	16450	22635	22636	24167	26918	25229	23261	23261	26147	23066	28305	25328	25263	49177	48764	44869	30821	30821	37165	22522	17061	10309	10309	10975	11393	12434	14155	7898	8991	7201	11154
Tài sản dài hạn###Non-current Assets	2178594	2128360	1966181	1988537	1894044	1786621	1276252	978801	982007	787480	718186	572249	486316	486567	502043	500202	467597	357821	361919	300124	303689	293315	285780	285994	285120	275769	264345	265032	265032	192580	200875	204266	222422	220340	232634	209654	232461	253295	259043	256048	255853	268107	273759	273771	264774	276051	277726	263166	263166	246211	240916	207999	183923	183923	136586	140382	135380	147608	133877	133415	116824	77962
Các khoản phải thu dài hạn###Long term Account Receivable	171151	174820	100211	117354	118599	120671	119840	137716	140831	144598	106825	126264	93530	95395	126432	137449	102054	27266	27266	766	582	653	832	1047	945	1169	0	0	0	0	0	0	0	-2898	-3	133	133	133	133	412	1815	1815	1688	1688	1688	1688	1688	1688	1688	1752	1752	3031	3204	3204	1571	1798	1798	1998	1998	2038	2078	2128
Tài sản cố định ###Fixed assets	1165434	1183386	1202060	1204424	1156114	222747	223218	227983	225109	218566	223790	226117	232097	232135	237517	233648	238961	233818	233818	239124	244181	241311	249153	249153	251304	255864	232667	253835	229314	169910	172991	177182	206029	206534	215269	192435	219832	207781	247675	241812	245721	257115	228143	263456	251102	261454	263182	223455	229655	232005	228193	194626	167018	167018	111584	114833	112525	137653	112390	112030	96622	71526
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-292610	-273912	-256144	-259094	-243490	-218367	-215881	-210562	-210562	-187299	-186452	-184570	-179078	-179039	-176187	-172316	-168808	-162326	-162326	-156561	-150870	-147568	-148459	-148459	-161750	-156817	-150039	-143961	-143961	-136838	-142264	-136310	-144415	-144945	-139176	-131637	-135400	-202359	-194758	-195249	-193943	-184932	-175793	-175971	-166098	-152751	-136341	-119480	-119480	-127581	-114100	-100490	-86502	-86502	0	0	0	-56332	0	0	0	-42501
