CAN DOI KE TOAN	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	174307	174307	207530	213331	198663	208123	215874	218702	234712	242825	213239	243222	411570	412271	466975	407068	468856	427838	424300	476304	483189	487921	451186	448766	431596	449562	455395	483324	470079	453868	446525	477497	545571	487444	470316	473914	462463	479317	436125	357722	272748	286203	248254	243211	212699	193694	193717	198306	201511	181577	165949	174009	183541	208111	103124
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4859	4859	4388	4276	4316	4557	4845	5058	5298	3415	3327	3823	4277	4192	3999	3278	4838	9611	12532	4090	5706	7206	10910	9446	14284	12971	12971	12125	12010	15285	12605	13661	18427	15101	14826	12897	5282	10682	35718	49608	8859	8859	8871	16672	5266	10520	10520	9524	18450	12434	8995	8675	7761	11658	8444
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7615	3940	5500	2067	8435	8415	500	0	0	891	891	0	3000	0	0	0	4000	19000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	96032	96032	120016	114372	110575	110472	116847	105599	130958	136035	121567	145532	135959	137244	204935	142719	160342	170511	144827	163047	180716	188734	139180	121036	131632	154431	142382	134395	125594	120187	131016	169057	254001	207034	200022	246579	237160	189859	189373	128010	123149	131299	116027	129100	97091	92800	92800	61977	64088	53376	75772	69353	55302	54737	52294
Hàng tồn kho###Inventory	72929	72929	82401	93322	83252	92604	93473	100860	91653	95977	81811	86871	264332	264407	257179	253655	296000	242832	265351	302939	279078	277648	285860	304183	270731	270286	288168	318013	313529	292474	286754	278873	241065	230318	200066	171751	169175	235968	173146	151061	105623	105461	99204	80193	88703	77896	77896	101514	91393	97153	66055	80780	99363	109067	34297
Tài sản ngắn hạn khác###Other Current Assets	486	486	725	1361	520	490	709	7185	6803	7399	6534	6996	7002	6428	862	7416	7676	4885	1591	6228	17689	14333	15235	14101	14949	11874	11874	18791	18946	25922	16151	15906	32078	34990	55402	42687	43232	38867	32387	26976	26682	32170	23652	17246	21640	11585	11608	25290	24581	18613	15127	15201	17115	13649	8089
Tài sản dài hạn###Non-current Assets	227175	227175	236835	238919	241298	243356	243276	245605	247710	250593	253134	253407	258459	261294	263997	267928	271018	286073	288904	298272	295242	299839	305604	310513	314532	319551	301853	309137	306738	315527	315021	315298	305024	299292	284939	285336	285515	268620	264318	251914	240498	238221	217987	189318	172503	163305	163282	125773	87108	73818	68411	50100	49378	40831	28285
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2959	14477	14477	14479	14477	18827	18827	18827	18827	18827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	100551	100551	106678	108755	110993	113107	112985	114995	117164	120719	123332	123519	126632	129443	132272	134964	135094	138141	145985	149018	275914	147193	150332	155259	158341	292549	292891	298432	299786	308876	176654	303637	298460	292821	278722	116141	276888	260848	256351	244378	119369	231093	210951	186042	168919	160217	160217	124382	85433	70902	65622	45371	44969	37549	27728
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-86282	-86282	-91303	-89226	-89336	-87222	-87445	-85962	-83794	-86304	-83669	-83522	-86350	-84267	-81572	-78750	-78750	-76629	-74107	-71029	-67895	-67844	-65506	-64259	-60895	-57478	-57948	-52594	-51102	-49457	-47755	-47822	-46457	-45282	-43984	-42111	-42111	-49207	-44822	-40674	-35089	-35089	-33476	-29261	-37798	-36225	-36225	-34061	-32738	-32202	-30931	0	-27772	-25326	-20759
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-483	-445	-445	-407	-368	-333	-292	-292	-254	-216	-178	-279	-279	-177	-152	-62	-1309	-1309	-1169	-1044	-929	-815	-815	-701	-587	-473	-359	0	-130	-449	-275
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-135	-135	-350	-350	-134	-134	-350	-350	-350	-350	-134	-332	-332	-131	-305	-128	-305	-296	-287	-278	-117	-261	-247	-93	-199	-76	-192	-174	-51	-171	-68	-145	-129	-40	-98	-31	-89	-71	-73	-58	-30	-58	-50	-27	-52	-25	-25	-410	-383	-355	-326	0	-270	-214	-106
