CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	158382	134728	145636	145745	165275	156347	130914	137507	137651	142673	136636	129152	141963	141929	156341	153960	157945	172664	172535	165798	171062	151605	173111	173307	176047	171733	154928	142420	142418	155001	153863	144997	146438	146724	140666	144698	132110	147248	155696	139300	119404	123789	127015	127643	136066	129818	114393	110615	113990	119611	109219	96635	91968	104014	109763
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1004	987	305	304	6845	2106	2684	8438	8438	808	690	2812	12902	12902	1765	575	2494	1126	1126	68	1859	1523	1210	1210	107	242	852	530	530	484	417	857	536	536	1135	713	1817	308	308	233	438	32	11232	11232	1908	3600	87	2464	2464	878	675	701	178	797	5202
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15135
Các khoản phải thu ngắn hạn###Short term Account Receivables	41769	34303	60605	60736	37791	50991	43399	56264	56315	55098	49128	53637	63409	63416	69437	67525	73760	98139	98870	69061	69246	65577	107796	107813	68122	73100	67912	80955	77685	70327	77824	65861	74837	75124	61010	59041	69809	97868	108088	48582	38235	37569	34471	34769	29321	30514	43871	44628	44428	29537	32644	28028	38158	30012	14852
Hàng tồn kho###Inventory	114474	97644	84237	84215	114600	99299	82456	72315	72409	83050	82975	70795	65162	65122	82773	83546	79376	72910	72227	94179	97051	81280	63793	63971	104707	94720	82648	60581	60581	77634	67744	73762	67004	67004	68255	72840	51134	43347	41575	82438	70466	77215	74476	74806	93193	81782	60986	55609	55726	74722	62322	53155	43977	64214	63924
Tài sản ngắn hạn khác###Other Current Assets	1136	1794	489	489	6038	3952	2375	489	489	3716	3844	1907	489	489	2366	2315	2315	489	312	2490	2906	3225	312	312	3112	3673	3517	353	3621	6557	7878	4516	4060	4060	10267	12105	9350	5725	5725	8046	10265	8971	6836	6836	11644	13922	9449	7915	11372	14474	13578	14750	9654	8991	10650
Tài sản dài hạn###Non-current Assets	37957	39002	38188	38188	34486	34022	35006	35238	35238	38423	39539	40532	41779	41779	43318	44348	45738	47593	47968	54373	54222	52878	53343	53091	51884	53081	55226	56914	56897	59341	61532	63616	65578	65578	69153	71695	74214	76669	76669	80841	82905	85312	87529	87566	90844	93247	93585	93263	89349	88386	89356	88964	87738	67446	39936
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13173	14342	15457	15457	15718	16245	17443	18582	18582	19760	21024	22033	23335	23335	24637	25879	27381	29236	29192	30877	32603	34172	35478	35478	37329	39223	41274	43079	43079	45339	47589	49919	52089	62681	65073	67562	70454	73040	73040	75647	78400	80981	83310	83310	86049	88709	89325	34597	88420	87263	88332	87912	86936	66613	38035
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-89848	-88679	-87503	-87503	-86331	-85204	-84105	-82967	-82967	-83676	-82413	-81136	-79834	-79834	-79401	-78060	-77061	-78017	-78012	-76327	-74563	-72784	-70983	-71324	-69348	-67287	-65156	-62989	-62989	-62618	-60329	-57999	-55676	-55676	-53317	-51352	-50620	-48107	-48107	-45572	-44073	-41497	-38914	-38914	-36357	-33773	-31616	-30165	-30145	-29586	-28051	-26672	-25198	-19305	-14307
