CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	385583	389959	554913	680669	692386	515468	772068	625329	628075	658485	567807	733615	183343	532214	327020	364960	533975	358980	352889	355525	373866	402281	256570	375956	373685	351719	311643	174056	297095	315207	307533	278661	269366	256986	245050	245186	254403	256507	244205	271213	275396	182331	183065	172533	180073	199475	127504	120379	142798	123972	116764	115333	112308	112297	109970	94076	80050	100029	97545	73417	78434	67200	55702	55702	21138
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1159	390	5321	5286	459	549	620	1069	6299	9094	3067	8283	6277	4033	15315	9516	6411	5743	5749	18574	32102	7572	4389	4340	1883	17913	719	4450	4174	11922	981	4558	1130	5032	4114	9536	5123	13944	13951	24169	21180	3045	6720	6825	16910	7592	656	2588	2765	3402	9750	16968	5193	5193	13798	6632	6993	25914	25914	2776	692	3697	2665	2665	3481
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8551	8491	8491	8491	129150	7866	9064	7764	7764	7764	7764	7764	7764	9449	7534	7764	70000	70000	70000	70000	70000	0	0	0	0	0	0	0	0	0	3944	3944	3944	579	629	1292	3176	4403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11158	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	79609	85339	253793	378696	283096	236012	489942	363421	337786	416543	329513	496588	136270	325691	142144	177097	269059	132750	141260	145053	149532	242576	126944	249874	254333	210590	189160	86299	201808	182127	132237	114091	129077	121862	85698	107154	110743	114754	119338	129407	134609	83638	98920	80148	57143	79209	24336	27810	40062	11805	25913	10396	9113	9113	9123	10588	9524	12790	9712	8813	0	11994	21508	21508	10912
Hàng tồn kho###Inventory	296151	295633	287164	288038	279282	270359	271822	252758	276185	224327	226407	220588	33008	192447	161343	169779	183285	149757	134829	121158	121492	144074	123241	120930	115725	121463	111403	82437	77015	106549	154728	143821	122520	116940	140369	121508	126696	116724	104157	110842	110340	86995	71442	79459	96569	101217	94294	80770	90727	100539	75620	81315	90526	90526	79260	72427	59531	56992	57086	54500	49371	38207	22384	22384	5515
Tài sản ngắn hạn khác###Other Current Assets	114	106	144	158	399	681	619	317	41	757	1056	393	24	593	684	803	5220	731	1051	740	740	8058	1996	812	1744	1753	10361	870	14098	14610	15644	12247	12696	12574	14241	5694	8666	6681	6759	6796	9267	8653	5983	6101	9452	11457	8219	9211	9244	8226	5481	6653	7476	7465	7789	4429	4001	4332	4832	7328	17212	13302	9144	9144	1230
Tài sản dài hạn###Non-current Assets	434988	446315	451159	455067	469861	475663	478116	104819	75274	145223	147837	223926	427294	112721	273643	275719	114664	235835	234414	251933	194556	160581	279895	157809	151542	159830	166131	285800	154568	145506	139269	123483	121846	121806	112654	108506	122579	123118	124935	122412	126150	124299	109650	109274	101984	92737	85590	76452	69031	63707	43270	43159	45399	45399	46229	47094	46602	47674	50752	50650	50115	49529	49712	49712	15986
Các khoản phải thu dài hạn###Long term Account Receivable	1215	2519	2519	2519	2519	2761	1702	4199	2486	36909	36909	151444	152698	2945	163572	165834	40834	159835	159835	176002	116476	7791	120525	0	0	5494	0	125224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3078	2889	2889	4464	4464	4464	11260
Tài sản cố định ###Fixed assets	26268	33818	38712	40012	55082	63065	65961	66952	67403	69855	72736	67078	65310	65449	64255	64819	66976	69146	69146	70497	72647	146871	153937	152352	146085	148880	153401	135814	124759	115983	115148	120555	118918	118960	109808	105575	107374	105892	109729	107105	110740	109138	51387	106037	98702	89368	82462	40415	65871	60576	40271	40164	42404	42404	44274	45134	44652	45604	45604	45572	45620	43635	44181	44181	4716
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-42307	-44232	-56457	-56457	-60462	-61272	-58375	-56922	-56957	-53739	-50840	-48110	-45843	-45834	-43731	-41323	-39278	-37108	-37146	-35097	-32947	-38571	-37143	-36045	-34177	-32020	-34833	-33328	-33328	-31447	-29598	-26455	-26086	-26086	-24634	-24908	-23958	-23250	-21433	-20434	-20214	-19136	-18690	-19050	-17912	-17076	-18749	-17302	-17395	-15796	-17021	-16711	-13711	0	0	0	0	-9921	0	0	0	0	-6662	-6662	-4374
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-459	-1329	-1226	-1122	-636	-908	-851	-637	-581	-451	-393	-337	-224	-224	-187	-112	-112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-28	-25	-31	-30	-24	0	0	0	0	-18	0	0	0	0	-12	-12	-6
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	378925	378925	378925	377625	377625	378925	379125	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	2625	14725	14725	14725	14725	14725	14725	2725	2725	2725	2725	2825	2825	2825	2825	2825	2825	2825	2825	1700	1600	1500	1500	1500	1500	796	500	0	0	0
Tài sản dài hạn khác###Other long term assets	0	1527	1547	3623	3656	86	145	203	0	181	181	0	258	258	1748	1451	1451	1451	30	30	30	516	30	54	54	54	7327	268	5315	5315	309	303	303	221	221	306	480	480	480	581	685	436	513	513	556	645	303	335	335	306	174	170	170	170	255	360	450	570	570	690	810	930	1066	1066	10
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	820571	836274	1006073	1135737	1162247	991131	1250184	730147	703349	803708	715644	957541	610637	644935	600663	640678	648639	594815	587304	607458	568423	562861	536465	533765	525227	511549	477774	459856	451663	460713	446803	402144	391212	378792	357704	353691	376982	379625	369139	393625	401546	306630	292714	281807	282057	292212	213094	196831	211829	187678	160035	158492	157707	157696	156199	141171	126652	147704	148297	124067	128548	116729	105414	105414	37124
Nợ phải trả ###Liabilities	637174	652987	822794	952247	978759	807673	1066388	546914	517837	621132	532514	772918	428166	458679	434367	460481	466071	412434	403223	423762	386467	380682	354997	353396	345106	331752	298089	278875	270204	280803	267525	220789	209809	196168	177253	173295	196403	197931	187019	211878	221089	126834	113068	104287	104983	115955	142740	126999	139157	123926	96359	96337	97058	96181	97352	79809	66738	88821	89319	63232	69698	55663	45329	45337	6992
Nợ ngắn hạn###Short term Liabilities	636762	651843	820713	949197	975593	805164	1062797	544050	514515	617634	527905	772918	423346	449921	425141	449492	453149	397578	388303	405611	363887	347023	312934	314897	306461	290594	115450	228755	219312	227094	219839	182995	173743	159973	146706	140988	159871	161025	150494	174561	182206	87010	73422	64641	68535	83200	117812	105406	117564	109346	94914	94625	95079	94202	94668	76192	62722	84128	45330	48208	50807	43636	31485	31493	5096
