CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	1469952	1207490	1160803	1165468	1083650	1201117	1069822	1101996	1106950	1100498	1033137	829091	1003635	998763	783070	1016746	766880	896799	716480	559052	551176
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27743	132388	72169	72169	44996	35938	51641	64102	64102	107932	23417	35410	149160	149160	48952	76928	99713	225763	73500	29488	52881
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	116138	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	16100	31100	1100	1900	3800	4352
Các khoản phải thu ngắn hạn###Short term Account Receivables	503877	383995	374552	379162	321458	439522	351170	419806	424724	395891	345284	336861	381793	376536	293052	350704	232639	315517	298228	247894	260580
Hàng tồn kho###Inventory	770768	661196	697117	697117	686232	695331	629411	588845	588880	553364	629584	429760	452739	453143	379788	510669	344550	302449	306235	247160	204981
Tài sản ngắn hạn khác###Other Current Assets	51427	29911	16965	17020	30964	30326	37600	29242	29243	43310	34853	27060	19944	19925	60177	62346	58878	51970	36617	30711	28382
Tài sản dài hạn###Non-current Assets	419698	416577	427217	427120	437548	439805	445046	467496	464972	423098	403490	354331	360894	366170	364653	336878	363104	377609	314961	253383	245773
Các khoản phải thu dài hạn###Long term Account Receivable	24564	24598	24218	24218	27583	27221	35829	44929	44957	48136	38473	31694	36915	42172	43792	48940	52729	52595	57077	9703	0
Tài sản cố định ###Fixed assets	322979	315537	332844	332844	336044	335891	348301	364697	362170	293780	278356	276205	289380	289380	293188	262027	280559	290659	224775	213193	201746
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1010184	-994626	-971523	-971523	-960225	-933936	-904890	-882177	-882177	-876741	-848990	-819256	-789548	-789548	-752386	-724589	-697356	-664280	-551587	-459236	-403404
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-172	-148	-125	-101	-101	-78	-55	-31	-8	-8	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-6758	-6361	-5862	-5862	-6184	-5634	-5083	-4538	-4538	-5993	-5466	-4964	-4660	-4660	-4355	-4051	-3765	-3583	-4266	-3976	-3505
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3480	6515	11500
Tài sản dài hạn khác###Other long term assets	28048	30077	30109	30109	29538	31257	26967	28775	28750	27636	27322	27068	28211	28230	26965	24686	29183	33723	28676	23972	32527
