CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	130677	142565	149111	151888	153369	151383	152407	155030	153910	158518	143590	143449	140935	140672	143184	133677	127274	123931	123820	113721	96287	102468	108781	108356	64367	58557	50104	62401	62608	52666	47714	46497	45878	48141	46909	44551	51781	58455	58489	62151	63489	59871	61153	60609	61741	79894	67880	86384	79741	91846	69482	68343	68466	69648	76055	104242	104121	47458
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11936	8426	20518	20604	11040	17333	18111	19460	14986	15738	7432	12761	10189	10190	9993	9567	6412	10671	16614	14251	16587	12412	45251	45249	7736	3056	4328	7702	7704	13827	3696	9741	8594	8577	7239	6418	5577	4084	4031	7858	3956	3863	3664	3664	4843	4477	1758	4808	4648	20687	886	598	2965	3190	3754	4077	1521	4121
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3000	3000	3000	4000	6640	6000	7528	6000	10500	7500	6000	6000	6000	6000	6000	6000	6500	6500	500	500	500	18323	500	500	500	500	500	500	500	500	500	500	500	500	500	519	19	176	176	176	176	6707	7067	7067	7287	7599	7659	10833	11995	10033	8265	8751	6793	0	0	1748	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	76798	86766	84308	85453	96269	88988	87142	88038	88102	95927	90350	87743	95135	94983	98403	89251	89075	88871	88812	79281	57011	51651	46836	45509	41943	42172	35627	43200	43351	26940	31501	25910	27501	29911	30290	28605	36150	44664	44781	42933	40666	32734	33878	33439	34784	48762	41692	39257	28488	25686	23387	22828	24948	32657	34967	57915	55441	35753
Hàng tồn kho###Inventory	38675	43948	40709	40748	39037	38527	39402	40098	40060	39270	38802	36720	28935	28823	28175	28244	23344	17278	17283	19102	21313	19680	15641	15649	13388	12649	9410	9732	9791	10087	9737	9141	8295	8167	7806	7570	8167	7936	7932	10174	17121	15742	16160	16105	14509	18734	16519	30856	34302	34945	36827	35077	32833	33214	37071	40096	46490	7200
Tài sản ngắn hạn khác###Other Current Assets	267	425	575	1082	382	535	224	1434	262	82	1005	225	676	676	613	615	1943	611	611	587	876	402	554	1449	800	179	240	1266	1262	1311	2280	1205	987	987	1075	1439	1869	1595	1570	1011	1571	824	383	334	318	322	251	630	309	494	117	1090	926	586	262	406	668	384
Tài sản dài hạn###Non-current Assets	103863	104408	105755	104796	104606	107918	110255	89550	90676	93990	95289	96525	97745	97782	103788	104785	105008	106926	106940	107270	112490	97007	89713	89926	67385	59140	61145	53420	53402	52276	61123	54956	55338	55412	55446	53967	51458	49329	49288	43195	42886	45284	45298	45332	45456	45711	47045	45530	45027	47552	46681	39919	40486	39599	39945	41026	60501	16868
Các khoản phải thu dài hạn###Long term Account Receivable	35053	35053	35053	35053	35053	35023	35023	35023	35023	35723	35723	35723	35723	35723	37023	37023	37023	37023	37023	37003	37003	30687	25009	24949	7294	3617	6971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	31398	32664	33613	33613	34820	36111	37395	38449	38380	41025	41365	42765	44134	44134	44325	45469	46210	46583	46583	42728	43207	39270	38959	38954	29361	29746	29139	31803	29761	28815	29411	30827	30695	30767	29874	28325	26094	5648	23927	17278	16968	19367	17320	19415	20079	20334	21668	20654	20190	22941	21554	24768	25336	23233	23579	26096	47837	7010
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-34858	-33557	-32264	-32264	-30948	-29768	-28422	-27075	-27073	-26045	-24786	-23386	-21986	-21986	-21327	-19953	-18572	-17216	-17216	-16092	-14901	-13793	-12731	-12736	-11896	-11118	-10420	-9677	-9695	-9002	-8309	-7613	-6921	-6925	-6963	-6985	-7308	-7108	-9752	-11355	-11448	-13470	-13579	-13544	-13690	-13275	-13146	-13568	0	-13853	-12587	-12666	-11966	-11517	-11522	-9640	-8898	-6260
