CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	372679	264939	287701	273834	272275	315983	249893	467056	465811	254929	326996	288289	371462	353847	199671	230642	145892	382353	372145	164254	154453	336997	364072	229904	101469	202591	169155	175486	194915	286127	195477	274994	238976	227920	289622	226703	231980	149950	132165	198117	206742	321589	215347	215892	314143	375177	325945	471437	471437	283813	222926	251974	207460	207460	328070	306544	317799	273712	246927	59422
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1322	2446	3211	3628	2909	3661	3239	2415	2415	2996	2982	3117	3496	3496	2626	2720	4719	2813	2813	3223	3482	2721	3036	3036	3745	2746	3842	2505	2505	2750	3046	3156	2046	2046	2353	2678	15858	3924	3924	5642	26494	88199	44882	3550	174949	229822	91210	164208	164208	121530	105586	144569	115583	115583	252484	219111	204834	162775	131126	9375
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	16748	16748	18529	9810	9810	6540	6540	6540	9810	9810	12425	12425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	284406	157390	193390	179187	207628	253004	197897	410433	409184	199244	260011	221568	315126	312925	155884	182980	103082	337716	331530	133836	113245	293559	310537	184833	51201	145822	121910	129637	153605	242357	154831	234571	195551	185207	193181	144896	185492	84990	69439	157593	139212	199634	133966	135863	112355	122192	213478	270241	270241	123626	66966	69816	19592	19592	40554	56699	74488	62154	89365	27390
Hàng tồn kho###Inventory	61276	61845	40558	40816	40330	39979	33671	34150	34150	37243	47892	44754	29290	26270	28178	33170	32511	31905	31905	24692	34322	28588	35046	34599	41550	50426	38879	34115	34076	37742	33745	31909	34554	34161	91492	77011	30341	56236	55983	34354	35820	31344	32762	32762	26831	23082	20222	36916	36916	35767	50178	37471	52999	52999	33591	29082	38292	40610	25522	21499
Tài sản ngắn hạn khác###Other Current Assets	25675	26510	33794	31674	11599	9530	8546	13518	13523	5636	6302	6425	11124	11156	12983	11771	5579	9920	5898	2502	3404	12129	15452	7435	4973	3597	4524	9229	4730	3278	3854	5359	6824	6506	2596	2119	289	4801	2819	529	5216	2412	3737	2597	8	81	1035	72	72	2889	196	117	19286	19286	1441	1652	186	8173	915	1158
Tài sản dài hạn###Non-current Assets	977623	1002907	900909	900045	916095	960280	1019732	959520	959636	1029982	1023322	992770	949039	962654	974191	989233	1036472	937474	941335	946763	887684	784272	822756	830401	772122	779729	829852	766528	773342	735015	766768	779367	814852	815476	804197	784442	789446	777685	782077	757500	697759	560317	545204	544060	464179	432993	413435	392654	392654	407527	355240	333328	342563	342563	233025	221270	216504	236328	209446	189539
Các khoản phải thu dài hạn###Long term Account Receivable	25671	25670	25144	24504	26703	26703	26627	24541	24541	24330	24327	24053	20161	21312	20825	20824	20823	18912	21413	21445	18482	21562	17409	17409	28987	16487	7466	7466	7466	7819	8130	7130	7130	7130	6111	6494	6905	6905	6905	6918	7143	6177	6177	6177	6217	6221	5267	5301	5301	5404	5404	5424	4390	4390	4681	4714	3400	3433	3520	3279
Tài sản cố định ###Fixed assets	559130	462161	491175	490952	469432	503191	534130	569974	570089	496128	519771	535917	565952	565990	492821	514243	562567	537096	543298	586441	577699	608124	641143	641143	607756	642028	658220	715254	691570	660066	625217	728395	762015	761925	760365	740448	749446	609778	738320	721934	662723	529691	324841	507295	430173	399490	383728	286817	363369	381246	328217	309342	321508	321508	214696	204455	202252	216313	191450	179849
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1527577	-1499995	-1467324	-1467276	-1459606	-1429763	-1394695	-1358959	-1358843	-1334330	-1300764	-1267406	-1234927	-1234889	-1217095	-1195673	-1147348	-1118228	-1112026	-1034399	-1003375	-971438	-937298	-937298	-905752	-869320	-833724	-799575	-800284	-770730	-733927	-700820	-666745	-666745	-631038	-598971	-582718	-558766	-558766	-515187	-517659	-483301	-456563	-457267	-442205	-430562	-419050	-390247	-390247	-386441	-369157	0	-320597	0	0	-295419	0	-247629	-186860	-139285
