CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	635031	689621	691062	705086	684605	651847	650435	622872	622665	596934	650162	616059	557256	556990	551806	522975	457757	507459	512946	418830	130671	476332	480776	327666	213318	221542
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11049	19969	50826	50444	4544	23974	37766	20040	20040	10722	38965	7670	4130	4126	5951	2975	6527	30501	30501	2309	10793	6732	14685	59987	165961	126544
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	564937	553374	580908	612108	636333	591733	547398	571349	571349	557147	576467	573598	523053	523053	518873	488754	417923	450723	450723	383958	79800	430100	425500	208450	0	17000
Các khoản phải thu ngắn hạn###Short term Account Receivables	58783	116107	58758	41971	43493	35871	65085	31276	29069	26856	34509	33850	29769	29378	26568	31247	32696	25682	31116	31638	40078	39292	40591	57767	46666	77406
Hàng tồn kho###Inventory	83	59	59	59	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	180	112	511	506	187	221	186	207	2207	2210	221	941	303	432	414	0	611	552	606	925	0	207	0	1462	691	593
Tài sản dài hạn###Non-current Assets	296360	285571	301118	269892	289982	285166	287732	319353	319353	306542	243754	240236	228252	228060	227551	214437	292924	204485	209672	260551	534971	212518	212906	178097	132165	94685
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	51288	52335	52882	52882	53442	54482	55522	56562	56562	57602	58642	59683	60723	60760	61621	62525	56736	57690	69275	69581	69845	70160	70178	62831	56195	988
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-29984	-28938	-27890	-27890	-26848	-25809	-24769	-23729	-23729	-22688	-21648	-20608	-19568	-19571	-18529	-17484	-16444	-15490	-4961	-4655	-4339	-4024	-3710	-2171	-1325	-648
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	112079	87814	89166	89166	90867	92569	94270	95972	95972	97439	94661	96302	97942	97748	99150	101352	90821	92309	90316	91621	93105	94589	95904	63142	67276	50018
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	17370	17370	48570	17370	17370	10370	10370	39004	39004	5370	5370	3870	3870	3870	2000	2000	87831	2000	2000	66092	348300	23500	23500	21000	0	0
Tài sản dài hạn khác###Other long term assets	87343	87664	78505	78505	111468	111382	111543	111744	111744	130100	66937	63464	50254	50220	48802	34014	29339	24911	24907	17625	15387	16006	16107	12314	8695	6361
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	931391	975192	992180	974978	974587	937013	938167	942225	942017	903477	893916	856295	785507	785050	779357	737412	750681	711944	722619	679381	665642	688851	693682	505763	345483	316227
Nợ phải trả ###Liabilities	701705	670200	700764	673620	727931	703296	712928	728272	648438	688871	663418	634935	573289	572337	573234	539807	537563	506026	506041	466950	459486	472698	483629	301436	160536	142631
Nợ ngắn hạn###Short term Liabilities	27878	9027	69369	42250	22418	23976	56482	117897	53046	26208	31906	33712	36139	35176	40706	38823	95386	65989	65974	30029	20070	35424	47549	20373	5083	5286
Nợ dài hạn###Long term Liabilities	673826	661173	631396	631370	705513	679321	656446	610375	595392	662663	631512	601223	537150	537161	532528	500984	442176	440037	440067	436921	439416	437274	436080	281062	155453	137345
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	229686	304992	291416	301358	246656	233716	225238	213953	293579	214605	230498	221359	212219	212714	206123	197606	213118	205917	216577	212431	206156	216152	210054	204327	184947	173596
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	49707	50454	51202	51202	51949	52696	53443	54190	54190	54938	55685	56432	56801	56801	57548	58293	59038	59699	70298	70298	70298	70298	70298	69460	60035	44993
Vốn chủ sở hữu ###Owners equity	179979	254538	240214	250156	194707	181020	171795	159763	239389	159668	174813	164927	155418	155912	148575	139312	154080	146218	146279	142133	135857	145854	139755	134867	124912	128602
Lợi ích của cổ đông thiểu số	38807	39554	40302	40302	41049	41796	42543	43290	43290	43857	44604	0	46099	0	0	0	0	42259	0	0	0	0	52859	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	12718	13278	138514	99471	13874	12537	12230	173500	142058	11455	9903	10085	35062	9423	9421	8796	7451	24288	6344	6133	5972	5840	18833	14670	9274	6871
