CAN DOI KE TOAN	 2019	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	54325	61659	53601	33504	23187	23128	33726	48119	29652	27395	28068	30164	23045	20145	19625	19625	24288	20792	19193	20811	22239	23699	33279	29694	35643	35683	33207	36393	32178	24964	38808	39685	44145	60857	30757	30638	29277	24662	19739	30821	30827	22556	24398	19372	17686	17666	26450	24629	20632	19754	19754	9499
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3534	2298	3316	11090	7380	7380	11521	18569	10730	6263	6279	9013	1858	917	1266	1266	784	574	761	1356	1356	735	8276	492	3124	3124	1994	5648	3464	2740	2745	1132	9243	2156	3466	3466	9196	6660	1336	8253	8251	3626	7362	2209	1180	1180	1415	1430	812	237	237	182
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	1023	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	31592	31427	17541	8414	8510	8386	8097	16237	6846	13730	13730	12301	12884	11391	5854	5854	11509	11929	11137	11010	11460	10746	11455	18553	21299	21378	15761	13617	8287	12619	22269	16254	19570	15636	14323	14204	10283	8991	11390	16805	16814	12601	10692	9618	7050	7033	15714	14201	14443	15483	15483	5702
Hàng tồn kho###Inventory	18182	24533	20439	11611	6203	6268	11711	11159	10538	7124	7780	7954	6823	6064	11136	11136	9886	5696	5818	6296	7274	9290	10420	6952	6443	5339	9244	9631	7892	6951	9856	13328	6729	10647	8232	8232	5584	5048	4735	4387	4387	4440	4612	6089	8250	8250	8118	6827	4081	3570	3570	3099
Tài sản ngắn hạn khác###Other Current Assets	1018	3401	11282	2089	794	794	2097	2154	1538	279	279	896	1480	1772	1369	1369	2109	2593	1477	2149	2149	2928	3127	3697	4777	5842	6208	7497	12535	2653	3938	8971	8604	7417	4735	4735	4214	3963	2278	1376	1376	1887	1733	1457	1206	1203	1203	2170	1296	463	463	515
Tài sản dài hạn###Non-current Assets	51123	38384	41991	46903	45217	45245	45313	46675	47777	48044	51104	53736	62030	62188	64600	64600	65773	68093	69964	71364	76476	84631	84683	86791	87690	87427	85267	84963	83368	92679	90084	89257	93499	74159	69386	69386	67585	65946	63183	59150	59150	55581	47311	42607	43546	45396	40872	37815	36164	37279	37279	38089
Các khoản phải thu dài hạn###Long term Account Receivable	16071	3661	3598	3417	3297	3297	2297	2297	2297	1797	1797	297	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182
Tài sản cố định ###Fixed assets	27171	31072	34586	37638	37009	37004	37856	38837	39833	40823	40820	40299	41775	41955	45455	44210	45461	46759	48349	50858	50880	57146	57909	59562	61036	60738	59472	59254	61227	60790	70890	70557	74406	70348	42629	65509	63979	62941	59962	56287	56287	52898	45496	40935	41874	41874	37100	33972	32810	33818	33818	35024
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-61238	-57293	-53132	-49848	-49935	-49750	-48903	-47925	-46934	-45949	-45952	-44934	-44579	-43505	-42523	-42523	-41477	-40384	-39583	-38481	-38488	-38926	-37665	-37608	-36340	-37205	-35952	-34882	-33659	-35346	-35015	-33773	-32888	-31976	-31500	-31500	-31879	-31082	-30635	-29705	0	-28623	0	0	-26522	0	0	0	-23246	-22155	-22155	-19366
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2594	-2594	-2394	-2194	-1993	-1793	-1793	-2138	-1937	-1737	-1537	-1537	-1337	-1137	-937	-736	-736	-536	-336	-134	0	0	0	0	0	0	0	-353	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-570	-552	-535	-521	-517	-517	-512	-508	-503	-499	-499	-494	-490	-485	-481	-481	-476	-472	-467	-463	-463	-458	-454	-449	-444	-444	-437	-430	-423	-416	-416	-409	-402	-395	-388	-388	-381	-374	-367	-360	0	0	0	0	-332	0	0	0	-310	-303	-303	-276
