CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	616939	664517	640141	517810	638871	665831	498815	522267	522267	522811	520008	604151	630338	630338	842827	821283	953708	923454	923454	839017	804010	797723	778516	598539	490659	446693	428034	428034	438596	398745	380249	373437	379825	386844	371440	359284	327850	327850	332283	297212	318551	280863
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18924	90346	55548	46134	55376	78282	35492	66383	66383	70118	24258	48986	40032	40032	149162	234020	277806	230410	230410	74742	114088	127628	92788	271047	78928	16466	14202	14202	8426	5570	28642	27110	18110	22796	25184	17254	30066	30066	25999	13609	45200	40931
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	165947	181066	90947	65947	60947	50947	10947	10947	10947	10947	10947	10947	10947	10947	30947	40947	150947	170947	170947	290424	327424	297424	317424	0	0	9156	9156	9156	9156	9156	9156	9156	18156	9156	9156	29911	44874	44874	29156	9156	8646	3800
Các khoản phải thu ngắn hạn###Short term Account Receivables	130411	148436	162457	156221	171998	207507	167465	152079	152079	151411	169762	254755	292430	292430	394151	286192	304899	300908	300908	251282	134101	142470	133962	103942	163112	154907	135215	135215	129630	112637	127754	115935	122323	121550	107260	113662	96304	96304	116716	80330	96717	75267
Hàng tồn kho###Inventory	292083	236499	249419	246582	268576	248246	208373	221413	221413	219488	243730	220252	221031	221031	222882	224081	206399	209548	209548	217085	217752	227565	231150	213409	241677	251745	257064	257064	276192	253522	202473	208145	208145	219709	220868	190313	152857	152857	151160	182544	161737	151695
Tài sản ngắn hạn khác###Other Current Assets	9575	8170	81770	2927	81974	80850	76537	71445	71445	70848	71311	69213	65898	65898	45685	36044	13657	11642	11642	5484	10644	2636	3192	10140	6942	14420	12398	12398	15193	17859	12224	13091	13091	13634	8972	8143	3749	3749	9253	11573	6250	9170
Tài sản dài hạn###Non-current Assets	818133	821770	824724	928065	830674	790996	785464	753426	753426	756344	753935	688430	670280	670280	385399	378918	223647	226200	210730	113997	112798	112213	112887	165744	160993	134263	133241	133241	138281	135622	134745	132483	132483	118803	115993	118084	119533	119533	111070	104265	67202	42146
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	608149	613074	52523	52523	52847	49228	50106	52141	52141	54920	55608	57984	60780	60780	62814	64387	67239	70598	70598	72219	74395	74234	75778	112785	124875	109763	108741	108741	111147	108488	107935	105673	105673	102113	99303	101394	102843	102843	95980	89175	48612	33656
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-223265	-215814	-208405	-208286	-205746	-203389	-201030	-198489	-198489	-195720	-193317	-191942	-188996	-188996	-185784	-182528	-179215	-175679	-175679	-173143	-169502	-166037	-162536	-148411	-133577	-109409	-106469	-106469	-102730	-99174	-95557	-94386	-94386	-91323	-89263	-85945	-82640	-82640	0	-71366	-60715	-53657
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3215	-3077	-2939	-2939	-2800	-2708	-2705	-2695	-2695	-2685	-2675	-2665	-2655	-2655	-2645	-2635	-2628	-2628	-2628	-2628	-2612	-2587	-2563	-5798	-5137	-3574	-3361	-3361	-3094	-2828	-2562	-2295	-2295	-2029	-1762	-1496	-1229	-1229	0	-213	0	0
