CAN DOI KE TOAN	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	792329	709664	670838	711609	704031	635014	619945	658790	669066	629067	668344	619922	341152
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19858	16836	16750	15385	13776	18629	16592	16605	21563	27543	21770	64476	21366
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	738	738	599	695	695	695	695	733	668	668	658	620	4472
Các khoản phải thu ngắn hạn###Short term Account Receivables	753614	673420	634701	678227	670741	589021	571824	610482	609457	572871	604122	532527	278705
Hàng tồn kho###Inventory	7360	7113	7293	6634	7382	8529	8017	8056	9331	8786	8654	9546	10010
Tài sản ngắn hạn khác###Other Current Assets	10759	11556	11495	10667	11436	18139	22817	22913	28048	19199	33139	12753	26599
Tài sản dài hạn###Non-current Assets	1232673	1289345	1356786	1325571	1347546	1633422	1685844	1696133	1635845	1634020	1708650	1429638	1454677
Các khoản phải thu dài hạn###Long term Account Receivable	128046	117924	185051	94059	72887	91090	77543	88584	65996	79511	80271	53494	140
Tài sản cố định ###Fixed assets	870831	934717	933031	989025	1026188	1269563	1312435	1312016	1262344	1268224	1325669	1060798	1093871
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1008261	-982093	-984104	-972015	-960587	-1091994	-1049049	-1049055	-997131	-940863	-815191	-641506	-555029
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-6446	-5372	-5372	-4299	-3227	-2156	-1279	-2251	-7119	-6189	-20748	-32410	-20873
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-79	-79	-79	-227	-223	-219	-215	-215	-210	-206	-198	-181	-164
Lợi thế thương mại	539	623	0	1453	2640	4029	5283	5283	6536	7790	10297	15310	0
Bất động sản đầu tư ###Real Estate Investment	169475	170502	170502	171529	172532	173524	174515	174515	175507	176499	178482	182448	186414
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	40432	40432	40432	40432	40432	57058	57058	57058	57058	57058	57058	57058	105273
Tài sản dài hạn khác###Other long term assets	23164	25662	27068	30270	29671	33877	38491	39165	37204	41728	49170	56948	43547
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2049486	1999009	2027624	2037180	2051576	2268435	2305790	2354923	2304911	2263087	2376994	2049561	1795829
Nợ phải trả ###Liabilities	1479031	1432613	1461789	1495029	1488952	1697923	1748685	1797402	1734308	1691949	1816586	1488025	1251273
Nợ ngắn hạn###Short term Liabilities	596336	462051	416565	378743	438037	432009	515338	571473	400793	447643	576031	476002	437400
Nợ dài hạn###Long term Liabilities	882695	970561	1045224	1116285	1050914	1265915	1233347	1225929	1333514	1244306	1240555	1012023	813873
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	570455	566396	565835	542151	562625	570512	557105	557520	570603	571138	560407	561536	534501
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	570455	566396	565835	542151	562625	570512	557105	557520	570603	571138	560407	561536	534501
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	10055
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	220276	1038985	236214	229827	226154	299112	1119973	280922	292178	270257	1075929	1092783	1027962
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	3916
Doanh thu thuần###Net Sales	220276	1038985	236214	229827	226154	299112	1119973	280922	292178	270257	1075929	1092783	1024045
Giá vốn hàng bán###Cost of goods sold	188820	914458	185963	211699	201982	270445	1012814	255265	266836	249364	965540	956189	845478
Lợi nhuận gộp###Gross profit	31456	124527	50251	18128	24172	28668	107158	25658	25342	20893	110389	136594	178567
Doanh thu hoạt động tài chính###Financial activities Revenues	3667	15224	3217	2406	5595	3029	17385	4197	3962	4608	32955	25583	12742
Chi phí tài chính###Financial Expenses	7859	52231	7769	8371	18480	13867	57970	13964	14186	14724	52081	65811	78409
Chi phí bán hàng###Selling Expenses	8663	50384	16244	8090	14773	6230	21090	3018	7560	3966	19025	19211	28920
Chi phí quản lý doanh nghiệp###Managing Expenses	23586	90910	24018	18984	21065	24029	90046	24034	21554	18814	85569	82283	74773
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-4984	-53774	5436	-14910	-24551	-12429	-44563	-11161	-13996	-12005	-13331	-5128	9207
Thu nhập khác###Other incomes	16065	115594	19803	26120	34992	22730	85580	24073	21640	26346	64559	75486	149660
Chi phí khác###Other Expenses	3674	8545	2275	3166	1906	1392	7045	1613	4502	431	7617	6228	89235
Lợi nhuận khác###Other profits	12391	107049	17528	22953	33086	21338	78536	22460	17138	25915	56942	69258	60425
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7407	53275	22964	8043	8535	8909	33972	11298	3143	13910	43611	64130	33317
Chi phí thuế TNDN###Corporate Income Tax Expenses	2249	12069	4521	1752	2601	2372	8636	2908	1202	2371	13930	15582	8948
Chi phí thuế TNDN###Corporate Income Tax Expenses	2249	12184	4521	1752	2816	2372	9526	2967	1521	2631	10019	16393	15401
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	-114	0	0	-215	0	-890	-59	-319	-259	3912	-811	-6453
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6010	42850	19389	6869	6256	6911	27435	8391	1940	11538	30634	49980	24368
---Cac Chi So Tai Chinh---													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.40	2.70	2.70	3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
