CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	30910452	30121860	35011897	35011897	26686795	27617537	25629416	23371995	23389570	20874018	19674746	18987675	18862861	18864165	13167690	11577310	11359327	12288439	12288285	8258017	6584884	6779189	6176432	6176432	3930699	3258606	3031358	2837687	2837687	2415164	1855811	1770999	1909085	1909085	1281019	1281019	1239542	526391	294994
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2166228	3273375	3115237	3177237	3697191	3292659	2839160	3749550	3749550	5069778	2904599	2344358	3410983	3410983	2931922	1519018	825897	996983	996983	573679	596043	428430	343873	343873	468563	395471	234503	212921	212921	418556	303111	172974	304734	304734	104831	104831	79997	28546	29526
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8712400	3800000	3137000	3075000	4275400	6133400	3830000	50922	50922	659851	663002	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1286575	1443027	1815086	1815086	1247265	1309517	1919078	1542530	1560105	1505154	1433869	1730824	2765848	2774789	1149225	1080675	997318	1410643	1410488	863782	657958	545037	636323	636323	427146	328508	339457	296736	296736	298254	289923	237968	247311	247311	159814	159814	201550	129759	65232
Hàng tồn kho###Inventory	18076175	20958929	25745428	25745428	16989974	16424089	16612706	17446005	17446005	13304861	14275184	14417399	12050163	12050163	8801879	8750916	9236858	9370732	9370732	6501392	5083297	5578492	4932685	4932685	2910928	2429743	2352095	2195306	2195306	1625425	1218054	1316578	1288950	1288950	951564	951564	877100	339828	188467
Tài sản ngắn hạn khác###Other Current Assets	669075	646528	1199146	1199146	476966	457872	428473	582987	582987	334373	398091	492526	635867	628230	284665	226701	299254	510081	510081	319164	247586	227230	263552	263552	124062	104883	105304	132724	132724	72929	44723	43479	68090	68090	64810	64810	80845	28257	11769
Tài sản dài hạn###Non-current Assets	7435889	6748073	6696199	6696199	5666604	5149289	4775764	4750537	4750537	4672414	4667943	4671211	3959803	3949263	3464803	3073701	2748054	2565824	2518202	1918314	1409730	1185714	1089330	1089330	883178	763606	634396	569513	569513	433025	378653	316380	322791	322791	313805	313805	296580	73171	26268
Các khoản phải thu dài hạn###Long term Account Receivable	397366	384747	374564	374564	352289	330667	316758	313776	313776	310311	303036	302365	242116	242116	227566	201376	191799	179685	179685	160053	137722	120385	112464	112464	105276	95099	83552	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	6175419	5538135	5403777	5403777	4478044	3930033	3633050	3333148	3333148	3330858	3418127	3500312	3463658	3463658	3003137	2597567	2302571	2096126	2096123	1557770	1094471	912226	849147	849147	671692	587755	495591	434419	411359	279806	278086	254783	275040	275040	110983	110983	70621	22658	13642
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4663992	-4206872	-3773177	-3773177	-3392785	-3062395	-2761547	-2483403	-2483403	-2242798	-1973794	-1719946	-1396852	-1396852	-1191396	-1012173	-855016	-714678	-714682	-606666	-503016	-423222	-355844	-355844	-297255	-248395	-205803	-170151	-170151	-145419	-120061	-94833	-72667	-72667	-42724	-42724	-16459	-8106	-4822
