CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012
Tài sản ngắn hạn###Current Assets	949433	857135	819550	822254	866743	681651	655190	595149	595206	532734	480776	575562	579226	577016	577304	565078	483253	420103	421674	443865	420533	408711	452088	453484	417293	391325	135874	135874	44445	44445	23297	23297
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	62214	10619	13899	13899	114816	15499	19556	6122	6122	22657	18020	4091	3211	3223	14117	5060	35100	17338	17337	13577	18834	19499	30051	30131	39195	13975	21360	21360	4045	4045	19	19
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5321	5000	5000	5000	5000	5000	3000	0	0	0	0	0	0	0	0	33000	33000	33000	33000	33000	33000	33000	33000	33000	0	144061	0	14758	9609	9609	7486	7486
Các khoản phải thu ngắn hạn###Short term Account Receivables	645907	627313	624920	618963	554687	487806	500012	485770	485768	393279	339165	460732	486485	477119	477175	445325	345558	309960	310652	327060	290791	287151	335629	334335	333229	177124	99956	75347	11063	11063	14620	14620
Hàng tồn kho###Inventory	202010	178904	147381	156073	170875	145368	109297	83061	83061	96626	102342	68868	53064	59469	56395	56789	44404	37867	38810	51656	54097	43643	33814	36427	31030	33221	11242	11242	6071	6071	27	27
Tài sản ngắn hạn khác###Other Current Assets	33982	35300	28350	28319	21366	27979	23326	20196	20256	20172	21250	41871	36466	37205	29617	24904	25191	21938	21874	18571	23811	25418	19594	19591	13839	22944	3317	13168	13656	13656	1144	1144
Tài sản dài hạn###Non-current Assets	540245	450659	451983	452339	433443	434484	435037	460619	460474	464996	450939	326616	292563	301766	224698	208080	204186	200191	198785	176493	149124	141127	99286	97146	105017	104075	39380	39380	38534	38534	25797	25797
Các khoản phải thu dài hạn###Long term Account Receivable	1400	1400	1400	1400	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	347936	353714	359186	359382	364736	369363	374112	379238	379238	361388	115918	113338	120758	120758	114823	114769	112693	89264	106157	33829	25890	68885	27863	27863	27340	25745	21665	21665	28265	28265	22396	22396
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-51438	-47073	-42039	-42040	-36772	-31525	-26375	-21036	-21036	-11096	-8146	-7247	-14711	-14711	-13589	-12049	-12252	-10722	-10722	-9538	-8493	-7505	-6517	-6517	-6255	-5355	-7433	-7433	-7603	-7603	-5696	-5696
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3391	-3011	-2632	-2667	-2276	-1884	-1493	-1113	-1113	-246	-68	-62	-56	-56	-51	-45	-39	-33	-33	-28	-22	-16	-10	-10	-5	0	0	0	0	0	0	0
Lợi thế thương mại	960	1014	854	854	960	960	0	0	0	0	0	0	0	7888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	140657	48537	48070	48264	43192	39415	36301	58236	58147	58789	58372	59314	51349	51895	54813	57881	57800	57994	57548	56985	54606	53922	53985	51793	55791	55676	15270	15270	9100	9100	2800	2800
Tài sản dài hạn khác###Other long term assets	25039	24588	25349	25321	22041	23060	19153	18925	18869	18293	18050	18236	18828	26717	18851	18883	19950	20445	19484	16480	16520	15076	15571	15571	20176	19362	597	597	241	241	71	71
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1489679	1307795	1271533	1274592	1300186	1116136	1090228	1055768	1055680	997730	931714	902178	871789	878782	802002	773159	687439	620294	620458	620357	569657	549838	551374	550630	522310	495400	175255	175255	82979	82979	49093	49093
