CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	623270	618571	583479	589675	606793	579782	556274	554917	555371	590937	562243	414580	312163	343908	337924	342703	338878	299866	296256	308065	326540	261157	255575	263651	295349	294582	215274	244516	245997	243870	231542	215559	236572	199848	223365	272842	257317	271046	271039	249537	257659	291315	294189	294012	370313	276643	278878	218197	223184	206682	220154	172727	146806	146380	183293	180252	133894	120805
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	15459	15849	11640	17131	7460	10390	7499	18784	18784	6873	11925	11065	11836	11836	5791	5835	5217	8546	8499	6022	6882	3628	7402	7563	16821	12979	4109	4092	3863	5387	6705	4583	2943	2713	1855	2234	5982	3960	3120	4360	2492	4304	6627	6627	46533	593	21525	7025	7024	22613	21919	21956	20147	20147	4651	3156	2566	5177
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	36764	36764	38384	32884	44252	44120	43008	39983	39983	38000	38000	8000	0	0	827	827	827	827	827	0	0	280	280	0	280	10524	1024	744	1254	1318	1318	0	0	230	230	230	0	0	840	0	0	0	0	0	0	0	0	3000	3000	0	0	0	12321	12321	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	271017	274685	222274	227237	268804	242854	213201	199525	200037	226797	184143	205694	137641	168908	144561	142715	115333	134001	131042	146334	149941	141454	145401	153257	176009	170061	135984	136343	137694	130901	121659	113239	120126	83332	105258	142750	136859	132592	152732	120832	122429	108572	94576	85505	99830	103933	70075	81781	81781	47935	55945	47601	37145	36795	66815	55739	19966	29779
Hàng tồn kho###Inventory	295729	286325	304134	306177	280678	277140	284185	285850	285794	305657	312561	185377	160381	160923	184839	191073	210635	152757	152152	151597	163639	109494	101037	101377	100045	98443	71990	81371	81221	75922	71667	73697	88908	88976	90117	99160	87360	89034	89037	97074	102367	125596	139779	139782	138703	141913	147835	111290	115749	125401	130911	93214	73248	73122	109601	118320	109900	77591
Tài sản ngắn hạn khác###Other Current Assets	4301	4948	7047	6246	5599	5277	8382	10776	10774	13610	15614	4444	2305	2241	1905	2253	6866	3736	3736	4113	6076	6301	1455	1455	2195	2574	2166	21966	21965	30343	30193	24040	24595	24597	25905	28468	27117	45459	25309	27272	30372	52842	53207	62098	85246	30204	39443	15100	15629	10734	11379	9956	3945	3995	2226	3038	1461	8258
Tài sản dài hạn###Non-current Assets	50370	57300	55833	55888	61646	59405	58390	58885	58780	60315	60684	51296	48641	48654	39991	41106	41417	41844	41947	37648	37087	27020	28071	28072	28822	29953	42907	30189	29928	31638	32776	36002	33997	70789	72860	74745	76884	78923	78916	135541	183656	154924	163486	159784	94913	94843	57131	58423	58372	59305	61518	63737	64772	64893	51927	48864	52665	48266
Các khoản phải thu dài hạn###Long term Account Receivable	849	1014	1014	1014	1012	790	790	790	290	500	500	467	252	252	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	27297	28147	28462	28462	28595	30006	27884	29147	29748	30985	31661	27080	26999	26999	19297	20354	21395	22275	22275	20243	21265	21932	23052	23052	23795	25038	24956	25169	25167	26842	27922	31612	29670	29670	31545	33487	35608	37608	37608	39603	41668	43724	45838	45838	47956	50111	52248	53508	53508	54283	56399	58421	59553	59553	46347	48024	51302	46487
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-88066	-87026	-85958	-85958	-84904	-83518	-82275	-81037	-81000	-79789	-78562	-77295	-76090	-76120	-74995	-74092	-73035	-72178	-72178	-71198	-70176	-69092	-68003	-68003	-66750	-65507	-64279	-63108	-63110	-61435	-60114	-57500	-57169	-57169	-55295	-53354	-52291	-50256	-50256	-48185	-46106	-44016	-41907	-41907	-39807	-37657	-35498	-33348	-33348	-31241	-29132	0	-24950	0	0	0	-18183	0
