CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	812574	864720	801567	798970	862675	898031	846177	773463	755828	778145	836352	824210	732823	735588	791622	591989	752163	537684	538739	617566	681632	632176	531348	531854	670049	690562	450910	302991	293911	591783	458771	481191	396698	362451	427811	492809	493828	364253	294230	536307	483939	382203	309481	302372	335204	392999	352941	330048	374112	193732	214697	308301	149714	149714	176024	309117	259442	262853	247904	268852	214299	236332	166914	166914	170009	179898	164453	120362	122287	149307
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3041	3633	3430	3433	6190	2929	2573	3330	3330	4237	2815	2992	2980	2980	3167	3625	3231	2549	2549	3623	3212	2788	3979	3959	6289	7830	73230	9098	9121	116762	59507	24539	7212	7226	7534	23429	53075	8713	9508	5162	6231	7659	5157	5157	22367	33979	27843	14366	14366	28264	11916	56990	11307	11307	27130	79410	50957	14977	14977	74935	54379	40017	10798	10798	16065	29616	27665	9844	9844	6072
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	41713	77585	9577	11971	57398	100297	143428	133526	135715	119712	197696	216315	179445	184506	212625	152469	354815	216991	218045	263270	264631	325679	217396	218152	268598	147846	34629	57208	57104	254018	133070	237109	273729	239440	294543	318674	299981	258441	128092	290298	148924	194152	193410	184373	81998	101654	121336	184644	225749	76324	73472	146123	25326	25326	89221	96259	68013	125952	112391	124188	40518	86178	79355	79355	54212	65347	71545	54338	55036	75610
Hàng tồn kho###Inventory	756455	760456	729074	728972	762663	769380	684596	617726	602404	641144	632208	599845	540505	540405	573575	424281	389366	300885	300885	350615	411403	301379	288308	287656	394659	531141	316406	202024	195972	215915	263544	217424	114567	114595	121825	146754	140010	96430	155960	239722	328167	179856	110364	110517	226374	256346	203219	130758	133718	71583	116494	100144	98604	98604	52356	127811	136857	115778	114469	69484	116905	109673	76548	76548	96417	83485	64594	54452	54452	66668
Tài sản ngắn hạn khác###Other Current Assets	11365	23046	59485	54595	36425	25425	15581	18881	14379	13051	3633	5058	9893	7696	2255	11615	4751	17260	17260	58	2386	2329	21666	22087	503	3744	26644	34662	31714	5088	2650	2119	1189	1189	3909	3952	762	669	669	1124	617	536	549	2325	4465	1020	543	279	279	17560	12815	5044	14478	14478	7318	5638	3615	6145	6067	244	2497	463	212	212	3314	1450	650	1728	2955	957
Tài sản dài hạn###Non-current Assets	2773888	2766624	2800849	2808276	2348539	2384633	2402207	2360262	2364296	2286655	2093240	2084978	1975482	1979028	1796118	1759530	1352353	1358471	1359225	1118487	1039492	989341	945850	947833	858246	825939	871828	840914	862248	861631	823553	824680	776760	778478	676563	684993	700111	715938	747407	659447	645493	649151	671242	670261	631124	564315	579995	623645	622779	630418	584750	612117	612149	612149	596027	497792	488459	517090	529312	346748	378955	374398	394481	394481	404020	395210	418781	395656	395656	347937
Các khoản phải thu dài hạn###Long term Account Receivable	77055	76060	75640	74415	74415	72677	71713	71160	70089	70089	70089	69059	68519	68519	67522	67522	66520	65990	66126	65332	64991	63925	56452	56312	55855	55855	55084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13561	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1645325	1686237	1470315	1468503	1321911	1380842	1434727	1499900	1502098	878974	743098	734113	726602	726602	728898	765676	685814	709575	719600	84207	76270	96945	110509	110677	158875	196382	255663	751770	277374	357084	395775	733631	685538	688790	618539	621865	640174	548710	688894	643732	635458	645127	585217	660197	624595	552071	567974	559266	602453	615943	569372	597654	594035	594035	579745	482276	472114	498597	497489	333913	368462	367975	388334	388334	385545	376591	397720	391863	391863	341529
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1758935	-1772963	-1695827	-1695887	-1697935	-1606129	-1509279	-1414873	-1412675	-1302631	-1245724	-1188268	-1157272	-1157272	-1163124	-1185539	-1185532	-1211269	-1210216	-1200521	-1199941	-1210995	-1246263	-1246095	-1202890	-1169390	-1111972	-1096394	-1097243	-1037791	-1000100	-978957	-988899	-987701	-926960	-900512	-876449	-845787	-815676	-808868	-786432	-775086	-740347	-741225	-699762	-665745	-681624	-661835	0	-625978	-594578	-565509	-534614	0	0	0	0	0	0	0	0	0	-321420	-321420	0	-282842	-264177	-244762	-244762	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-37520	-35161	-32803	-30444	-30444	-28140	-26042	-24031	-22045	-22045	-20524	-19012	-16555	-14099	0	-11317	-9620	-7923	-6162	0	0	0	0	0	0	0	0	0	-25553	-25553	0	-21142	-19140	-17137	-17137	0
