CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	737753	1295601	959997	961603	600366	993872	1101536	949266	947414	810171	619217	854866	722200	757244	956900	993832	897245	505561	482074	713402	792748	1231440	986676	982441
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	59693	347772	55704	55704	19743	32022	61329	60722	60722	59524	68698	1581	9103	9103	8403	43013	5059	14072	14072	11695	1838	7872	6287	13102
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	579843	817901	793993	793991	491581	837948	926042	788505	788488	652977	426797	718351	612688	683678	861305	898007	786980	433814	410332	652380	721238	1127257	855461	842179
Hàng tồn kho###Inventory	88575	109536	85312	85312	86473	120042	110958	78012	77837	61863	50209	49172	46547	46547	71098	48751	99366	48528	48523	40965	42093	91436	122884	127069
Tài sản ngắn hạn khác###Other Current Assets	9642	20392	24987	26595	2569	3861	3207	22027	20367	35806	73514	85762	53861	17915	16094	4061	5841	9146	9146	8361	27579	4875	2044	91
Tài sản dài hạn###Non-current Assets	5437431	5560180	5696281	5695173	5800348	5882690	6028750	6177163	6178823	6318904	6453535	6568856	6707928	6707928	6911348	7029308	7185416	7232499	6837147	6752980	6831834	7212447	7816378	8441191
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4683720	4801193	4933684	4933837	5066456	5199076	5331675	5464297	5464297	5582362	5714651	5846949	5979270	5979270	6152659	6274241	6416988	6500826	6696248	6631976	6764256	7147128	7693511	8230479
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5476505	-5348064	-5215626	-5215473	-5082908	-4950343	-4817778	-4685210	-4685210	-4552947	-4420700	-4288445	-4156173	-4156173	-3981378	-3859803	-3716691	-3628124	-3432703	-3497145	-3364864	-3096223	-2557018	-2016656
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-619	-569	-515	-515	-461	-407	-353	-299	-299	-256	-214	-172	-130	-130	-99	-92	-88	-88	-88	-88	-88	-88	-88	-73
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	713429	721621	711100	723197	666956	679073	694283	706962	708622	726894	734721	718826	726662	726662	757054	752957	764466	730476	139412	51100	54541	61649	122867	210713
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	6175184	6855782	6656278	6656776	6400714	6876562	7130286	7126429	7126236	7129075	7072752	7423722	7430128	7465172	7868248	8023140	8082661	7738060	7319221	7466382	7624582	8443887	8803054	9423632
Nợ phải trả ###Liabilities	5341704	5957973	5759395	5757065	5586036	5946839	6226705	6232017	6193440	6124103	5965585	6195929	6121687	6147005	6440827	6665064	6626694	6327517	6326332	6546671	6662033	7132620	7217762	7870249
Nợ ngắn hạn###Short term Liabilities	3500836	4017956	3823962	4339459	3433897	3879726	3918758	3870286	3831709	3011924	3178757	2973442	2766164	2791482	2628395	2446942	2300464	1894427	2660458	2203611	2229507	2263957	1286003	1248940
Nợ dài hạn###Long term Liabilities	1840868	1940017	1935433	1417605	2152139	2067114	2307947	2361730	2361730	3112179	2786828	3222487	3355523	3355523	3812432	4218122	4326230	4433090	3665874	4343061	4432525	4868663	5931759	6621308
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	833480	897808	896883	899711	814679	929723	903581	894412	932796	1004972	1107167	1227792	1308441	1318167	1427421	1358076	1455967	1410543	992889	919711	962549	1311267	1585293	1553384
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	833480	897808	896883	899711	814679	929723	903581	894412	932796	1004972	1107167	1227792	1308441	1318167	1427421	1358076	1455967	1410543	992889	919711	962549	1311267	1585293	1553384
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	906428	1173607	4003428	1040350	755440	1113352	1094286	3205297	847268	753708	682836	921485	3640031	1139595	839185	935873	725378	2404714	670195	691497	299207	4054247	4329080	3561038
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	906428	1173607	4003428	1040350	755440	1113352	1094286	3205297	847268	753708	682836	921485	3640031	1139595	839185	935873	725378	2404714	670195	691497	299207	4054247	4329080	3561038
Giá vốn hàng bán###Cost of goods sold	892968	1062975	3661258	872664	791680	1002774	991491	3134404	824489	722981	690300	893005	3273881	1105173	685863	889608	593938	2449235	409409	630558	557621	3514210	3646234	2727192
Lợi nhuận gộp###Gross profit	13460	110632	342170	167686	-36240	110578	102794	70893	22780	30727	-7464	28479	366151	34422	153322	46265	131441	-44522	260786	60939	-258414	540037	682846	833846
Doanh thu hoạt động tài chính###Financial activities Revenues	41	72	1583	-52	938	557	140	615	287	116	181	31	11569	2832	1402	7796	55	32040	-29405	1144	17124	725	3245	8169
Chi phí tài chính###Financial Expenses	68434	100339	318234	79926	71442	81005	85862	448673	83513	124192	104961	102169	443752	137734	75021	138497	80836	-147730	145362	97903	97156	769022	597989	653783
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	9191	9309	40322	13512	7414	9163	7646	33031	8686	8574	8144	6708	35972	8589	9901	13120	3469	31737	11425	6651	7366	33761	44406	34986
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-64123	1056	-14803	74197	-114158	20968	9426	-410195	-69133	-101923	-120389	-80366	-102005	-109069	69802	-97557	47191	103511	74594	-42471	-345812	-262021	43696	153245
Thu nhập khác###Other incomes	197	136	19029	11103	33	5450	22	184	28	30	76	50	1848	127	93	90	86	660	126	160	162	364	4327	2789
Chi phí khác###Other Expenses	401	267	1755	267	920	276	279	4018	3071	303	312	332	1945	312	549	425	1853	4894	1541	527	534	12369	16113	1763
Lợi nhuận khác###Other profits	-205	-131	17274	10836	-887	5174	-257	-3834	-3043	-273	-236	-282	-97	-186	-456	-335	-1767	-4235	-1416	-367	-373	-12005	-11787	1026
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-64328	925	2471	85033	-115044	26142	9169	-414029	-72175	-102196	-120625	-80648	-102102	-109255	69346	-97891	45424	99276	73178	-42839	-346184	-274026	31909	154271
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-64328	925	2471	85033	-115044	26142	9169	-414029	-72175	-102196	-120625	-80648	-102102	-109255	69346	-97891	45424	99276	73178	-42839	-346184	-274026	31909	154271
