CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	104090	93468	104148	92054	97665	111473	104841	127014	124299	130310	134758	122680	120994	114429	100852	106357	109576	118589	119627	111453	111706	102545	107855	107855	106684	132578	163708	160475	160482	157641	144669	159392	155742	155727	143835	146990	162978	178131	154928	135093
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7650	5589	6356	6356	6013	5620	18137	16980	16980	23119	13179	38930	38804	38804	14365	10315	18613	4270	4270	13574	9730	11471	6790	6790	11639	16213	6434	3847	3847	1664	5681	1094	11769	11769	2268	1845	1096	726	3892	19885
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	44500	44509	32509	32509	31229	31229	0	0	0	0	10292	20658	17027	17027	13240	13555	5558	9365	9365	7081	7704	9087	10464	10464	3323	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	45379	37572	59624	47530	56054	71256	75647	102698	99983	78310	88200	43291	54148	47810	65632	75030	76367	93088	94174	79796	83653	69344	75521	75521	75236	95846	134902	134574	134424	130496	111899	131254	117629	117629	114198	115770	134021	149939	124331	86193
Hàng tồn kho###Inventory	5946	5361	5120	5120	3820	2774	10388	6462	6462	28144	22401	18874	9981	9754	7044	6978	8363	10563	10563	10531	10221	12138	13833	13833	16093	19183	21875	21720	21720	24555	25087	25468	25638	25623	25237	27282	27091	26809	26652	28532
Tài sản ngắn hạn khác###Other Current Assets	614	437	539	539	549	595	668	874	874	737	686	927	1034	1034	570	479	675	1303	1254	471	398	505	1247	1247	394	391	497	333	491	926	2002	1576	706	706	2132	2093	770	656	53	483
Tài sản dài hạn###Non-current Assets	37016	38128	39376	39376	40528	41742	42758	43929	43929	44675	46109	45792	43134	43134	44272	45762	44969	46453	46845	41081	36070	30856	31754	31754	17707	19831	20297	21005	21005	21516	22256	22966	23102	23102	23853	24532	25964	26426	25344	20440
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	29157	30292	31436	31436	32624	33812	34061	35265	36477	37854	37641	37439	36261	36261	37605	38950	38056	38708	39321	28743	28581	29437	29862	29862	16453	19284	19987	20695	20695	21419	22143	22888	23006	23006	23737	24469	25268	26005	22417	11120
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-42429	-41294	-40150	-40150	-38962	-37774	-36596	-35391	-35464	-33950	-32435	-30977	-29657	-29657	-28567	-28070	-26734	-25455	-24841	-23786	-24181	-23325	-22480	-22480	-21799	-21198	-20495	-19787	-19787	-19063	-18339	-17594	-16863	-16863	-16131	-15400	-14818	-14082	-11442	-9285
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	-4	-2	0
