CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	123381	116394	123865	143865	77390	62754	55812	54217	54217	48796	51700	55125	47813	47813	40357	35238	27321	22851	22851	41032	45806	59908	44614	44614	32211	38768	42624	24940	24940	19244	18434	23792	26534	26534	28829	29654	42086	37506	37506	31110	25055	22269	29318	29338	40546	42096	34471	44975	44975	31781	29066	24468	18987	18702
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14992	18447	31351	31351	15747	1849	5780	1220	1220	2273	5742	2723	1778	1778	3782	4500	1801	2581	2581	183	1046	644	436	436	6444	4519	3694	2511	2511	386	167	4482	5037	5037	22	12	1473	3949	3949	206	2936	1549	887	887	725	76	942	1407	1407	2887	231	104	11209	969
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	24500	24927	24604	24604	24000	16500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	72428	60245	59588	79588	27132	21516	32176	26228	26228	18490	25810	32044	26185	26185	22279	25474	24398	20270	20270	23780	24272	31851	23587	23587	21234	25171	34484	14743	14743	13958	13113	11643	14216	14216	22875	27426	36231	25627	25627	23726	20434	18921	27674	27694	32488	36955	33020	43568	43568	28400	27780	22679	3937	12521
Hàng tồn kho###Inventory	11156	11486	8322	8322	7925	21694	17855	26769	26769	27757	20148	20357	19850	19850	13764	5264	1122	0	0	17069	20433	25656	17423	17423	3340	6569	2768	5703	5703	2967	3260	6023	5610	5610	4820	2057	4382	7930	7930	7177	1685	1791	748	748	7325	5057	509	0	0	494	1055	1685	3841	5211
Tài sản ngắn hạn khác###Other Current Assets	304	1289	0	0	2586	1195	0	0	0	276	0	0	0	0	531	0	0	0	0	0	55	1756	3169	3169	1193	2508	1679	1983	1983	1933	1894	1643	1671	1671	1112	159	0	0	0	0	0	8	8	8	8	8	0	0	0	0	0	0	0	0
Tài sản dài hạn###Non-current Assets	144745	144097	145256	125256	133983	141626	131641	133425	133425	138891	113633	112564	110409	110409	111860	119699	122339	120855	120855	120633	123051	124845	138572	138572	118007	123281	100921	97178	97178	97615	97230	91126	92176	92176	87888	81139	80421	80818	80818	80215	82176	91622	89140	89140	86296	75204	71345	66728	66728	62555	62873	59158	55036	15967
Các khoản phải thu dài hạn###Long term Account Receivable	20000	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	80705	78647	79362	79362	80644	82365	84018	84930	84930	86409	87825	89439	91058	91058	87734	88948	91641	86406	86406	86837	88201	90062	90929	90929	77552	50898	48748	49297	49297	50079	50927	90894	91944	91944	87608	80859	74021	35501	74418	73815	74276	73622	37500	41450	39207	28114	27633	6665	23016	26743	27061	24383	26661	12467
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-40305	-38691	-37165	-37165	-35780	-34058	-32405	-30775	-30775	-29156	-27540	-25927	-24307	-24307	-22805	-21169	-19886	-18333	-18333	-16471	-15106	-13245	-12378	-12378	-11544	-10747	-11118	-10333	-10333	-9551	-8702	-7877	-7367	-7367	-6635	-5924	-5451	-4890	-4890	-4338	-3786	-3451	-2893	-2893	-2466	-2176	-2139	-1924	-1924	-2244	-1926	-1746	-1592	-901
