CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	30050	29571	26869	26868	26106	23559	32647	29723	29723	29566	27657	26627	26336	32768	28600	23821	20241	23482	23683	40665	43165	43133	58696	58889	50178	53126	40465	40243	45243	41464	41765	41658	40919	40955	37997	37548	38792	37444	37293	37373	38824	45827	46163	46199	43367	42146	39325	44050	44073	45519	39680	24589	28008	28008	24226	22214	17535	19461	19136	22341	24045	19862	19160	19410	16174	14572	16069	14823	8512	7926	6495	12983	11023
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7039	11343	11774	11763	9374	6026	12743	9167	9167	10024	10597	9694	11170	11170	11574	7569	2911	8893	8893	1687	2938	7628	23953	28953	8155	13885	1489	15154	15078	9925	10799	5108	7108	7108	6185	4245	2218	3099	3099	4885	6275	27742	25923	25923	27176	29601	26591	22801	22547	19766	20745	2695	7144	7144	8292	7013	5908	7293	1393	506	1258	1052	1092	1092	1451	1646	1615	1511	1511	1864	1703	8755	3165
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7302	7302	6002	6002	6210	6261	8301	7202	7202	6970	6970	127	127	6877	4136	4096	4098	5703	5703	23708	23968	24202	29550	24555	28471	28747	29582	22368	27368	23617	23617	23659	23659	23659	22182	22182	22146	22146	22147	20171	20171	148	148	148	179	679	748	10048	10048	10089	13389	13391	11891	11891	10365	6365	1658	1658	7459	11849	9046	6410	6715	6680	3982	2982	1678	3500	3500	1500	0	0	5000
Các khoản phải thu ngắn hạn###Short term Account Receivables	1859	2628	2406	2406	2037	1954	2370	2251	2251	3091	2873	1512	1189	1189	2491	1066	975	487	582	7417	4465	3185	2449	2494	4086	3756	5129	1066	1120	4618	2610	4895	3332	3332	2632	3883	3076	2972	2972	3933	2382	6959	7866	7981	4334	5321	6447	5318	5573	11270	2007	3074	3231	3231	1870	3177	2425	1164	1164	3084	10181	9734	8483	8769	8265	7958	8727	6504	227	847	829	734	914
Hàng tồn kho###Inventory	13644	8196	6482	6482	8113	9017	9103	11015	11015	9348	7038	15081	13789	13403	10287	10654	11662	7707	7702	7188	11433	7832	2700	2700	9353	6476	4265	1597	1597	3169	4586	7790	6797	6833	6665	6720	10619	9177	9024	7753	8928	10525	12223	12144	11601	6532	5415	5855	5855	4310	3508	5419	5620	5620	3686	5612	7523	9341	9114	6523	3268	2611	2853	2853	2459	1966	4034	3224	3273	3715	3963	3495	1940
Tài sản ngắn hạn khác###Other Current Assets	206	103	205	215	372	303	130	88	88	133	180	213	61	129	112	437	595	692	803	666	361	286	44	187	114	263	0	58	80	136	153	205	22	22	333	517	734	51	51	631	1068	453	4	4	77	14	123	27	50	83	31	10	122	122	14	47	21	5	5	378	291	55	16	16	16	21	15	83	0	0	0	0	4
Tài sản dài hạn###Non-current Assets	38779	39623	40480	40475	40143	41015	38232	38738	37262	37925	38673	46242	46912	40811	41055	41591	42585	43079	42282	42219	41425	24874	4979	4835	4191	4717	10487	11555	6555	7059	6695	6618	6451	6451	6305	6369	5991	6254	6281	6761	7028	5750	5894	5376	5539	5313	4245	4330	4311	4456	12520	11816	12002	11964	12121	12331	12592	12775	13678	13861	7561	7808	6370	6071	6189	6496	6803	7110	13454	13553	13959	7627	7949
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12
Tài sản cố định ###Fixed assets	10149	10305	10537	10567	10778	11049	11202	11475	11475	11748	12041	12348	12659	13019	13037	13370	13952	14038	14482	12323	12631	1644	1734	1734	1824	2382	2502	3972	5578	6006	5806	5998	5951	5951	5791	5853	5572	5721	5721	5870	6036	4864	4924	4924	5025	5039	4134	4223	4223	4329	12393	11689	11875	11875	12096	12306	12567	12750	13638	13812	7512	7760	6321	6023	6172	6478	6785	7092	13454	13553	13947	7615	7937
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-12814	-12627	-12400	-12402	-12164	-11898	-11629	-11361	-11361	-11092	-10804	-10502	-10195	-10199	-10241	-9913	-9182	-9254	-9257	-8924	-8620	-3351	-3265	-3265	-3180	-3609	-3124	-7778	-7778	-8168	-8222	-8403	-8243	-8243	-9055	-8907	-8904	-8770	-8770	-8637	-8486	-8362	-8264	-8264	-8164	-8073	-8053	-7979	-7979	-7876	-7837	-7674	-7517	-7517	-7352	-7187	-7022	-6856	-6826	-6667	-8033	-7801	-7546	-7546	-7283	-6992	-6700	-6409	-6409	-6117	-6255	-6061	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-270	-265	-261	-261	-256	-252	-247	-242	-242	-238	-233	-229	-224	-224	-220	-215	-210	-206	-206	-201	-197	-192	-187	-187	-183	-178	-174	-169	-562	-547	-532	-517	-501	-501	-486	-471	-456	-440	-440	-425	-410	-395	-380	-380	-364	-349	-334	-319	-319	-304	-618	-603	-574	-574	-517	-461	-405	-348	-197	-182	-167	-151	-136	-136	-121	-106	-91	-75	-75	-60	-44	-29	0
Lợi thế thương mại	4923	5408	5893	5893	6378	6863	3782	4035	2558	2771	2985	3198	3411	3811	3924	4037	4150	4264	4264	4377	4490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	1372	1383	1393	1393	1404	1415	1425	1436	1436	1447	1457	1468	1479	1479	1489	1500	1510	1521	1521	1532	1542	1553	1564	1564	1574	1585	1596	1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	26750	26750	20000	20000	20000	20000	20000	19254	20000	20000	20000	0	0	0	0	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	7258	7918	7930	7909	7961	8551	5605	5827	4351	4730	5175	5676	6024	6313	6529	6722	7072	7520	6916	6940	7142	1677	1681	1537	590	726	1389	976	976	767	587	620	500	500	514	516	419	533	560	891	992	886	971	453	514	274	111	107	88	127	127	127	127	89	25	25	25	25	40	48	48	48	48	48	17	17	17	17	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	68829	69194	67349	67344	66249	64574	70879	68461	66985	67491	66330	72869	73247	73578	69655	65413	62826	66562	65965	82884	84590	68007	63675	63724	54369	57843	50951	51798	51798	48524	48460	48275	47370	47406	44302	43916	44784	43699	43574	44135	45852	51577	52058	51575	48906	47460	43570	48380	48384	49975	52200	36405	40010	39973	36347	34545	30127	32236	32814	36202	31606	27670	25529	25482	22363	21068	22872	21932	21966	21479	20454	20610	18973
Nợ phải trả ###Liabilities	8326	6630	6922	6878	6646	7022	7505	7077	6938	7661	6616	7674	10821	11195	8383	7568	7775	9907	10020	27047	30766	22047	17935	17799	12609	13897	10595	10516	10600	9663	9368	10815	10594	10602	7616	8648	8023	7479	7279	8644	10509	13079	14394	12750	11993	9598	7866	9092	9058	12492	23144	9426	9060	7928	7140	6190	4515	6901	7383	11476	8364	3284	5368	4795	1921	2032	4203	3813	3200	2019	3724	3594	3036
