CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	272459	216744	211227	207742	309608	270564	239435	287668	292048	346501	420360	432222	411659	411525	427757	379164	367253	328480	328310	319201	269806	269742	342006	342034	295807	301168	252868	288254	287545	231887	227165	176124	185581	185776	185724	187028	149336	155006	155040	145589	149542	166234	150291	150211	123325	119097	103645	100938	100691	88062	103881	94708	118681	118681	105936	102655	65057	38168
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	51259	47886	32329	32329	85764	54918	28118	81516	81516	40293	118610	35157	60724	60724	78160	22325	40854	35856	35856	49184	12762	14946	108089	108088	31953	67238	19951	77016	77016	96013	116584	52000	75570	75570	19497	40653	31424	42176	42176	52682	58513	72018	57085	57080	75375	74448	63323	68347	67934	29046	83940	68113	71604	71604	37587	60333	47619	14848
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	62500	62500	112500	112500	112500	146000	166000	130432	130240	130240	96259	90259	82508	82508	82508	96300	81503	71500	71500	71500	15000	15000	45000	45000	45000	106180	96060	66060	66060	66060	45000	45000	45000	45000	45000	0	5000	0	0	0	35000	0	0	25000	25000	45000	20506	506	13000
Các khoản phải thu ngắn hạn###Short term Account Receivables	150919	95368	102610	102769	143040	142385	130479	122019	126417	160655	122224	137050	75626	76511	48621	46070	53015	27852	27404	30398	27062	27504	14521	14521	25907	11865	20647	12270	14806	19317	18494	16823	15169	15170	16026	16181	14899	12476	12781	11355	11108	14020	11700	11873	17910	16078	24396	18142	18316	15606	11915	13373	14082	14082	14944	17335	11945	8388
Hàng tồn kho###Inventory	66260	66554	71363	69941	65973	68211	75828	82734	82734	79562	113172	142557	160948	161296	153566	141956	140740	133937	133530	141396	137337	138624	136033	136033	140074	138489	134443	122015	121207	98391	73953	59017	46394	46394	40854	31135	34288	31154	30949	32832	30597	31324	33366	33134	27312	20498	14892	13343	13402	7162	5308	9602	6294	6294	7091	3407	4543	1877
Tài sản ngắn hạn khác###Other Current Assets	4022	6936	4925	2703	14830	5051	5009	1399	1380	3491	3853	4958	1862	494	1409	2814	2212	595	1281	1965	2386	6161	855	884	1574	2073	6328	5453	3016	3166	3134	3284	3448	3641	3167	2999	2666	3140	3073	3720	4325	3871	3140	3123	2728	3072	1034	1107	1039	1247	2718	3620	1701	1701	1315	1074	444	55
Tài sản dài hạn###Non-current Assets	177714	177189	175725	174441	160646	163376	164090	159317	155441	155046	157669	156843	157669	157669	152549	158044	162389	165964	166273	171832	177388	185092	57901	60503	58070	58963	58003	58763	59628	60086	59922	54310	55404	52376	54139	56814	62687	65255	69629	67591	71129	73039	76022	75743	66961	63806	57075	58297	58297	56473	53192	53516	44129	44129	44740	40007	36583	26855
Các khoản phải thu dài hạn###Long term Account Receivable	6415	6415	6180	6180	6180	6180	6180	5962	5962	4627	4627	4421	4421	4421	4421	4421	4421	3783	3783	3783	3783	3783	3178	3178	3178	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	32040	32258	33344	33382	16856	17725	17850	16526	16526	17338	14962	15715	16467	13209	13534	14106	14492	14766	14766	15332	15894	16694	17504	17506	17103	17907	18739	19615	19615	20593	21622	16463	17207	17239	18502	19360	24669	21662	25091	23009	24364	23972	22172	25538	17455	16044	16047	15372	15454	16076	16766	16101	16793	16793	16809	11384	12149	11907
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-37702	-36659	-35616	-35579	-35256	-34541	-33852	-33216	-33216	-32653	-32119	-31579	-31040	-31040	-30500	-29960	-29400	-28874	-28874	-28280	-27695	-27091	-26478	-26478	-25861	-25250	-24612	-23929	-23929	-23145	-22309	-21326	-20349	-20352	-19146	-18310	-17864	-16590	-16590	-15302	-14005	-13095	-12188	-12972	-12002	-10581	-9880	-9178	-9178	-8476	-7775	-7140	-6419	-6419	-5654	-5592	-4510	-2099
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
