CAN DOI KE TOAN	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	5523	4441	4975	5947	5970	5263	7373	5655	7485	7485	6956	12639	7644	9714	9572	7553	9549	9563	11417	13033	10775	9009	8960	11834	11929	10244	7785	8846	16749	15777	10179	13077	15490	13274	13274	11648	19594	35648	40856	41185	19326	19273	16176	22408	24282	18042	17697	14782	20055	20055	17937	20492	17592	14994	14804	9835
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5522	4223	305	1422	1422	1197	280	1919	659	659	2093	2087	1310	1674	1674	1979	2111	3509	3884	3884	2281	464	1827	2241	2241	1554	3421	3518	9004	9004	1922	3361	4093	4322	4322	1942	10456	28519	24280	24513	4609	5273	3464	1786	1759	4422	3208	625	1295	1295	2866	1832	1304	1544	1543	1628
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	1606	1606	1606	1606	1606	1606	1606	1606	1606	2106	1606	1606	5000	5000	5000	5000	5000	5000	5000	5000	5000	5106	5106	5106	5106	5106	5106	5106	5106	5106	5106	5106	5106	1606	1606	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	0	218	4530	2443	2468	2512	1349	2399	3259	3259	3314	3047	4423	5247	5236	681	2980	2666	4087	4097	2071	3203	4017	5795	5889	4385	2153	2141	2087	2127	2005	4019	2573	2620	2620	1562	632	453	5675	5808	8127	7134	3768	7763	8680	4878	6844	3788	6900	6900	5408	8191	4468	6640	6482	6423
Hàng tồn kho###Inventory	0	0	83	2025	2024	1555	5744	1337	3567	3567	1545	7498	1879	2475	2333	4273	3867	2777	3221	3221	4545	3634	1427	2166	2166	2612	519	1458	3813	2286	4567	3991	3654	1326	1326	3084	3429	1659	5854	5790	1564	1640	3710	7691	8676	3536	2419	5111	6713	6713	4468	5275	6583	5066	5046	1768
Tài sản ngắn hạn khác###Other Current Assets	1	0	57	57	57	0	0	0	0	0	4	7	33	318	330	619	590	611	225	225	273	102	84	26	27	87	86	123	240	254	79	100	170	6	7	62	77	18	48	74	27	121	128	62	62	101	119	152	41	41	89	88	131	138	126	17
Tài sản dài hạn###Non-current Assets	56483	56902	59049	67129	66851	67397	67820	68255	68743	68835	69396	69930	69421	69598	69662	69996	70476	70632	69514	67908	68323	68755	68823	68231	68455	68450	68829	68125	68524	68795	68895	69304	68829	68084	68084	67469	67539	66464	66141	66032	64914	64505	63415	61763	61289	59960	55953	52304	50858	50858	50163	10404	10090	9128	9118	9949
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	3	3	3	3	3	3	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	311	731	2799	3018	2886	3261	3525	3861	4198	4276	4618	4973	4492	4489	4489	4717	5053	61350	60733	60733	61041	61368	62695	5931	62102	62098	62476	61772	6001	62871	62971	63380	62905	5822	62160	61545	61615	60540	60217	60108	58990	58581	57491	55839	55589	54412	52241	51344	50858	50858	50153	10393	10080	9118	9118	9949
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-6340	-6885	-12885	-13274	-13274	-13041	-12787	-12461	-12135	-12057	-11697	-11353	-11113	-11065	-11065	-10779	-10454	-10132	-9849	-9849	-9551	-9622	-13398	-13025	-13025	-12641	-12253	-11874	-12371	-12237	-12137	-11525	-11118	-10790	-10790	-10426	-10955	-10601	-10277	0	0	0	0	-11074	0	0	0	0	-9261	-9261	0	0	0	-7332	-7332	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	-162	-152	-284	-142	-132	-122	-112	-112	-98	-88	-81	-71	-71	-61	-51	-41	-31	-31	-20	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	7790	7790	7735	7735	7735	7735	7735	7735	7735	7735	7735	7735	7735	7735	7735	7735	6129	6129	6129	6129	6129	6129	6129	6129	6129	6129	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	5548	3712	960	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	79	147	0	227	386	485	637	651	869	1049	1024	1200	1268	1373	1518	1547	1046	1046	1153	1258	0	0	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	0	0	0	0	0	0	10	10	10	10	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	62006	61344	64024	73077	72821	72660	75193	73910	76228	76321	76352	82570	77066	79311	79234	77549	80026	80195	80930	80941	79098	77763	77784	80065	80384	78694	76614	76971	85274	84572	79074	82382	84318	81358	81358	79118	87134	102112	106997	107217	84240	83778	79591	84171	85571	78002	73650	67086	70913	70913	68101	30895	27682	24122	23922	19785
Nợ phải trả ###Liabilities	30379	27373	32089	41400	41400	38395	41046	40111	42715	42803	43045	49330	40475	42407	42608	41754	44956	42123	43361	43253	42593	42090	37606	40399	42070	41813	41461	38632	47670	47293	43003	48748	48795	46593	46593	45768	54072	67673	84347	84228	62700	63492	60030	65545	67025	56685	53483	48111	48394	48362	47264	11321	7515	4376	8015	3820
Nợ ngắn hạn###Short term Liabilities	4632	1402	6342	15653	15653	12648	15299	14364	16968	17051	17293	23579	14723	16660	16861	16002	19204	16376	17614	17506	16846	16343	11859	14652	14724	14342	13977	11174	20197	19820	15563	15327	15391	13202	13202	12421	10726	18508	35167	35048	8500	9236	6648	13109	14302	5586	26518	14175	14461	14428	13359	11215	7411	4257	8015	3702
Nợ dài hạn###Long term Liabilities	25747	25971	25747	25747	25747	25747	25747	25747	25747	25752	25752	25752	25752	25747	25747	25752	25752	25747	25747	25747	25747	25747	25747	25747	27347	27471	27484	27459	27473	27473	27440	33420	33404	33392	33392	33347	43347	49166	49180	49180	54200	54256	53382	52435	52723	51099	26964	33936	33933	33933	33905	105	104	119	0	117
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	31627	33971	31935	31677	31421	34265	34147	33799	33513	33518	33307	33239	36591	36905	36627	35795	35070	38072	37570	37688	36505	35673	40178	39666	38313	36881	35153	38339	37604	37279	36070	33634	35523	34765	34765	33350	33061	34438	22649	22989	21540	20287	19561	18626	18545	21317	20167	18974	22519	22551	20837	19575	20168	19746	15906	15965
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	46	48	37	17	17	36	113	61	0	33	39	27	34	0	79	55
