CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	333456	351396	395525	395525	426425	395209	380671	261019	259787	401276	290672	264022	324246	326911	436699	300500	276435	369938	369938	401138	392482	422127	460206	398205	468148	386872	377310	388818	387741	548231	496330	551701	527138	525090	530350	395200	301826	299108	299572	378658	243264	270843	281268	282861	367331	230649	262865	384118	384118	496779	433643	361174	279040	279040	385600	281133	124738	157868	159003	180567	166290	134039	117739	118117	159993	123413	147056	145565	145157	137993
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20411	41818	2310	2310	7891	6097	4161	2929	2929	1091	5930	4815	10237	10237	9095	12665	2736	18841	18841	5598	14325	9834	5895	5895	4509	7893	6193	2527	2527	14069	4309	3932	6054	6054	22732	3639	3519	7134	7134	6539	4336	4375	8283	8283	11106	20500	7320	7351	7351	11678	13258	10384	4899	4899	17270	17944	8189	1953	1953	6263	9771	6831	5168	5168	2532	2832	4270	7360	7360	14571
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	2387	2201	2156	2156	4722	5051	2589	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	58004	157617	246084	246084	115006	100813	53587	76820	76501	181950	79669	79034	157601	161124	215505	160332	180189	261611	261611	221192	268918	289170	380531	318152	316600	133702	88849	119886	112411	140242	212552	278813	254253	253549	150640	96737	70784	73175	73863	40070	34426	79527	66424	66033	111996	73486	70593	75855	75855	87243	138068	109252	83731	83731	77009	72051	50799	84229	85365	28785	53330	56004	66061	66061	53990	27734	35314	62107	59601	34916
Hàng tồn kho###Inventory	230971	132827	130075	130075	283621	254521	290936	155162	154250	194486	173659	146185	135341	134484	192156	107982	77863	79117	79117	163445	96409	115137	68788	68804	141405	237629	268058	259056	265050	386215	266747	263431	250471	248641	338580	281905	210691	205662	205662	312354	192865	166776	193013	194805	236561	122163	178936	293808	293808	388841	262909	233286	178985	178985	281027	177617	59084	64632	64632	130023	76537	63347	44321	45396	96392	84144	100458	73091	75189	77646
Tài sản ngắn hạn khác###Other Current Assets	24070	19133	17057	17057	19906	33779	31987	26108	26108	23749	31414	33987	21067	21067	19943	19521	15647	10369	10369	10903	12830	7986	4992	5354	5635	7648	14210	7348	7753	7705	12723	5525	16360	16846	18398	12919	16832	13136	12913	19696	11637	20165	13548	13741	7668	14501	6016	7103	7103	9017	19409	8251	11425	11425	8613	11135	4465	4898	4898	10774	21600	5268	2189	1493	7079	8704	7014	3007	3007	10860
Tài sản dài hạn###Non-current Assets	138978	134966	139946	139946	135211	134024	138477	145201	146398	147616	148156	138610	132480	132072	129898	132192	123194	130018	130018	136047	140616	143720	147878	147951	158728	166480	168034	171477	171270	173103	173843	172173	178122	178431	188417	190072	191948	195578	193517	197968	180054	163593	110851	110660	71922	71018	65353	67563	67563	62223	62554	66201	62894	62894	56231	57952	55299	53438	53438	49796	49520	51160	50789	52068	50735	50642	50726	48262	48749	52850
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	90707	95138	99798	99798	97614	101473	106793	112697	112697	108038	80662	81126	80794	80794	85160	91000	94204	100736	100736	107313	112296	116748	120634	120707	131066	138539	140431	144048	144121	133166	136607	141078	146496	146496	156019	157892	159748	162529	163136	164999	148064	134274	41260	81666	42241	43342	36924	37603	38824	35196	36673	39989	38228	38228	31026	32610	33771	34361	33662	33473	34585	36120	35584	36862	36829	36761	36725	33631	33643	36423
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-200311	-194261	-188039	-188039	-182418	-177493	-170029	-163544	-163544	-157317	-150996	-146241	-142712	-142712	-138437	-133435	-129890	-123235	-123235	-116583	-111282	-106772	-102806	-102806	-92532	-100594	-97288	-93608	-93608	-87692	-83555	-79692	-73831	-73831	-83424	-78645	-75739	-72028	-72028	-66983	-63995	-63110	-61001	-61001	-58874	-56868	-55272	-52958	-52958	-50623	-48991	-46747	-44536	-44536	-42563	-40693	0	-38682	0	0	0	0	0	-32542	0	0	0	-26226	-26226	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-450	-444	-438	-438	-433	-426	-420	-415	-415	-413	-413	-413	-413	-413	-413	-413	-413	-413	-413	-413	-413	-408	-403	-403	-396	-386	-376	-366	-366	-355	-345	-335	-324	-324	-312	-299	-286	-273	-273	-260	-247	-239	-231	-231	-223	-220	-218	-216	-216	-213	-210	-203	-188	-188	-175	0	0	-137	0	0	0	0	0	-77	0	0	0	-26	-26	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
