CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	2730242	2637583	2416097	2420324	3000645	2363255	2795097	2847185	2847195	1989738	3570283	4200980	3101036	3101036	2820745	2933545	4523862	5316223	5316223	3350692	3246473	3459450	2980678	2980678	2713600	2793120	3537718	2768010	2537729	2471727	2030402	2615177	1983307	1983307	1918142	2079395	1915753	1761506	3378021
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	140115	59071	450965	450965	504661	217655	165963	65114	65114	185739	755317	266146	145969	145969	1091344	586792	1270184	1398468	1398468	1581690	1425645	1812067	1108501	1108501	1347499	137638	204980	726127	186127	87125	87339	50111	57247	57247	66649	51719	28711	15070	1218595
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	491	165000	200491	200491	491	491	491	491	491	491	478	1130478	900000	900000	400000	460000	160000	0	0	0	0	0	0	0	0	600000	1000000	0	540000	700000	270000	0	246461	0	0	494830	437802	1232789	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2272098	2105912	1458799	1463026	2230243	1886771	2374252	2520283	2520294	1534638	2554017	2537172	1795329	1795329	1001418	1626590	2840011	3609509	3609509	1525149	1518684	1349220	1576124	1576124	1077994	1777038	2057652	1766526	1536094	1411130	1402895	1809399	1449723	1449723	913180	1336930	1229506	436628	1154513
Hàng tồn kho###Inventory	315647	304910	302121	302121	264304	258301	254155	260944	260944	257900	259928	256228	259378	259378	285150	259168	242096	239011	239011	239273	301887	294341	287993	287993	284077	278260	274748	275347	275347	273268	265542	251661	221314	221314	218613	184895	181210	0	0
Tài sản ngắn hạn khác###Other Current Assets	1891	2690	3721	3721	946	38	237	352	352	10971	542	10956	360	360	42833	995	11571	69235	69235	4581	257	3822	8060	8060	4030	185	338	10	161	203	4626	7161	8562	8562	28615	11022	38525	77019	19798
Tài sản dài hạn###Non-current Assets	4725913	4937743	5148015	5144078	5359685	5569915	5796420	6005062	6005062	6219747	6433785	6651007	6863073	6863073	7226862	7261386	7460341	7663691	7663691	8032077	8225597	8462535	8663994	8663994	9038329	9243541	8954201	9715539	9222079	9425573	9633673	9839678	10202872	10202872	10474290	11406654	12557041	9741255	1854985
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	37653	37653	37653	37653	37653	37653	37653	37653	202139	202139	202139	202139	202139	366626	366626	366626	367756	367756	532242	532242	38783	532242	38783	38783	38783	38783	38783	38783	38783	38783	0	0	0
Tài sản cố định ###Fixed assets	4530586	4702984	4876271	4876271	5048555	5221911	5391057	5562194	5562194	5729800	5903230	6075902	6246943	6246943	6421758	6591319	6763575	6934521	6934521	7108512	7282005	7452294	7617942	7617942	7790845	7964851	8136359	8305932	8305932	8471127	8644904	8894385	9137428	9137428	9377670	10071353	10980470	6766	1843831
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-6816733	-6643832	-6470945	-6470945	-6298799	-6125822	-5954777	-5784013	-5784013	-5608419	-5434094	-5261667	-5091024	-5091024	-4916506	-4742116	-4569708	-4400514	-4400514	-4226146	-4051830	-3879361	-3707050	-3707050	-3533024	-3359003	-3188399	-3018217	-3018217	-2844302	-2670366	-2424962	-2179550	-2179550	-1934170	-1198358	-220727	-3629	-1951
