CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	1596024	1608235	1484011	1484250	1358473	1498779	1138128	1452375	1452364	1104589	1430491	1362520	1179177	1179177	1119680	885570	818139	198678	198678	295536	285021	482368	353004	353004	319205	355093	179782	179782	199153	221804
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	98666	53656	541402	541402	264071	379788	44475	93079	93069	17281	22797	39329	3153	3153	33872	26068	8934	18528	18528	14672	56745	10608	1842	1842	17848	92328	82797	82797	52066	54083
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1440448	1482503	733687	733687	1014058	1052043	1041029	1299874	1299874	1030717	1337899	1242844	1118492	1118492	1035306	808013	772719	131066	131066	238979	188979	434783	304646	304646	241980	167500	31421	31421	69506	68027
Các khoản phải thu ngắn hạn###Short term Account Receivables	50402	53110	190853	190853	62494	50381	52144	59094	59094	55318	63417	56812	49501	49501	41315	34729	28600	40538	40538	39880	37530	34169	42229	42229	53032	53032	42853	42853	54024	73344
Hàng tồn kho###Inventory	60	490	340	340	669	466	481	328	328	662	676	648	121	121	522	8	11	397	397	100	92	90	289	289	138	36026	10258	10258	10333	10363
Tài sản ngắn hạn khác###Other Current Assets	6449	18476	17730	17968	17181	16101	0	0	0	611	5702	22886	7909	7909	8666	16751	7874	8150	8150	1904	1675	2717	3997	3997	6207	6207	12452	12452	13223	15987
Tài sản dài hạn###Non-current Assets	2499533	2058570	2053546	2053546	2077772	1953154	2159136	1948754	1948737	2064717	1887332	1754658	1640672	1640672	1514648	1640360	1447571	1917857	1917857	1692313	1596520	1321957	1374710	1374710	857560	821671	747457	747457	653380	604104
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5625	5625	5625	24000	17000	39250	39250	0	0
Tài sản cố định ###Fixed assets	46303	33314	33026	33026	33073	33516	34939	36366	36350	37301	37820	38782	39614	39614	37908	39172	30029	20668	20668	19491	20413	17775	18637	18637	16953	16953	123101	15258	16648	16240
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-42199	-40326	-38769	-38769	-37194	-35631	-34138	-32615	-32631	-31074	-29525	-28064	-26230	-26230	-24610	-23088	-21508	-20332	-20332	-19396	-18474	-17501	-16639	-16639	-13530	-13530	-10636	-10636	-8520	-6122
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-437	-319	-319	-191	-191	-62	-52
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	395578	403055	398088	398088	405956	413458	421339	429025	429025	428850	436266	444753	452835	452835	433403	440999	448355	446585	446585	353912	360176	336845	342775	342775	317392	317392	285636	285636	271693	231201
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	473487	374718	535669	535669	397556	415033	611276	391718	391718	494718	315718	382280	465618	465618	348513	484845	399113	875825	875825	694736	599736	321291	379291	379291	320271	327271	291931	291930	298580	287178
Tài sản dài hạn khác###Other long term assets	1070810	1028062	1031770	1031770	1035741	1036592	1037419	1038366	1038366	1035507	1032642	824582	620340	620340	611294	592484	482153	478257	478257	444572	444857	446656	448420	448420	33443	13910	7539	7539	7021	4802
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4095557	3666805	3537557	3537796	3436246	3451934	3297264	3401128	3401102	3169307	3317823	3117178	2819849	2819849	2634328	2525930	2265710	2116535	2116535	1987849	1881541	1804325	1727714	1727714	1176764	1176764	927239	927239	852533	825907
Nợ phải trả ###Liabilities	3466039	3000841	2956964	2958667	2836212	2737319	2638532	2812175	2812171	2745829	2950815	2705122	2440331	2440331	2285850	2201073	1944485	1814327	1814327	1746315	1654016	1561706	1499175	1499175	961760	961760	723423	723423	658570	630558
Nợ ngắn hạn###Short term Liabilities	510039	108247	119922	119681	132825	126838	123261	332362	332358	374440	667724	498076	304229	235091	201928	217706	113531	130301	130301	146223	199453	233380	292201	292201	109874	109874	98250	98250	68803	64948
Nợ dài hạn###Long term Liabilities	2956000	2892593	2837041	2838985	2703388	2610481	2515271	2479813	2479813	2371389	2283092	2207046	2136102	2205240	2083922	1983367	1830954	1684026	1684026	1600092	1454563	1328326	1206973	1206973	851886	851886	625173	625173	589768	565610
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	629518	665965	580594	579129	600033	714615	658732	588954	588931	423477	367007	412056	379518	379518	348478	324857	321225	302208	302208	241533	227525	242619	228539	228539	215004	215004	203816	203816	193962	195349
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	629518	665965	580594	579129	600033	714615	658732	588954	588931	423477	367007	412056	379518	379518	348478	324857	321225	302208	302208	241533	227525	242619	228539	228539	215004	215004	203816	203816	193962	195349
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	50229	41737	193939	53233	53865	47404	39225	532373	411621	34767	48127	37859	146114	44497	28664	42150	30803	147256	57382	27227	35121	27525	124962	47662	33324	18889	63636	61585	52742	42876
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2703	0	0
Doanh thu thuần###Net Sales	50229	41737	193939	53233	53865	47404	39225	532373	411621	34767	48127	37859	146114	44497	28664	42150	30803	147256	57382	27227	35121	27525	124962	47662	33324	18889	63636	58883	52742	42876
Giá vốn hàng bán###Cost of goods sold	17648	14995	56673	17949	14412	12002	12309	45432	22254	11787	203	11204	45184	12684	11489	11066	9946	20749	-19044	10922	18403	10468	39894	-2946	12575	7269	28809	21725	19718	16047
Lợi nhuận gộp###Gross profit	32581	26742	137267	35284	39453	35401	26916	486942	389366	22980	47924	26655	100929	31813	17175	31084	20857	126507	76426	16305	16719	17058	85068	50608	20750	11620	34827	37157	33025	26829
Doanh thu hoạt động tài chính###Financial activities Revenues	44534	77351	187196	55563	26261	45372	60000	144109	35439	52368	31961	24330	113698	37148	24768	43240	8542	65942	33733	7764	16809	7635	43528	8426	10951	7057	40633	30926	23786	26478
Chi phí tài chính###Financial Expenses	134	87	486	105	88	108	186	12139	1109	3861	4787	2381	7534	1911	2798	1977	848	5306	264	911	1540	2591	14406	-1858	3396	5024	19750	6766	4204	7726
Chi phí bán hàng###Selling Expenses	369	255	2798	1434	453	456	455	2570	1099	440	611	419	2227	759	553	518	397	1917	796	418	341	361	1713	643	349	324	1263	1669	1202	1117
Chi phí quản lý doanh nghiệp###Managing Expenses	8707	8055	48098	19292	10311	10340	9646	46031	19670	7649	9761	8951	35733	12336	7348	8082	7966	42808	17081	8831	11903	6393	49900	21628	10436	6622	26892	31142	23941	17312
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	67905	95696	273081	70016	54862	69870	76630	570311	402928	63398	64726	39233	169134	53955	31245	63747	20187	142418	92018	13909	19744	15347	62576	38621	17520	6707	27555	28506	27464	27152
Thu nhập khác###Other incomes	404	514	899	15	245	225	414	2382	1054	689	302	337	4046	959	994	1056	1036	3997	1874	591	832	700	1064	513	145	59	3027	159	674	790
Chi phí khác###Other Expenses	387	360	533	16	258	152	106	2597	836	1063	524	174	6197	3585	518	1330	763	4580	1852	582	845	687	1961	945	412	262	405	88	232	116
Lợi nhuận khác###Other profits	18	155	367	-1	-13	73	308	-215	218	-374	-221	163	-2151	-2626	476	-274	273	-583	22	9	-12	12	-897	-432	-267	-203	2622	70	443	674
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	67922	95851	273448	70015	54849	69942	76938	570097	403146	63023	64505	39397	166983	51329	31721	63473	20460	141834	92041	13918	19731	15359	61679	38189	17254	6503	30178	28577	27906	27826
Chi phí thuế TNDN###Corporate Income Tax Expenses	12028	10480	36940	10920	9431	9192	7159	100406	77692	6553	9297	6859	24502	7150	8100	7809	1443	10624	8151	-91	1283	1280	2405	1692	682	328	763	761	3373	4279
Chi phí thuế TNDN###Corporate Income Tax Expenses	12028	10480	36940	10920	9431	9192	7159	100406	77692	6553	9297	6859	24502	7150	8100	7809	1443	10624	8151	-91	1283	1280	2405	1692	682	328	763	761	3373	4279
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	55895	85371	236508	59096	45419	60751	69778	469691	325453	56470	55207	32538	142481	44179	23622	55664	19017	131211	83890	14008	18448	14080	59274	36497	16572	6175	29414	27816	24533	23547
---Cac Chi So Tai Chinh---																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	184.07	133.37	161.55	161.55	156.46	130.14	104.00	70.77	70.77	58.01	47.65	54.80	67.22	67.22	51.19	32.42	34.49	25.41	25.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
