CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	230837	274723	299671	298417	276038	261507	260093	356702	356597	294103	325136	389593	377621	375466	344270	342042	319081	349738	350141	375168	309705	314976	393913	385354	306124	222868	229631	205298	205217	237393	246661	207888	129831	134296	146977	147064	170964	149654	151716	163329	141773	119853	111572	111387	147912	77931	101448	128843	128762	98150	59288	84193	99630	99108	63988	43990	59503	61565	61541	34923	37025	39576	65699	30447
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12978	28970	48130	49630	14444	27982	25156	51594	51594	24398	3045	10333	25603	25603	11238	14598	16377	15630	15627	58634	25136	33846	20102	20102	8214	34294	24903	35601	35589	9848	42400	36786	7080	7082	9253	7800	7117	17712	17712	6103	5101	5260	27272	25272	7772	14820	8412	49162	5162	3374	1453	2430	1638	1638	525	1965	7409	3969	3969	2338	2798	1638	16148	3100
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1549	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18911	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	102364	138172	137182	135520	87517	56159	79831	189139	189034	126227	161975	180993	248802	236265	227190	196537	160415	252377	252785	155779	127035	140143	205995	196372	118108	93066	91424	100694	94238	77287	46435	84050	59300	59552	58559	74704	87060	91677	92547	70666	75614	61909	54255	56215	78926	21657	59298	58293	102269	37244	28145	49581	71894	72370	46917	30356	36945	42763	42747	17951	0	13669	10250	14474
Hàng tồn kho###Inventory	113374	106999	111548	111703	169597	171048	148558	115447	115448	141124	156155	190195	101662	112046	102273	125255	134979	81209	81206	157483	152587	136221	161712	162750	168828	92147	110167	68513	68034	133416	140012	73884	54009	54009	66575	56251	64787	33993	34901	71896	50022	43409	24574	24574	49895	29951	24407	12916	12916	48778	24441	16828	13677	13192	9971	7783	11679	8446	8446	9819	10542	15872	30101	8239
Tài sản ngắn hạn khác###Other Current Assets	571	582	1310	1564	4479	6318	6548	522	523	2354	3960	8072	1555	1552	3569	5652	7310	523	523	3273	4947	4765	6103	6130	10974	3360	3137	490	7355	16842	17814	13168	9442	13653	12590	8309	11999	6273	6556	14665	11036	9275	5470	5326	11319	11502	9331	8472	8415	8754	5248	15355	12421	11908	6574	3886	3471	6387	6378	4815	4773	8397	9200	4635
Tài sản dài hạn###Non-current Assets	835	196	382	293	383	483	454	813	603	785	1595	898	1820	1053	1285	1766	1739	2085	1785	2077	3491	2811	3555	3364	3232	23061	23195	23701	23701	23586	23888	23944	23859	23859	23487	23717	23532	23626	23633	23776	23562	23705	24079	24110	23997	22019	22211	21679	21679	21863	22132	21818	3078	3103	2464	2693	2591	2246	2266	2483	2540	1395	1051	3380
Các khoản phải thu dài hạn###Long term Account Receivable	141	0	91	0	0	36	0	209	0	0	722	0	769	0	0	272	0	300	0	0	1097	0	192	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	29	33	47	47	110	159	222	300	300	391	460	515	609	609	706	804	931	910	910	1095	1375	1808	2322	2322	2767	3240	3758	4171	4171	2584	2833	4187	3921	3921	3652	3764	4009	2758	4095	4227	3965	4035	2917	3470	3413	1634	1997	1147	1362	1355	1459	1472	2063	2063	1755	1880	1855	1391	1360	1378	1403	827	408	464
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5515	-7137	-7123	-7123	-7170	-7121	-7058	-6979	-6979	-6889	-6819	-6724	-6630	-6630	-6533	-6436	-6308	-9253	-9253	-9019	-8495	-7980	-7467	-7467	-6952	-6443	-5926	-5386	-5386	-3893	-3647	-3424	-3150	-3150	-3243	-3043	-4015	-3794	-3788	-3597	-3393	-3151	-2907	-2907	-2908	-2767	-2657	-2516	-2516	-2412	-2270	-2111	-1956	-1956	-1801	0	0	-1295	-1326	0	0	0	-841	-482
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-37	-37	-37	-37	-37	-37	-36	-36	-34	-32	-30	-29	-29	-27	-25	-23	-21	-21	-19	0	0	-14	-14	0	0	0	-14	-9
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
